STRUCTURE,STRUCTURE_ID,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2010,4.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2012,-29.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2016,14.5,e,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2018,15.6,e,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2019,14.7,e,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2022,23.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AD,2023,40.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2010,-8.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2011,-6.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2012,-6.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2013,-7.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2014,-7.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2015,-7.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2016,-3.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2017,-5.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2018,-5.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2019,-8.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2020,-5.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2021,-11.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2022,-11.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2023,-144.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AL,2024,-12.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AM,2010,-1.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AM,2011,-1.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AM,2015,-8.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AM,2016,-8.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,AM,2017,-8.0,,
