STRUCTURE,STRUCTURE_ID,freq,currency,estruct,ecase,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2010,25770.16,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2011,26375.67,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2012,26893.06,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2013,27520.54,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2014,27965.34,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2015,28524.14,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2016,30601.53,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2017,31083.14,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2018,31640.93,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2019,32325.12,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2020,33032.37,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2021,33712.2,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2022,36075.61,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2023,38375.91,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,AT,2024,41747.41,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2010,24873.45,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2011,25519.86,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2012,26287.51,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2013,26609.37,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2014,26775.94,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2015,26953.59,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2016,27574.37,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2017,28238.77,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2018,29240.96,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2019,30188.71,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2020,30539.81,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2021,31063.95,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2022,32889.21,,
dataflow,ESTAT:EARN_NT_NET(1.0),A,EUR,NET,P1_NCH_AW100,BE,2023,35438.98,,
