STRUCTURE,STRUCTURE_ID,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2000,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2001,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2002,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2003,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2004,25.5,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2005,25.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2006,26.3,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2007,27.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2008,28.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2009,26.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2010,27.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2011,27.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2012,25.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2013,25.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2014,18.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2015,19.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2016,18.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2017,20.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2018,19.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2019,20.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2020,22.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2021,21.0,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2022,21.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2023,22.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2024,21.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,AT,2025,22.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BA,2021,17.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BA,2022,20.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BA,2023,24.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BA,2024,24.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BA,2025,23.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2000,25.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2001,25.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2002,25.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2003,25.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2004,25.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2005,24.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2006,25.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2007,24.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2008,25.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2009,23.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2010,25.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2011,25.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2012,24.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2013,23.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2014,22.3,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2015,22.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2016,21.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2017,24.0,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2018,26.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2019,25.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2020,24.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2021,20.5,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2022,18.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2023,20.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2024,23.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BE,2025,23.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2000,30.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2001,28.7,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2002,31.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2003,34.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2004,36.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2005,36.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2006,33.6,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2007,32.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2008,31.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y18-24,PC,ED0-2,BG,2009,31.0,,
