STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2010,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2011,,3.5,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2012,,3.5,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2013,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2014,,4.1,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2015,,4.0,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2016,,4.3,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2017,,4.4,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2018,,4.2,,,,,
dataflow,ESTAT:HTEC_EMP_REG2(1.0),Employed persons in technology and knowledge-intensive sectors by NACE Rev. 2 activity and NUTS 2 region (2008-2026),A,Annual,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,T,Total,AT,Austria,2019,,4.0,,,,,
