STRUCTURE,STRUCTURE_ID,freq,age,sex,isco08,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,1995,316.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,1996,315.8,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,1997,323.5,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,1998,328.9,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,1999,557.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2000,567.0,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2001,582.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2002,661.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2003,653.8,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2004,698.5,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2005,691.1,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2006,687.7,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2007,689.3,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2008,711.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2009,755.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2010,765.4,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2011,779.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2012,818.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2013,850.0,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2014,1292.6,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2015,1337.4,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2016,1404.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2017,1455.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2018,1473.3,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2019,1528.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2020,1540.5,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2021,1569.9,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2022,1637.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2023,1700.3,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2024,1729.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,AT,2025,1737.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BA,2021,246.3,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BA,2022,251.8,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BA,2023,265.4,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BA,2024,282.6,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BA,2025,292.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1992,1018.4,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1993,1073.9,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1994,1106.1,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1995,1127.5,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1996,1187.7,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1997,1240.2,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1998,1240.5,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,1999,1307.8,b,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,2000,1364.5,,
dataflow,ESTAT:LFSA_EGISED(1.0),A,Y20-64,T,TOTAL,ED5-8,THS_PER,BE,2001,1366.2,b,
