STRUCTURE,STRUCTURE_ID,freq,unit,training,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2004,13.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2005,12.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2006,13.2,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2007,12.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2008,13.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2009,13.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2010,13.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2011,13.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2012,14.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2013,14.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2014,14.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2015,14.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2016,14.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2017,15.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2018,15.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2019,14.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2020,11.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2021,14.6,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2022,15.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2023,17.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2024,17.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,AT,2025,16.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BA,2021,2.1,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BA,2022,1.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BA,2023,1.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BA,2024,1.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BA,2025,1.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2004,9.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2005,8.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2006,7.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2007,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2008,7.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2009,7.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2010,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2011,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2012,6.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2013,6.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2014,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2015,6.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2016,7.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2017,8.5,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2018,8.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2019,8.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2020,7.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2021,10.2,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2022,10.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2023,11.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2024,14.9,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BE,2025,18.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2004,1.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2005,1.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2006,1.6,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2007,1.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2008,1.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2009,1.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2010,1.6,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2011,1.6,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2012,1.7,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2013,2.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2014,2.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2015,2.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2016,2.2,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2017,2.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2018,2.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2019,1.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2020,1.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2021,1.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2022,1.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2023,1.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2024,1.8,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,BG,2025,6.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2004,28.6,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2005,27.0,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2006,22.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2007,26.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2008,27.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2009,23.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2010,29.7,b,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2011,28.9,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2012,29.1,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2013,29.3,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2014,30.5,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2015,30.8,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2016,31.4,,
dataflow,ESTAT:TRNG_LFS_09(1.0),A,PC,FE_NFE,T,Y25-64,CH,2017,31.2,,
