"country_code","year","value","indicator"
"AT",2010,13.8,"continuous_development_of_employees"
"AT",2011,13.5,"continuous_development_of_employees"
"AT",2012,14.2,"continuous_development_of_employees"
"AT",2013,14.1,"continuous_development_of_employees"
"AT",2014,14.3,"continuous_development_of_employees"
"AT",2015,14.4,"continuous_development_of_employees"
"AT",2016,14.9,"continuous_development_of_employees"
"AT",2017,15.8,"continuous_development_of_employees"
"AT",2018,15.1,"continuous_development_of_employees"
"AT",2019,14.7,"continuous_development_of_employees"
"AT",2020,11.7,"continuous_development_of_employees"
"AT",2021,14.6,"continuous_development_of_employees"
"AT",2022,15.8,"continuous_development_of_employees"
"AT",2023,17.1,"continuous_development_of_employees"
"AT",2024,17.6,"continuous_development_of_employees"
"BE",2010,7.4,"continuous_development_of_employees"
"BE",2011,7.4,"continuous_development_of_employees"
"BE",2012,6.9,"continuous_development_of_employees"
"BE",2013,6.9,"continuous_development_of_employees"
"BE",2014,7.4,"continuous_development_of_employees"
"BE",2015,6.9,"continuous_development_of_employees"
"BE",2016,7,"continuous_development_of_employees"
"BE",2017,8.5,"continuous_development_of_employees"
"BE",2018,8.5,"continuous_development_of_employees"
"BE",2019,8.2,"continuous_development_of_employees"
"BE",2020,7.4,"continuous_development_of_employees"
"BE",2021,10.2,"continuous_development_of_employees"
"BE",2022,10.3,"continuous_development_of_employees"
"BE",2023,11.1,"continuous_development_of_employees"
"BE",2024,14.9,"continuous_development_of_employees"
"BG",2010,1.6,"continuous_development_of_employees"
"BG",2011,1.6,"continuous_development_of_employees"
"BG",2012,1.7,"continuous_development_of_employees"
"BG",2013,2,"continuous_development_of_employees"
"BG",2014,2.1,"continuous_development_of_employees"
"BG",2015,2,"continuous_development_of_employees"
"BG",2016,2.2,"continuous_development_of_employees"
"BG",2017,2.3,"continuous_development_of_employees"
"BG",2018,2.5,"continuous_development_of_employees"
"BG",2019,1.8,"continuous_development_of_employees"
"BG",2020,1.5,"continuous_development_of_employees"
"BG",2021,1.7,"continuous_development_of_employees"
"BG",2022,1.6,"continuous_development_of_employees"
"BG",2023,1.4,"continuous_development_of_employees"
"BG",2024,1.8,"continuous_development_of_employees"
"CZ",2010,7.8,"continuous_development_of_employees"
"CZ",2011,11.6,"continuous_development_of_employees"
"CZ",2012,11.1,"continuous_development_of_employees"
"CZ",2013,10,"continuous_development_of_employees"
"CZ",2014,9.6,"continuous_development_of_employees"
"CZ",2015,8.5,"continuous_development_of_employees"
"CZ",2016,8.8,"continuous_development_of_employees"
"CZ",2017,9.8,"continuous_development_of_employees"
"CZ",2018,8.5,"continuous_development_of_employees"
"CZ",2019,8.1,"continuous_development_of_employees"
"CZ",2020,5.5,"continuous_development_of_employees"
"CZ",2021,5.8,"continuous_development_of_employees"
"CZ",2022,9.4,"continuous_development_of_employees"
"CZ",2023,9.9,"continuous_development_of_employees"
"CZ",2024,10.8,"continuous_development_of_employees"
"DE",2010,7.8,"continuous_development_of_employees"
"DE",2011,7.9,"continuous_development_of_employees"
"DE",2012,7.9,"continuous_development_of_employees"
"DE",2013,7.9,"continuous_development_of_employees"
"DE",2014,8,"continuous_development_of_employees"
"DE",2015,8.1,"continuous_development_of_employees"
"DE",2016,8.5,"continuous_development_of_employees"
"DE",2017,8.4,"continuous_development_of_employees"
"DE",2018,8.2,"continuous_development_of_employees"
"DE",2019,8.2,"continuous_development_of_employees"
"DE",2020,7.7,"continuous_development_of_employees"
"DE",2021,7.7,"continuous_development_of_employees"
"DE",2022,8.1,"continuous_development_of_employees"
"DE",2023,8.1,"continuous_development_of_employees"
"DE",2024,9.3,"continuous_development_of_employees"
"DK",2010,32.7,"continuous_development_of_employees"
"DK",2011,32.3,"continuous_development_of_employees"
"DK",2012,31.6,"continuous_development_of_employees"
"DK",2013,31.5,"continuous_development_of_employees"
"DK",2014,31.9,"continuous_development_of_employees"
"DK",2015,31.5,"continuous_development_of_employees"
"DK",2016,28,"continuous_development_of_employees"
"DK",2017,26.9,"continuous_development_of_employees"
"DK",2018,23.5,"continuous_development_of_employees"
"DK",2019,25.3,"continuous_development_of_employees"
"DK",2020,20,"continuous_development_of_employees"
"DK",2021,22.4,"continuous_development_of_employees"
"DK",2022,27.9,"continuous_development_of_employees"
"DK",2023,30.5,"continuous_development_of_employees"
"DK",2024,31.2,"continuous_development_of_employees"
"EE",2010,11,"continuous_development_of_employees"
"EE",2011,11.9,"continuous_development_of_employees"
"EE",2012,12.8,"continuous_development_of_employees"
"EE",2013,12.6,"continuous_development_of_employees"
"EE",2014,11.6,"continuous_development_of_employees"
"EE",2015,11.9,"continuous_development_of_employees"
"EE",2016,15.3,"continuous_development_of_employees"
"EE",2017,16.8,"continuous_development_of_employees"
"EE",2018,19.3,"continuous_development_of_employees"
"EE",2019,19.6,"continuous_development_of_employees"
"EE",2020,16.6,"continuous_development_of_employees"
"EE",2021,18.4,"continuous_development_of_employees"
"EE",2022,21.1,"continuous_development_of_employees"
"EE",2023,23.2,"continuous_development_of_employees"
"EE",2024,23.3,"continuous_development_of_employees"
"EL",2010,3.3,"continuous_development_of_employees"
"EL",2011,2.8,"continuous_development_of_employees"
"EL",2012,3.3,"continuous_development_of_employees"
"EL",2013,3.2,"continuous_development_of_employees"
"EL",2014,3.2,"continuous_development_of_employees"
"EL",2015,3.3,"continuous_development_of_employees"
"EL",2016,4,"continuous_development_of_employees"
"EL",2017,4.5,"continuous_development_of_employees"
"EL",2018,4.5,"continuous_development_of_employees"
"EL",2019,3.9,"continuous_development_of_employees"
"EL",2020,4.1,"continuous_development_of_employees"
"EL",2021,3.5,"continuous_development_of_employees"
"EL",2022,3.5,"continuous_development_of_employees"
"EL",2023,3.4,"continuous_development_of_employees"
"EL",2024,4.4,"continuous_development_of_employees"
"ES",2010,11.2,"continuous_development_of_employees"
"ES",2011,11.2,"continuous_development_of_employees"
"ES",2012,11.2,"continuous_development_of_employees"
"ES",2013,11.4,"continuous_development_of_employees"
"ES",2014,10.1,"continuous_development_of_employees"
"ES",2015,9.9,"continuous_development_of_employees"
"ES",2016,9.4,"continuous_development_of_employees"
"ES",2017,9.9,"continuous_development_of_employees"
"ES",2018,10.5,"continuous_development_of_employees"
"ES",2019,10.6,"continuous_development_of_employees"
"ES",2020,11,"continuous_development_of_employees"
"ES",2021,14.3,"continuous_development_of_employees"
"ES",2022,15.2,"continuous_development_of_employees"
"ES",2023,15.8,"continuous_development_of_employees"
"ES",2024,16,"continuous_development_of_employees"
"FI",2010,23,"continuous_development_of_employees"
"FI",2011,23.8,"continuous_development_of_employees"
"FI",2012,24.5,"continuous_development_of_employees"
"FI",2013,24.9,"continuous_development_of_employees"
"FI",2014,25.1,"continuous_development_of_employees"
"FI",2015,25.4,"continuous_development_of_employees"
"FI",2016,26.4,"continuous_development_of_employees"
"FI",2017,27.4,"continuous_development_of_employees"
"FI",2018,28.5,"continuous_development_of_employees"
"FI",2019,29,"continuous_development_of_employees"
"FI",2020,27.3,"continuous_development_of_employees"
"FI",2021,30.5,"continuous_development_of_employees"
"FI",2022,25.2,"continuous_development_of_employees"
"FI",2023,26.1,"continuous_development_of_employees"
"FI",2024,29.1,"continuous_development_of_employees"
"FR",2010,5,"continuous_development_of_employees"
"FR",2011,5.5,"continuous_development_of_employees"
"FR",2012,5.7,"continuous_development_of_employees"
"FR",2013,17.8,"continuous_development_of_employees"
"FR",2014,18.4,"continuous_development_of_employees"
"FR",2015,18.6,"continuous_development_of_employees"
"FR",2016,18.8,"continuous_development_of_employees"
"FR",2017,18.7,"continuous_development_of_employees"
"FR",2018,18.6,"continuous_development_of_employees"
"FR",2019,19.5,"continuous_development_of_employees"
"FR",2020,13,"continuous_development_of_employees"
"FR",2021,11,"continuous_development_of_employees"
"FR",2022,13.3,"continuous_development_of_employees"
"FR",2023,14.9,"continuous_development_of_employees"
"FR",2024,15.1,"continuous_development_of_employees"
"HU",2010,3,"continuous_development_of_employees"
"HU",2011,3,"continuous_development_of_employees"
"HU",2012,2.9,"continuous_development_of_employees"
"HU",2013,3.2,"continuous_development_of_employees"
"HU",2014,3.3,"continuous_development_of_employees"
"HU",2015,7.1,"continuous_development_of_employees"
"HU",2016,6.3,"continuous_development_of_employees"
"HU",2017,6.2,"continuous_development_of_employees"
"HU",2018,6,"continuous_development_of_employees"
"HU",2019,5.8,"continuous_development_of_employees"
"HU",2020,5,"continuous_development_of_employees"
"HU",2021,5.9,"continuous_development_of_employees"
