"country_code","year","value","indicator"
"AT",2010,73.9,"employment_rate"
"AT",2011,74.2,"employment_rate"
"AT",2012,74.4,"employment_rate"
"AT",2013,74.6,"employment_rate"
"AT",2014,74.2,"employment_rate"
"AT",2015,74.3,"employment_rate"
"AT",2016,74.8,"employment_rate"
"AT",2017,75.4,"employment_rate"
"AT",2018,76.2,"employment_rate"
"AT",2019,76.8,"employment_rate"
"AT",2020,75.5,"employment_rate"
"AT",2021,75.6,"employment_rate"
"AT",2022,77.3,"employment_rate"
"AT",2023,77.2,"employment_rate"
"AT",2024,77.4,"employment_rate"
"BE",2010,67.6,"employment_rate"
"BE",2011,67.3,"employment_rate"
"BE",2012,67.2,"employment_rate"
"BE",2013,67.2,"employment_rate"
"BE",2014,67.3,"employment_rate"
"BE",2015,67.2,"employment_rate"
"BE",2016,67.7,"employment_rate"
"BE",2017,68.5,"employment_rate"
"BE",2018,69.7,"employment_rate"
"BE",2019,70.5,"employment_rate"
"BE",2020,70,"employment_rate"
"BE",2021,70.6,"employment_rate"
"BE",2022,71.9,"employment_rate"
"BE",2023,72.1,"employment_rate"
"BE",2024,72.3,"employment_rate"
"BG",2010,64.7,"employment_rate"
"BG",2011,62.9,"employment_rate"
"BG",2012,63,"employment_rate"
"BG",2013,63.5,"employment_rate"
"BG",2014,65.1,"employment_rate"
"BG",2015,67.1,"employment_rate"
"BG",2016,67.7,"employment_rate"
"BG",2017,71.3,"employment_rate"
"BG",2018,72.4,"employment_rate"
"BG",2019,75,"employment_rate"
"BG",2020,73.6,"employment_rate"
"BG",2021,73.3,"employment_rate"
"BG",2022,75.9,"employment_rate"
"BG",2023,76.2,"employment_rate"
"BG",2024,76.8,"employment_rate"
"CZ",2010,70.4,"employment_rate"
"CZ",2011,70.9,"employment_rate"
"CZ",2012,71.5,"employment_rate"
"CZ",2013,72.5,"employment_rate"
"CZ",2014,73.5,"employment_rate"
"CZ",2015,74.8,"employment_rate"
"CZ",2016,76.7,"employment_rate"
"CZ",2017,78.5,"employment_rate"
"CZ",2018,79.9,"employment_rate"
"CZ",2019,80.3,"employment_rate"
"CZ",2020,79.7,"employment_rate"
"CZ",2021,80,"employment_rate"
"CZ",2022,81.3,"employment_rate"
"CZ",2023,81.7,"employment_rate"
"CZ",2024,82.3,"employment_rate"
"DE",2010,75,"employment_rate"
"DE",2011,76.5,"employment_rate"
"DE",2012,76.9,"employment_rate"
"DE",2013,77.3,"employment_rate"
"DE",2014,77.7,"employment_rate"
"DE",2015,78,"employment_rate"
"DE",2016,78.6,"employment_rate"
"DE",2017,79.2,"employment_rate"
"DE",2018,79.9,"employment_rate"
"DE",2019,80.6,"employment_rate"
"DE",2020,79.2,"employment_rate"
"DE",2021,79.6,"employment_rate"
"DE",2022,80.8,"employment_rate"
"DE",2023,81.1,"employment_rate"
"DE",2024,81.1,"employment_rate"
"DK",2010,74.9,"employment_rate"
"DK",2011,74.8,"employment_rate"
"DK",2012,74.3,"employment_rate"
"DK",2013,74.3,"employment_rate"
"DK",2014,74.7,"employment_rate"
"DK",2015,75.4,"employment_rate"
"DK",2016,76,"employment_rate"
"DK",2017,76.6,"employment_rate"
"DK",2018,77.5,"employment_rate"
"DK",2019,78.3,"employment_rate"
"DK",2020,77.8,"employment_rate"
"DK",2021,79,"employment_rate"
"DK",2022,80.1,"employment_rate"
"DK",2023,79.8,"employment_rate"
"DK",2024,80.2,"employment_rate"
"EE",2010,66.8,"employment_rate"
"EE",2011,70.6,"employment_rate"
"EE",2012,72.2,"employment_rate"
"EE",2013,73.3,"employment_rate"
"EE",2014,74.3,"employment_rate"
"EE",2015,76,"employment_rate"
"EE",2016,76.4,"employment_rate"
"EE",2017,78.3,"employment_rate"
"EE",2018,79.1,"employment_rate"
"EE",2019,79.7,"employment_rate"
"EE",2020,78.2,"employment_rate"
"EE",2021,79.3,"employment_rate"
"EE",2022,81.9,"employment_rate"
"EE",2023,82.1,"employment_rate"
"EE",2024,81.8,"employment_rate"
"EL",2010,63.8,"employment_rate"
"EL",2011,59.6,"employment_rate"
"EL",2012,55,"employment_rate"
"EL",2013,52.9,"employment_rate"
"EL",2014,53.3,"employment_rate"
"EL",2015,54.9,"employment_rate"
"EL",2016,56.2,"employment_rate"
"EL",2017,57.8,"employment_rate"
"EL",2018,59.5,"employment_rate"
"EL",2019,61.2,"employment_rate"
"EL",2020,61.1,"employment_rate"
"EL",2021,62.6,"employment_rate"
"EL",2022,66.3,"employment_rate"
"EL",2023,67.4,"employment_rate"
"EL",2024,69.3,"employment_rate"
"ES",2010,62.8,"employment_rate"
"ES",2011,62,"employment_rate"
"ES",2012,59.6,"employment_rate"
"ES",2013,58.6,"employment_rate"
"ES",2014,59.9,"employment_rate"
"ES",2015,62,"employment_rate"
"ES",2016,63.9,"employment_rate"
"ES",2017,65.5,"employment_rate"
"ES",2018,67,"employment_rate"
"ES",2019,68,"employment_rate"
"ES",2020,65.7,"employment_rate"
"ES",2021,67.5,"employment_rate"
"ES",2022,69.3,"employment_rate"
"ES",2023,70.5,"employment_rate"
"ES",2024,71.4,"employment_rate"
"FI",2010,73,"employment_rate"
"FI",2011,73.8,"employment_rate"
"FI",2012,74,"employment_rate"
"FI",2013,73.3,"employment_rate"
"FI",2014,73.1,"employment_rate"
"FI",2015,72.9,"employment_rate"
"FI",2016,73.4,"employment_rate"
"FI",2017,74.2,"employment_rate"
"FI",2018,76.3,"employment_rate"
"FI",2019,77.2,"employment_rate"
"FI",2020,76.5,"employment_rate"
"FI",2021,76.8,"employment_rate"
"FI",2022,78.4,"employment_rate"
"FI",2023,78.2,"employment_rate"
"FI",2024,77,"employment_rate"
"FR",2010,69.3,"employment_rate"
"FR",2011,69.2,"employment_rate"
"FR",2012,69.4,"employment_rate"
"FR",2013,69.5,"employment_rate"
"FR",2014,69.2,"employment_rate"
"FR",2015,69.5,"employment_rate"
"FR",2016,70,"employment_rate"
