"country_code","year","value","indicator"
"AT",2010,1.5,"labour_productivity"
"AT",2011,1,"labour_productivity"
"AT",2012,1.1,"labour_productivity"
"AT",2013,0.2,"labour_productivity"
"AT",2014,0.3,"labour_productivity"
"AT",2015,2.1,"labour_productivity"
"AT",2016,0,"labour_productivity"
"AT",2017,1.3,"labour_productivity"
"AT",2018,0.4,"labour_productivity"
"AT",2019,0.1,"labour_productivity"
"AT",2020,2.7,"labour_productivity"
"AT",2021,0,"labour_productivity"
"AT",2022,2.7,"labour_productivity"
"AT",2023,-1.4,"labour_productivity"
"AT",2024,-0.8,"labour_productivity"
"BE",2010,1.1,"labour_productivity"
"BE",2011,-0.4,"labour_productivity"
"BE",2012,0.1,"labour_productivity"
"BE",2013,0.6,"labour_productivity"
"BE",2014,1.6,"labour_productivity"
"BE",2015,1,"labour_productivity"
"BE",2016,-0.1,"labour_productivity"
"BE",2017,-0.2,"labour_productivity"
"BE",2018,0.2,"labour_productivity"
"BE",2019,0.9,"labour_productivity"
"BE",2020,3.7,"labour_productivity"
"BE",2021,-1.7,"labour_productivity"
"BE",2022,-0.5,"labour_productivity"
"BE",2023,0.7,"labour_productivity"
"BE",2024,1.4,"labour_productivity"
"BG",2010,5.7,"labour_productivity"
"BG",2011,4.5,"labour_productivity"
"BG",2012,3.3,"labour_productivity"
"BG",2013,-0.1,"labour_productivity"
"BG",2014,0.6,"labour_productivity"
"BG",2015,3,"labour_productivity"
"BG",2016,2.6,"labour_productivity"
"BG",2017,1,"labour_productivity"
"BG",2018,2.4,"labour_productivity"
"BG",2019,5.2,"labour_productivity"
"BG",2020,1,"labour_productivity"
"BG",2021,7,"labour_productivity"
"BG",2022,3.1,"labour_productivity"
"BG",2023,-1.8,"labour_productivity"
"BG",2024,4.4,"labour_productivity"
"CZ",2010,2.7,"labour_productivity"
"CZ",2011,1.9,"labour_productivity"
"CZ",2012,0.4,"labour_productivity"
"CZ",2013,0.3,"labour_productivity"
"CZ",2014,1.1,"labour_productivity"
"CZ",2015,4.8,"labour_productivity"
"CZ",2016,0.2,"labour_productivity"
"CZ",2017,3.6,"labour_productivity"
"CZ",2018,1.2,"labour_productivity"
"CZ",2019,3.7,"labour_productivity"
"CZ",2020,3.3,"labour_productivity"
"CZ",2021,0.1,"labour_productivity"
"CZ",2022,-1.5,"labour_productivity"
"CZ",2023,-1.7,"labour_productivity"
"CZ",2024,-0.6,"labour_productivity"
"DE",2010,2.3,"labour_productivity"
"DE",2011,2.5,"labour_productivity"
"DE",2012,0.8,"labour_productivity"
"DE",2013,0.4,"labour_productivity"
"DE",2014,1,"labour_productivity"
"DE",2015,0.7,"labour_productivity"
"DE",2016,1.4,"labour_productivity"
"DE",2017,2,"labour_productivity"
"DE",2018,0.4,"labour_productivity"
"DE",2019,0.7,"labour_productivity"
"DE",2020,0.9,"labour_productivity"
"DE",2021,1.6,"labour_productivity"
"DE",2022,0.3,"labour_productivity"
"DE",2023,-1.2,"labour_productivity"
"DE",2024,-0.3,"labour_productivity"
"DK",2010,3.6,"labour_productivity"
"DK",2011,0.4,"labour_productivity"
"DK",2012,1.7,"labour_productivity"
"DK",2013,1.2,"labour_productivity"
"DK",2014,1.5,"labour_productivity"
"DK",2015,1.1,"labour_productivity"
"DK",2016,1,"labour_productivity"
"DK",2017,2.1,"labour_productivity"
"DK",2018,2,"labour_productivity"
"DK",2019,0.9,"labour_productivity"
"DK",2020,1.7,"labour_productivity"
"DK",2021,0.5,"labour_productivity"
"DK",2022,-3.2,"labour_productivity"
"DK",2023,0.3,"labour_productivity"
"DK",2024,3,"labour_productivity"
"EE",2010,5.3,"labour_productivity"
"EE",2011,-1.3,"labour_productivity"
"EE",2012,3.8,"labour_productivity"
"EE",2013,1.6,"labour_productivity"
"EE",2014,2.9,"labour_productivity"
"EE",2015,-0.6,"labour_productivity"
"EE",2016,2.6,"labour_productivity"
"EE",2017,2.8,"labour_productivity"
"EE",2018,6.4,"labour_productivity"
"EE",2019,3.2,"labour_productivity"
"EE",2020,3.3,"labour_productivity"
"EE",2021,8.9,"labour_productivity"
"EE",2022,-4.2,"labour_productivity"
"EE",2023,-6,"labour_productivity"
"EE",2024,-0.6,"labour_productivity"
"EL",2010,-0.2,"labour_productivity"
"EL",2011,-6.8,"labour_productivity"
"EL",2012,-6.4,"labour_productivity"
"EL",2013,-2,"labour_productivity"
"EL",2014,-0.3,"labour_productivity"
"EL",2015,3.6,"labour_productivity"
"EL",2016,-3.7,"labour_productivity"
"EL",2017,1.8,"labour_productivity"
"EL",2018,-3.1,"labour_productivity"
"EL",2019,2.4,"labour_productivity"
"EL",2020,3,"labour_productivity"
"EL",2021,-3.2,"labour_productivity"
"EL",2022,-0.1,"labour_productivity"
"EL",2023,0.1,"labour_productivity"
"EL",2024,0.8,"labour_productivity"
"ES",2010,2.4,"labour_productivity"
"ES",2011,1.5,"labour_productivity"
"ES",2012,2,"labour_productivity"
"ES",2013,1.5,"labour_productivity"
"ES",2014,0.5,"labour_productivity"
"ES",2015,1,"labour_productivity"
"ES",2016,0.4,"labour_productivity"
"ES",2017,0.7,"labour_productivity"
"ES",2018,-0.1,"labour_productivity"
"ES",2019,0.2,"labour_productivity"
"ES",2020,0,"labour_productivity"
"ES",2021,-0.5,"labour_productivity"
"ES",2022,1.2,"labour_productivity"
"ES",2023,-0.2,"labour_productivity"
"ES",2024,1.2,"labour_productivity"
"FI",2010,3.6,"labour_productivity"
"FI",2011,1.4,"labour_productivity"
"FI",2012,-1.4,"labour_productivity"
"FI",2013,0.3,"labour_productivity"
"FI",2014,0.3,"labour_productivity"
"FI",2015,0.3,"labour_productivity"
"FI",2016,2,"labour_productivity"
"FI",2017,3.1,"labour_productivity"
"FI",2018,-1.3,"labour_productivity"
"FI",2019,0.5,"labour_productivity"
"FI",2020,0.3,"labour_productivity"
"FI",2021,0.5,"labour_productivity"
"FI",2022,-1.7,"labour_productivity"
"FI",2023,-1.4,"labour_productivity"
"FI",2024,1.3,"labour_productivity"
"FR",2010,1.4,"labour_productivity"
"FR",2011,1.3,"labour_productivity"
"FR",2012,0.2,"labour_productivity"
"FR",2013,1.6,"labour_productivity"
"FR",2014,1,"labour_productivity"
"FR",2015,0.8,"labour_productivity"
"FR",2016,-0.1,"labour_productivity"
"FR",2017,1.9,"labour_productivity"
"FR",2018,0.1,"labour_productivity"
"FR",2019,0.5,"labour_productivity"
"FR",2020,0.2,"labour_productivity"
"FR",2021,-1.4,"labour_productivity"
"FR",2022,-1.5,"labour_productivity"
"FR",2023,0.4,"labour_productivity"
"FR",2024,0,"labour_productivity"
"HU",2010,1.4,"labour_productivity"
"HU",2011,2.7,"labour_productivity"
"HU",2012,-1.4,"labour_productivity"
"HU",2013,0.8,"labour_productivity"
"HU",2014,-1,"labour_productivity"
"HU",2015,1.3,"labour_productivity"
"HU",2016,-1.7,"labour_productivity"
"HU",2017,3.2,"labour_productivity"
"HU",2018,4.6,"labour_productivity"
"HU",2019,4.3,"labour_productivity"
"HU",2020,1.3,"labour_productivity"
"HU",2021,2.8,"labour_productivity"
"HU",2022,1.9,"labour_productivity"
"HU",2023,0.3,"labour_productivity"
"HU",2024,0.4,"labour_productivity"
"IT",2010,2.1,"labour_productivity"
"IT",2011,0.7,"labour_productivity"
"IT",2012,-0.7,"labour_productivity"
"IT",2013,0.8,"labour_productivity"
"IT",2014,0.1,"labour_productivity"
"IT",2015,0.1,"labour_productivity"
"IT",2016,-0.4,"labour_productivity"
"IT",2017,0.5,"labour_productivity"
"IT",2018,-0.2,"labour_productivity"
"IT",2019,0.4,"labour_productivity"
"IT",2020,3.3,"labour_productivity"
"IT",2021,-1.2,"labour_productivity"
"IT",2022,0.5,"labour_productivity"
"IT",2023,-2.1,"labour_productivity"
"IT",2024,-1.4,"labour_productivity"
"LT",2010,4.4,"labour_productivity"
"LT",2011,7.2,"labour_productivity"
"LT",2012,2.6,"labour_productivity"
"LT",2013,3.6,"labour_productivity"
"LT",2014,2.2,"labour_productivity"
"LT",2015,0,"labour_productivity"
"LT",2016,-0.9,"labour_productivity"
"LT",2017,7.7,"labour_productivity"
"LT",2018,3.1,"labour_productivity"
"LT",2019,4,"labour_productivity"
"LT",2020,6.1,"labour_productivity"
"LT",2021,3.5,"labour_productivity"
"LT",2022,-2.7,"labour_productivity"
"LT",2023,-1.6,"labour_productivity"
"LT",2024,0.3,"labour_productivity"
"LU",2010,1.7,"labour_productivity"
"LU",2011,-1.8,"labour_productivity"
"LU",2012,-0.4,"labour_productivity"
"LU",2013,1.8,"labour_productivity"
"LU",2014,-0.2,"labour_productivity"
"LU",2015,-0.8,"labour_productivity"
"LU",2016,2,"labour_productivity"
"LU",2017,-1.5,"labour_productivity"
"LU",2018,-1.2,"labour_productivity"
"LU",2019,-0.4,"labour_productivity"
"LU",2020,5.2,"labour_productivity"
"LU",2021,-2.2,"labour_productivity"
"LU",2022,-4,"labour_productivity"
"LU",2023,-1.5,"labour_productivity"
"LU",2024,-0.7,"labour_productivity"
"LV",2010,4.1,"labour_productivity"
"LV",2011,0.6,"labour_productivity"
"LV",2012,6.7,"labour_productivity"
"LV",2013,0.1,"labour_productivity"
"LV",2014,2.9,"labour_productivity"
"LV",2015,4.3,"labour_productivity"
"LV",2016,2.8,"labour_productivity"
"LV",2017,4.3,"labour_productivity"
"LV",2018,1.5,"labour_productivity"
"LV",2019,-1.3,"labour_productivity"
"LV",2020,2.8,"labour_productivity"
"LV",2021,6.5,"labour_productivity"
"LV",2022,-0.3,"labour_productivity"
"LV",2023,-1,"labour_productivity"
"LV",2024,0.9,"labour_productivity"
"NL",2010,2.1,"labour_productivity"
"NL",2011,0.9,"labour_productivity"
"NL",2012,-0.1,"labour_productivity"
"NL",2013,0.9,"labour_productivity"
"NL",2014,0.9,"labour_productivity"
"NL",2015,1.3,"labour_productivity"
"NL",2016,0,"labour_productivity"
"NL",2017,0.4,"labour_productivity"
"NL",2018,-0.4,"labour_productivity"
"NL",2019,-0.3,"labour_productivity"
"NL",2020,0.4,"labour_productivity"
"NL",2021,1.6,"labour_productivity"
"NL",2022,1.1,"labour_productivity"
"NL",2023,-1.9,"labour_productivity"
"NL",2024,-0.3,"labour_productivity"
"NO",2010,0.7,"labour_productivity"
"NO",2011,-0.3,"labour_productivity"
"NO",2012,1.1,"labour_productivity"
"NO",2013,0.9,"labour_productivity"
"NO",2014,1,"labour_productivity"
"NO",2015,1.5,"labour_productivity"
"NO",2016,0.8,"labour_productivity"
"NO",2017,2.3,"labour_productivity"
"NO",2018,-0.4,"labour_productivity"
"NO",2019,0,"labour_productivity"
"NO",2020,0.8,"labour_productivity"
"NO",2021,1.8,"labour_productivity"
"NO",2022,0.5,"labour_productivity"
"NO",2023,0,"labour_productivity"
"NO",2024,1,"labour_productivity"
"PL",2010,6.3,"labour_productivity"
