"cod_tara","an","valoare","indicator"
"AT",2010,2.6,"migratie_neta"
"AT",2011,3.7,"migratie_neta"
"AT",2012,5.2,"migratie_neta"
"AT",2013,6.6,"migratie_neta"
"AT",2014,8.6,"migratie_neta"
"AT",2015,13.2,"migratie_neta"
"AT",2016,7.5,"migratie_neta"
"AT",2017,5.1,"migratie_neta"
"AT",2018,4,"migratie_neta"
"AT",2019,4.6,"migratie_neta"
"AT",2020,4.4,"migratie_neta"
"AT",2021,5.8,"migratie_neta"
"AT",2022,15.1,"migratie_neta"
"AT",2023,7.2,"migratie_neta"
"AT",2024,5.4,"migratie_neta"
"BE",2010,7.9,"migratie_neta"
"BE",2011,4.6,"migratie_neta"
"BE",2012,3.9,"migratie_neta"
"BE",2013,4.5,"migratie_neta"
"BE",2014,3.2,"migratie_neta"
"BE",2015,5.5,"migratie_neta"
"BE",2016,2.4,"migratie_neta"
"BE",2017,3.2,"migratie_neta"
"BE",2018,4.3,"migratie_neta"
"BE",2019,5,"migratie_neta"
"BE",2020,3.9,"migratie_neta"
"BE",2021,4.9,"migratie_neta"
"BE",2022,10.9,"migratie_neta"
"BE",2023,6.4,"migratie_neta"
"BE",2024,5.9,"migratie_neta"
"BG",2010,-2.4,"migratie_neta"
"BG",2011,-0.7,"migratie_neta"
"BG",2012,-0.3,"migratie_neta"
"BG",2013,-6.6,"migratie_neta"
"BG",2014,-6.6,"migratie_neta"
"BG",2015,-6.7,"migratie_neta"
"BG",2016,-6.8,"migratie_neta"
"BG",2017,-6.8,"migratie_neta"
"BG",2018,-7,"migratie_neta"
"BG",2019,-7.3,"migratie_neta"
"BG",2020,4.3,"migratie_neta"
"BG",2021,6.3,"migratie_neta"
"BG",2022,4.2,"migratie_neta"
"BG",2023,6.4,"migratie_neta"
"BG",2024,6.1,"migratie_neta"
"CZ",2010,1.4,"migratie_neta"
"CZ",2011,1.6,"migratie_neta"
"CZ",2012,1,"migratie_neta"
"CZ",2013,-0.1,"migratie_neta"
"CZ",2014,2.1,"migratie_neta"
"CZ",2015,1.5,"migratie_neta"
"CZ",2016,1.9,"migratie_neta"
"CZ",2017,2.7,"migratie_neta"
"CZ",2018,3.6,"migratie_neta"
"CZ",2019,4.1,"migratie_neta"
"CZ",2020,2.5,"migratie_neta"
"CZ",2021,4.8,"migratie_neta"
"CZ",2022,30.9,"migratie_neta"
"CZ",2023,8.7,"migratie_neta"
"CZ",2024,3.4,"migratie_neta"
"DE",2010,1.6,"migratie_neta"
"DE",2011,3.7,"migratie_neta"
"DE",2012,4.9,"migratie_neta"
"DE",2013,5.6,"migratie_neta"
"DE",2014,7.2,"migratie_neta"
"DE",2015,14.3,"migratie_neta"
"DE",2016,5.6,"migratie_neta"
"DE",2017,5.1,"migratie_neta"
"DE",2018,4.8,"migratie_neta"
"DE",2019,3.7,"migratie_neta"
"DE",2020,2.4,"migratie_neta"
"DE",2021,3.7,"migratie_neta"
"DE",2022,2.5,"migratie_neta"
"DE",2023,8.1,"migratie_neta"
"DE",2024,5.4,"migratie_neta"
"DK",2010,3,"migratie_neta"
"DK",2011,2.4,"migratie_neta"
"DK",2012,3,"migratie_neta"
"DK",2013,3.8,"migratie_neta"
"DK",2014,4.8,"migratie_neta"
"DK",2015,7.4,"migratie_neta"
"DK",2016,5.7,"migratie_neta"
"DK",2017,4.2,"migratie_neta"
"DK",2018,3.2,"migratie_neta"
"DK",2019,1.6,"migratie_neta"
"DK",2020,1.9,"migratie_neta"
"DK",2021,4.6,"migratie_neta"
"DK",2022,10.2,"migratie_neta"
"DK",2023,5,"migratie_neta"
"DK",2024,5.3,"migratie_neta"
"EE",2010,-2.8,"migratie_neta"
"EE",2011,-2.9,"migratie_neta"
"EE",2012,-2.8,"migratie_neta"
"EE",2013,-2,"migratie_neta"
"EE",2014,-0.5,"migratie_neta"
"EE",2015,3,"migratie_neta"
"EE",2016,0.8,"migratie_neta"
"EE",2017,4,"migratie_neta"
"EE",2018,5.3,"migratie_neta"
"EE",2019,4,"migratie_neta"
"EE",2020,2.8,"migratie_neta"
"EE",2021,5.3,"migratie_neta"
"EE",2022,29.5,"migratie_neta"
"EE",2023,10.1,"migratie_neta"
"EE",2024,1,"migratie_neta"
"EL",2010,-0.1,"migratie_neta"
"EL",2011,-2.9,"migratie_neta"
"EL",2012,-6,"migratie_neta"
"EL",2013,-6.2,"migratie_neta"
"EL",2014,-5,"migratie_neta"
