STRUCTURE,STRUCTURE_ID,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,1995,8.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,1996,9.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,1997,9.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,1998,8.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,1999,15.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2000,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2001,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2002,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2003,,u,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2004,20.1,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2005,19.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2006,19.0,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2007,18.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2008,19.2,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2009,21.0,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2010,20.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2011,20.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2012,22.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2013,24.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2014,38.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2015,38.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2016,39.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2017,40.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2018,40.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2019,41.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2020,41.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2021,42.4,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2022,43.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2023,43.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2024,44.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,AT,2025,43.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BA,2021,27.1,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BA,2022,26.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BA,2023,26.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BA,2024,26.7,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BA,2025,27.5,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BE,1992,27.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BE,1993,29.4,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,BE,1994,30.6,,
