STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,1995,70.7,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,1996,69.8,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,1997,69.9,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,1998,70.2,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,1999,70.9,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2000,70.7,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2001,70.7,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2002,70.9,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2003,71.3,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2004,68.4,b,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2005,70.4,b,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2006,71.6,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2007,72.8,b,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2008,73.8,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2009,73.4,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2010,73.9,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2011,74.2,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2012,74.4,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2013,74.6,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2014,74.2,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2015,74.3,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2016,74.8,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2017,75.4,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2018,76.2,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2019,76.8,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2020,75.5,,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2021,75.6,b,
dataflow,ESTAT:LFSA_ERGAN(1.0),A,PC,T,Y20-64,TOTAL,AT,2022,77.3,,
