STRUCTURE,STRUCTURE_ID,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2009,5.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2010,5.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2011,5.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2012,5.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2013,5.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2014,6.0,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2015,6.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2016,6.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2017,6.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2018,6.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2019,6.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2020,5.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2021,5.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2022,5.7,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2023,5.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2024,5.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,AT,2025,5.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BA,2021,10.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BA,2022,11.3,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BA,2023,10.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BA,2024,9.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BA,2025,8.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2009,6.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2010,6.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2011,7.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2012,6.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2013,6.6,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2014,7.0,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2015,7.4,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2016,7.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2017,8.5,b,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2018,8.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2019,8.5,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2020,8.0,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2021,8.0,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2022,7.1,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2023,6.8,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2024,7.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BE,2025,7.9,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BG,2009,4.2,,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BG,2010,4.0,b,
dataflow,ESTAT:LFSI_PT_A(1.0),A,EMP_TEMP,T,Y20-64,PC_EMP,BG,2011,3.7,b,
