STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2009,5.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2010,4.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2011,4.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2012,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2013,5.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2014,5.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2015,6.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2016,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2017,5.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2018,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2019,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2020,5.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2021,6.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2022,4.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2023,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2024,4.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,AT,2025,5.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BA,2021,17.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BA,2022,15.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BA,2023,13.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BA,2024,12.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BA,2025,12.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2009,7.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2010,8.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2011,7.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2012,7.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2013,8.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2014,8.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2015,8.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2016,7.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2017,7.1,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2018,5.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2019,5.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2020,5.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2021,6.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2022,5.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2023,5.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2024,5.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BE,2025,5.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2009,7.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2010,11.1,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2011,12.0,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2012,13.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2013,13.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2014,12.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2015,10.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2016,8.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2017,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2018,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2019,5.3,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2020,6.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2021,5.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2022,4.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2023,4.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2024,4.1,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,BG,2025,3.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2010,4.7,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2011,4.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2012,4.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2013,4.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2014,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2015,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2016,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2017,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2018,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2019,4.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2020,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2021,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2022,4.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2023,3.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2024,4.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2025,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2009,5.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2010,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2011,7.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2012,11.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2013,15.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2014,16.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2015,14.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2016,12.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2017,11.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2018,8.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2019,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2020,7.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2021,7.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2022,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2023,5.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2024,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2025,4.2,,
