"cod_tara","an","valoare","indicator"
"AT",2010,27.4,"abandon_scolar_timpuriu"
"AT",2011,27.5,"abandon_scolar_timpuriu"
"AT",2012,25.9,"abandon_scolar_timpuriu"
"AT",2013,25.4,"abandon_scolar_timpuriu"
"AT",2014,18.4,"abandon_scolar_timpuriu"
"AT",2015,19.2,"abandon_scolar_timpuriu"
"AT",2016,18.5,"abandon_scolar_timpuriu"
"AT",2017,20.4,"abandon_scolar_timpuriu"
"AT",2018,19.9,"abandon_scolar_timpuriu"
"AT",2019,20.1,"abandon_scolar_timpuriu"
"AT",2020,22,"abandon_scolar_timpuriu"
"AT",2021,21,"abandon_scolar_timpuriu"
"AT",2022,21.7,"abandon_scolar_timpuriu"
"AT",2023,22.8,"abandon_scolar_timpuriu"
"AT",2024,21.5,"abandon_scolar_timpuriu"
"BE",2010,25.6,"abandon_scolar_timpuriu"
"BE",2011,25.2,"abandon_scolar_timpuriu"
"BE",2012,24.4,"abandon_scolar_timpuriu"
"BE",2013,23.8,"abandon_scolar_timpuriu"
"BE",2014,22.3,"abandon_scolar_timpuriu"
"BE",2015,22.1,"abandon_scolar_timpuriu"
"BE",2016,21.6,"abandon_scolar_timpuriu"
"BE",2017,24,"abandon_scolar_timpuriu"
"BE",2018,26.9,"abandon_scolar_timpuriu"
"BE",2019,25.9,"abandon_scolar_timpuriu"
"BE",2020,24.8,"abandon_scolar_timpuriu"
"BE",2021,20.5,"abandon_scolar_timpuriu"
"BE",2022,18.3,"abandon_scolar_timpuriu"
"BE",2023,20.4,"abandon_scolar_timpuriu"
"BE",2024,23.4,"abandon_scolar_timpuriu"
"BG",2010,26.2,"abandon_scolar_timpuriu"
"BG",2011,25.8,"abandon_scolar_timpuriu"
"BG",2012,25,"abandon_scolar_timpuriu"
"BG",2013,24.9,"abandon_scolar_timpuriu"
"BG",2014,24.6,"abandon_scolar_timpuriu"
"BG",2015,25.4,"abandon_scolar_timpuriu"
"BG",2016,26.2,"abandon_scolar_timpuriu"
"BG",2017,25.7,"abandon_scolar_timpuriu"
"BG",2018,25.9,"abandon_scolar_timpuriu"
"BG",2019,27.8,"abandon_scolar_timpuriu"
"BG",2020,27.2,"abandon_scolar_timpuriu"
"BG",2021,25.6,"abandon_scolar_timpuriu"
"BG",2022,22,"abandon_scolar_timpuriu"
"BG",2023,19.9,"abandon_scolar_timpuriu"
"BG",2024,17.3,"abandon_scolar_timpuriu"
"CZ",2010,24.6,"abandon_scolar_timpuriu"
"CZ",2011,25.8,"abandon_scolar_timpuriu"
"CZ",2012,25.8,"abandon_scolar_timpuriu"
"CZ",2013,24.3,"abandon_scolar_timpuriu"
"CZ",2014,23.7,"abandon_scolar_timpuriu"
"CZ",2015,24.3,"abandon_scolar_timpuriu"
"CZ",2016,25.8,"abandon_scolar_timpuriu"
"CZ",2017,26,"abandon_scolar_timpuriu"
"CZ",2018,27,"abandon_scolar_timpuriu"
"CZ",2019,28.9,"abandon_scolar_timpuriu"
"CZ",2020,30.5,"abandon_scolar_timpuriu"
"CZ",2021,28.1,"abandon_scolar_timpuriu"
"CZ",2022,27.6,"abandon_scolar_timpuriu"
"CZ",2023,28.3,"abandon_scolar_timpuriu"
"CZ",2024,28.9,"abandon_scolar_timpuriu"
"DE",2010,40.9,"abandon_scolar_timpuriu"
"DE",2011,38.5,"abandon_scolar_timpuriu"
"DE",2012,37.4,"abandon_scolar_timpuriu"
"DE",2013,35.3,"abandon_scolar_timpuriu"
"DE",2014,35.6,"abandon_scolar_timpuriu"
"DE",2015,36.9,"abandon_scolar_timpuriu"
"DE",2016,35.7,"abandon_scolar_timpuriu"
