"country_code","year","value","indicator"
"AT",2010,73.9,"employment"
"AT",2011,74.2,"employment"
"AT",2012,74.4,"employment"
"AT",2013,74.6,"employment"
"AT",2014,74.2,"employment"
"AT",2015,74.3,"employment"
"AT",2016,74.8,"employment"
"AT",2017,75.4,"employment"
"AT",2018,76.2,"employment"
"AT",2019,76.8,"employment"
"AT",2020,75.5,"employment"
"AT",2021,75.6,"employment"
"AT",2022,77.3,"employment"
"AT",2023,77.2,"employment"
"AT",2024,77.4,"employment"
"BE",2010,67.6,"employment"
"BE",2011,67.3,"employment"
"BE",2012,67.2,"employment"
"BE",2013,67.2,"employment"
"BE",2014,67.3,"employment"
"BE",2015,67.2,"employment"
"BE",2016,67.7,"employment"
"BE",2017,68.5,"employment"
"BE",2018,69.7,"employment"
"BE",2019,70.5,"employment"
"BE",2020,70,"employment"
"BE",2021,70.6,"employment"
"BE",2022,71.9,"employment"
"BE",2023,72.1,"employment"
"BE",2024,72.3,"employment"
"BG",2010,64.7,"employment"
"BG",2011,62.9,"employment"
"BG",2012,63,"employment"
"BG",2013,63.5,"employment"
"BG",2014,65.1,"employment"
"BG",2015,67.1,"employment"
"BG",2016,67.7,"employment"
"BG",2017,71.3,"employment"
"BG",2018,72.4,"employment"
"BG",2019,75,"employment"
"BG",2020,73.6,"employment"
"BG",2021,73.3,"employment"
"BG",2022,75.9,"employment"
"BG",2023,76.2,"employment"
"BG",2024,76.8,"employment"
"CZ",2010,70.4,"employment"
"CZ",2011,70.9,"employment"
"CZ",2012,71.5,"employment"
"CZ",2013,72.5,"employment"
"CZ",2014,73.5,"employment"
"CZ",2015,74.8,"employment"
"CZ",2016,76.7,"employment"
"CZ",2017,78.5,"employment"
"CZ",2018,79.9,"employment"
"CZ",2019,80.3,"employment"
"CZ",2020,79.7,"employment"
"CZ",2021,80,"employment"
"CZ",2022,81.3,"employment"
"CZ",2023,81.7,"employment"
"CZ",2024,82.3,"employment"
"DE",2010,75,"employment"
"DE",2011,76.5,"employment"
"DE",2012,76.9,"employment"
"DE",2013,77.3,"employment"
"DE",2014,77.7,"employment"
"DE",2015,78,"employment"
"DE",2016,78.6,"employment"
"DE",2017,79.2,"employment"
"DE",2018,79.9,"employment"
"DE",2019,80.6,"employment"
"DE",2020,79.2,"employment"
"DE",2021,79.6,"employment"
"DE",2022,80.8,"employment"
"DE",2023,81.1,"employment"
"DE",2024,81.1,"employment"
"DK",2010,74.9,"employment"
"DK",2011,74.8,"employment"
"DK",2012,74.3,"employment"
"DK",2013,74.3,"employment"
"DK",2014,74.7,"employment"
"DK",2015,75.4,"employment"
"DK",2016,76,"employment"
"DK",2017,76.6,"employment"
"DK",2018,77.5,"employment"
"DK",2019,78.3,"employment"
"DK",2020,77.8,"employment"
"DK",2021,79,"employment"
"DK",2022,80.1,"employment"
"DK",2023,79.8,"employment"
"DK",2024,80.2,"employment"
"EE",2010,66.8,"employment"
"EE",2011,70.6,"employment"
"EE",2012,72.2,"employment"
"EE",2013,73.3,"employment"
"EE",2014,74.3,"employment"
"EE",2015,76,"employment"
"EE",2016,76.4,"employment"
"EE",2017,78.3,"employment"
"EE",2018,79.1,"employment"
"EE",2019,79.7,"employment"
"EE",2020,78.2,"employment"
"EE",2021,79.3,"employment"
"EE",2022,81.9,"employment"
"EE",2023,82.1,"employment"
"EE",2024,81.8,"employment"
"EL",2010,63.8,"employment"
"EL",2011,59.6,"employment"
"EL",2012,55,"employment"
"EL",2013,52.9,"employment"
"EL",2014,53.3,"employment"
"EL",2015,54.9,"employment"
"EL",2016,56.2,"employment"
"EL",2017,57.8,"employment"
"EL",2018,59.5,"employment"
"EL",2019,61.2,"employment"
"EL",2020,61.1,"employment"
"EL",2021,62.6,"employment"
"EL",2022,66.3,"employment"
"EL",2023,67.4,"employment"
"EL",2024,69.3,"employment"
"ES",2010,62.8,"employment"
"ES",2011,62,"employment"
"ES",2012,59.6,"employment"
"ES",2013,58.6,"employment"
"ES",2014,59.9,"employment"
"ES",2015,62,"employment"
"ES",2016,63.9,"employment"
"ES",2017,65.5,"employment"
"ES",2018,67,"employment"
"ES",2019,68,"employment"
"ES",2020,65.7,"employment"
"ES",2021,67.5,"employment"
"ES",2022,69.3,"employment"
"ES",2023,70.5,"employment"
"ES",2024,71.4,"employment"
"FI",2010,73,"employment"
"FI",2011,73.8,"employment"
"FI",2012,74,"employment"
"FI",2013,73.3,"employment"
"FI",2014,73.1,"employment"
"FI",2015,72.9,"employment"
"FI",2016,73.4,"employment"
"FI",2017,74.2,"employment"
"FI",2018,76.3,"employment"
"FI",2019,77.2,"employment"
"FI",2020,76.5,"employment"
"FI",2021,76.8,"employment"
"FI",2022,78.4,"employment"
"FI",2023,78.2,"employment"
"FI",2024,77,"employment"
"FR",2010,69.3,"employment"
"FR",2011,69.2,"employment"
"FR",2012,69.4,"employment"
"FR",2013,69.5,"employment"
"FR",2014,69.2,"employment"
"FR",2015,69.5,"employment"
"FR",2016,70,"employment"
"FR",2017,70.6,"employment"
"FR",2018,71.3,"employment"
"FR",2019,71.6,"employment"
"FR",2020,71.4,"employment"
"FR",2021,73.2,"employment"
"FR",2022,74,"employment"
"FR",2023,74.4,"employment"
"FR",2024,75.1,"employment"
"HU",2010,59.9,"employment"
"HU",2011,60.4,"employment"
"HU",2012,61.6,"employment"
"HU",2013,63,"employment"
"HU",2014,66.7,"employment"
"HU",2015,68.9,"employment"
"HU",2016,71.5,"employment"
"HU",2017,73.3,"employment"
"HU",2018,74.5,"employment"
"HU",2019,75.4,"employment"
"HU",2020,75.2,"employment"
"HU",2021,78.9,"employment"
"HU",2022,80.3,"employment"
"HU",2023,80.7,"employment"
"HU",2024,81.1,"employment"
"IT",2010,61,"employment"
"IT",2011,61,"employment"
"IT",2012,60.9,"employment"
"IT",2013,59.7,"employment"
"IT",2014,59.9,"employment"
"IT",2015,60.5,"employment"
"IT",2016,61.6,"employment"
"IT",2017,62.3,"employment"
"IT",2018,63,"employment"
"IT",2019,63.6,"employment"
"IT",2020,62.5,"employment"
"IT",2021,62.7,"employment"
"IT",2022,64.8,"employment"
"IT",2023,66.3,"employment"
"IT",2024,67.1,"employment"
"LT",2010,64.3,"employment"
"LT",2011,66.9,"employment"
"LT",2012,68.5,"employment"
"LT",2013,69.9,"employment"
"LT",2014,71.8,"employment"
"LT",2015,73.3,"employment"
"LT",2016,75.2,"employment"
"LT",2017,76,"employment"
"LT",2018,77.8,"employment"
"LT",2019,78.2,"employment"
"LT",2020,76.7,"employment"
"LT",2021,77.4,"employment"
"LT",2022,79,"employment"
"LT",2023,78.5,"employment"
"LT",2024,79.2,"employment"
"LU",2010,70.7,"employment"
"LU",2011,70.1,"employment"
"LU",2012,71.4,"employment"
"LU",2013,71.1,"employment"
"LU",2014,72.1,"employment"
"LU",2015,70.9,"employment"
"LU",2016,70.7,"employment"
"LU",2017,71.5,"employment"
"LU",2018,72.1,"employment"
"LU",2019,72.8,"employment"
"LU",2020,72.1,"employment"
"LU",2021,74.1,"employment"
