"country_code","year","value","indicator"
"AT",2010,3.7,"rate_of_tech_employment"
"AT",2011,3.5,"rate_of_tech_employment"
"AT",2012,3.5,"rate_of_tech_employment"
"AT",2013,3.8,"rate_of_tech_employment"
"AT",2014,4.1,"rate_of_tech_employment"
"AT",2015,4,"rate_of_tech_employment"
"AT",2016,4.3,"rate_of_tech_employment"
"AT",2017,4.4,"rate_of_tech_employment"
"AT",2018,4.2,"rate_of_tech_employment"
"AT",2019,4,"rate_of_tech_employment"
"AT",2020,4.1,"rate_of_tech_employment"
"AT",2021,4.5,"rate_of_tech_employment"
"AT",2022,5,"rate_of_tech_employment"
"AT",2023,5.1,"rate_of_tech_employment"
"AT",2024,5.2,"rate_of_tech_employment"
"BE",2010,4.7,"rate_of_tech_employment"
"BE",2011,4.6,"rate_of_tech_employment"
"BE",2012,4.7,"rate_of_tech_employment"
"BE",2013,4.4,"rate_of_tech_employment"
"BE",2014,4.4,"rate_of_tech_employment"
"BE",2015,4.4,"rate_of_tech_employment"
"BE",2016,4.3,"rate_of_tech_employment"
"BE",2017,4.6,"rate_of_tech_employment"
"BE",2018,4.9,"rate_of_tech_employment"
"BE",2019,5.1,"rate_of_tech_employment"
"BE",2020,5.1,"rate_of_tech_employment"
"BE",2021,5.7,"rate_of_tech_employment"
"BE",2022,5.8,"rate_of_tech_employment"
"BE",2023,5.5,"rate_of_tech_employment"
"BE",2024,5.6,"rate_of_tech_employment"
"BG",2010,3,"rate_of_tech_employment"
"BG",2011,3.1,"rate_of_tech_employment"
"BG",2012,3.2,"rate_of_tech_employment"
"BG",2013,3.4,"rate_of_tech_employment"
"BG",2014,3.3,"rate_of_tech_employment"
"BG",2015,3.7,"rate_of_tech_employment"
"BG",2016,3.9,"rate_of_tech_employment"
"BG",2017,3.6,"rate_of_tech_employment"
"BG",2018,3.9,"rate_of_tech_employment"
"BG",2019,3.9,"rate_of_tech_employment"
"BG",2020,4.2,"rate_of_tech_employment"
"BG",2021,4.5,"rate_of_tech_employment"
"BG",2022,4.8,"rate_of_tech_employment"
"BG",2023,5.1,"rate_of_tech_employment"
"BG",2024,5.1,"rate_of_tech_employment"
"CZ",2010,4.3,"rate_of_tech_employment"
"CZ",2011,4.5,"rate_of_tech_employment"
"CZ",2012,4.4,"rate_of_tech_employment"
"CZ",2013,4.6,"rate_of_tech_employment"
"CZ",2014,4.8,"rate_of_tech_employment"
"CZ",2015,4.6,"rate_of_tech_employment"
"CZ",2016,4.7,"rate_of_tech_employment"
"CZ",2017,4.7,"rate_of_tech_employment"
"CZ",2018,5,"rate_of_tech_employment"
"CZ",2019,4.9,"rate_of_tech_employment"
"CZ",2020,5.1,"rate_of_tech_employment"
"CZ",2021,5.7,"rate_of_tech_employment"
"CZ",2022,5.4,"rate_of_tech_employment"
"CZ",2023,5.4,"rate_of_tech_employment"
"CZ",2024,5.4,"rate_of_tech_employment"
"DE",2010,4.3,"rate_of_tech_employment"
"DE",2011,4.3,"rate_of_tech_employment"
"DE",2012,4.3,"rate_of_tech_employment"
"DE",2013,4.1,"rate_of_tech_employment"
"DE",2014,4.1,"rate_of_tech_employment"
"DE",2015,4.1,"rate_of_tech_employment"
"DE",2016,4.1,"rate_of_tech_employment"
"DE",2017,4.1,"rate_of_tech_employment"
"DE",2018,4.2,"rate_of_tech_employment"
"DE",2019,4.2,"rate_of_tech_employment"
"DE",2020,5.4,"rate_of_tech_employment"
"DE",2021,5.4,"rate_of_tech_employment"
"DE",2022,5.4,"rate_of_tech_employment"
"DE",2023,5.7,"rate_of_tech_employment"
"DE",2024,5.7,"rate_of_tech_employment"
"DK",2010,5.4,"rate_of_tech_employment"
"DK",2011,5.5,"rate_of_tech_employment"
