"cod_tara","an","valoare","indicator"
"AT",2010,25770.16,"venit_anual"
"AT",2011,26375.67,"venit_anual"
"AT",2012,26893.06,"venit_anual"
"AT",2013,27520.54,"venit_anual"
"AT",2014,27965.34,"venit_anual"
"AT",2015,28524.14,"venit_anual"
"AT",2016,30601.53,"venit_anual"
"AT",2017,31083.14,"venit_anual"
"AT",2018,31640.93,"venit_anual"
"AT",2019,32325.12,"venit_anual"
"AT",2020,33032.37,"venit_anual"
"AT",2021,33712.2,"venit_anual"
"AT",2022,36075.61,"venit_anual"
"AT",2023,38375.91,"venit_anual"
"AT",2024,41747.41,"venit_anual"
"BE",2010,24873.45,"venit_anual"
"BE",2011,25519.86,"venit_anual"
"BE",2012,26287.51,"venit_anual"
"BE",2013,26609.37,"venit_anual"
"BE",2014,26775.94,"venit_anual"
"BE",2015,26953.59,"venit_anual"
"BE",2016,27574.37,"venit_anual"
"BE",2017,28238.77,"venit_anual"
"BE",2018,29240.96,"venit_anual"
"BE",2019,30188.71,"venit_anual"
"BE",2020,30539.81,"venit_anual"
"BE",2021,31063.95,"venit_anual"
"BE",2022,32889.21,"venit_anual"
"BE",2023,35438.98,"venit_anual"
"BE",2024,36672.38,"venit_anual"
"BG",2010,6263.14,"venit_anual"
"BG",2011,6642.77,"venit_anual"
"BG",2012,7037.85,"venit_anual"
"BG",2013,7428.24,"venit_anual"
"BG",2014,7889.17,"venit_anual"
"BG",2015,8486.5,"venit_anual"
"BG",2016,9170.85,"venit_anual"
"BG",2017,10038.61,"venit_anual"
"BG",2018,10653.43,"venit_anual"
"BG",2019,11916.72,"venit_anual"
"BG",2020,12933.26,"venit_anual"
"BG",2021,14583.77,"venit_anual"
"BG",2022,16759.62,"venit_anual"
"BG",2023,19343.63,"venit_anual"
"BG",2024,21658.33,"venit_anual"
"CZ",2010,8832.96,"venit_anual"
"CZ",2011,9257.22,"venit_anual"
"CZ",2012,9311.44,"venit_anual"
"CZ",2013,8973.79,"venit_anual"
"CZ",2014,8694.95,"venit_anual"
"CZ",2015,9017.25,"venit_anual"
"CZ",2016,9446.75,"venit_anual"
"CZ",2017,10263.3,"venit_anual"
"CZ",2018,11256.33,"venit_anual"
"CZ",2019,11992.68,"venit_anual"
"CZ",2020,11974.4,"venit_anual"
"CZ",2021,13969.74,"venit_anual"
"CZ",2022,15703.05,"venit_anual"
"CZ",2023,17265.6,"venit_anual"
"CZ",2024,17290.99,"venit_anual"
"DE",2010,25374.06,"venit_anual"
"DE",2011,26088.04,"venit_anual"
"DE",2012,26729.62,"venit_anual"
"DE",2013,27171.02,"venit_anual"
"DE",2014,27791.42,"venit_anual"
"DE",2015,28410.71,"venit_anual"
"DE",2016,28986.32,"venit_anual"
"DE",2017,29468.63,"venit_anual"
"DE",2018,30419.87,"venit_anual"
"DE",2019,31486.26,"venit_anual"
"DE",2020,31292.95,"venit_anual"
"DE",2021,32850.2,"venit_anual"
"DE",2022,35596.73,"venit_anual"
"DE",2023,37908.41,"venit_anual"
"DE",2024,39594.13,"venit_anual"
"DK",2010,32349.16,"venit_anual"
"DK",2011,33153.43,"venit_anual"
"DK",2012,33617.32,"venit_anual"
"DK",2013,33873.44,"venit_anual"
"DK",2014,34330.38,"venit_anual"
"DK",2015,34689.46,"venit_anual"
"DK",2016,35021.65,"venit_anual"
"DK",2017,35558.92,"venit_anual"
"DK",2018,36307.24,"venit_anual"
"DK",2019,37133.59,"venit_anual"
"DK",2020,37878.85,"venit_anual"
"DK",2021,39315.61,"venit_anual"
"DK",2022,40710.04,"venit_anual"
"DK",2023,42357.77,"venit_anual"
"DK",2024,43912.73,"venit_anual"
