"cod_tara","an","valoare","indicator"
"AT",2010,20.7,"educatie_tertiara"
"AT",2011,20.9,"educatie_tertiara"
"AT",2012,22.8,"educatie_tertiara"
"AT",2013,24.9,"educatie_tertiara"
"AT",2014,38.4,"educatie_tertiara"
"AT",2015,38.6,"educatie_tertiara"
"AT",2016,39.7,"educatie_tertiara"
"AT",2017,40.3,"educatie_tertiara"
"AT",2018,40.5,"educatie_tertiara"
"AT",2019,41.6,"educatie_tertiara"
"AT",2020,41.4,"educatie_tertiara"
"AT",2021,42.4,"educatie_tertiara"
"AT",2022,43.1,"educatie_tertiara"
"AT",2023,43.5,"educatie_tertiara"
"AT",2024,44.1,"educatie_tertiara"
"BE",2010,43.8,"educatie_tertiara"
"BE",2011,42.5,"educatie_tertiara"
"BE",2012,43,"educatie_tertiara"
"BE",2013,42.7,"educatie_tertiara"
"BE",2014,44.2,"educatie_tertiara"
"BE",2015,43.1,"educatie_tertiara"
"BE",2016,44.3,"educatie_tertiara"
"BE",2017,45.7,"educatie_tertiara"
"BE",2018,47.4,"educatie_tertiara"
"BE",2019,47.3,"educatie_tertiara"
"BE",2020,48.5,"educatie_tertiara"
"BE",2021,50.9,"educatie_tertiara"
"BE",2022,51.4,"educatie_tertiara"
"BE",2023,50,"educatie_tertiara"
"BE",2024,50.7,"educatie_tertiara"
"BG",2010,27.5,"educatie_tertiara"
"BG",2011,27.2,"educatie_tertiara"
"BG",2012,27.2,"educatie_tertiara"
"BG",2013,29.6,"educatie_tertiara"
"BG",2014,31.3,"educatie_tertiara"
"BG",2015,31.8,"educatie_tertiara"
"BG",2016,32.8,"educatie_tertiara"
"BG",2017,33.4,"educatie_tertiara"
"BG",2018,34,"educatie_tertiara"
"BG",2019,32.6,"educatie_tertiara"
"BG",2020,33.1,"educatie_tertiara"
"BG",2021,33.8,"educatie_tertiara"
"BG",2022,34,"educatie_tertiara"
"BG",2023,35.8,"educatie_tertiara"
"BG",2024,40.5,"educatie_tertiara"
"CZ",2010,22.6,"educatie_tertiara"
"CZ",2011,25.1,"educatie_tertiara"
"CZ",2012,27.8,"educatie_tertiara"
"CZ",2013,29.2,"educatie_tertiara"
"CZ",2014,29.9,"educatie_tertiara"
"CZ",2015,31,"educatie_tertiara"
"CZ",2016,32.6,"educatie_tertiara"
"CZ",2017,33.8,"educatie_tertiara"
"CZ",2018,33.3,"educatie_tertiara"
"CZ",2019,32.6,"educatie_tertiara"
"CZ",2020,33,"educatie_tertiara"
"CZ",2021,34.9,"educatie_tertiara"
"CZ",2022,34.6,"educatie_tertiara"
"CZ",2023,33.7,"educatie_tertiara"
"CZ",2024,33.5,"educatie_tertiara"
"DE",2010,26,"educatie_tertiara"
"DE",2011,27.6,"educatie_tertiara"
"DE",2012,28.9,"educatie_tertiara"
"DE",2013,29.9,"educatie_tertiara"
"DE",2014,28.4,"educatie_tertiara"
"DE",2015,29.6,"educatie_tertiara"
"DE",2016,30.5,"educatie_tertiara"
"DE",2017,31.3,"educatie_tertiara"
"DE",2018,32.3,"educatie_tertiara"
"DE",2019,33.3,"educatie_tertiara"
"DE",2020,35.3,"educatie_tertiara"
"DE",2021,36.9,"educatie_tertiara"
"DE",2022,36.8,"educatie_tertiara"
"DE",2023,37.9,"educatie_tertiara"
"DE",2024,39.1,"educatie_tertiara"
"DK",2010,37.6,"educatie_tertiara"
"DK",2011,38.6,"educatie_tertiara"
"DK",2012,40.2,"educatie_tertiara"
"DK",2013,40.9,"educatie_tertiara"
"DK",2014,41.6,"educatie_tertiara"
"DK",2015,43,"educatie_tertiara"
"DK",2016,44.6,"educatie_tertiara"
"DK",2017,45.5,"educatie_tertiara"
"DK",2018,45.8,"educatie_tertiara"
"DK",2019,47.1,"educatie_tertiara"
"DK",2020,47.1,"educatie_tertiara"
"DK",2021,49.1,"educatie_tertiara"
"DK",2022,49,"educatie_tertiara"
"DK",2023,49,"educatie_tertiara"
"DK",2024,51.2,"educatie_tertiara"
"EE",2010,38.2,"educatie_tertiara"
"EE",2011,39,"educatie_tertiara"
"EE",2012,40.1,"educatie_tertiara"
"EE",2013,40.6,"educatie_tertiara"
"EE",2014,40.6,"educatie_tertiara"
"EE",2015,38.5,"educatie_tertiara"
"EE",2016,39.1,"educatie_tertiara"
"EE",2017,40.9,"educatie_tertiara"
"EE",2018,41.1,"educatie_tertiara"
"EE",2019,40.6,"educatie_tertiara"
"EE",2020,40.1,"educatie_tertiara"
"EE",2021,43.2,"educatie_tertiara"
"EE",2022,43.9,"educatie_tertiara"
"EE",2023,43.5,"educatie_tertiara"
"EE",2024,42.7,"educatie_tertiara"
"EL",2010,30.6,"educatie_tertiara"
"EL",2011,32.3,"educatie_tertiara"
"EL",2012,34.5,"educatie_tertiara"
"EL",2013,37.2,"educatie_tertiara"
"EL",2014,38.7,"educatie_tertiara"
"EL",2015,40.1,"educatie_tertiara"
"EL",2016,41,"educatie_tertiara"
"EL",2017,42.5,"educatie_tertiara"
"EL",2018,42.8,"educatie_tertiara"
"EL",2019,42.4,"educatie_tertiara"
"EL",2020,43.7,"educatie_tertiara"
"EL",2021,44.2,"educatie_tertiara"
"EL",2022,45.2,"educatie_tertiara"
"EL",2023,44.5,"educatie_tertiara"
"EL",2024,44.5,"educatie_tertiara"
"ES",2010,40.3,"educatie_tertiara"
"ES",2011,40.3,"educatie_tertiara"
"ES",2012,40.4,"educatie_tertiara"
"ES",2013,41.1,"educatie_tertiara"
"ES",2014,41.5,"educatie_tertiara"
"ES",2015,41,"educatie_tertiara"
"ES",2016,41,"educatie_tertiara"
"ES",2017,42.6,"educatie_tertiara"
"ES",2018,44.3,"educatie_tertiara"
"ES",2019,46.5,"educatie_tertiara"
"ES",2020,47.4,"educatie_tertiara"
"ES",2021,48.5,"educatie_tertiara"
"ES",2022,50.2,"educatie_tertiara"
"ES",2023,52,"educatie_tertiara"
"ES",2024,52.6,"educatie_tertiara"
"FI",2010,39.2,"educatie_tertiara"
"FI",2011,39.4,"educatie_tertiara"
"FI",2012,39.7,"educatie_tertiara"
"FI",2013,40,"educatie_tertiara"
"FI",2014,40.3,"educatie_tertiara"
"FI",2015,40.2,"educatie_tertiara"
"FI",2016,40.7,"educatie_tertiara"
"FI",2017,40.3,"educatie_tertiara"
"FI",2018,40.3,"educatie_tertiara"
"FI",2019,42,"educatie_tertiara"
"FI",2020,43.8,"educatie_tertiara"
"FI",2021,40.1,"educatie_tertiara"
"FI",2022,40.7,"educatie_tertiara"
"FI",2023,39.2,"educatie_tertiara"
"FI",2024,39.1,"educatie_tertiara"
"FR",2010,42.7,"educatie_tertiara"
"FR",2011,42.8,"educatie_tertiara"
"FR",2012,42.6,"educatie_tertiara"
"FR",2013,43.9,"educatie_tertiara"
"FR",2014,44.3,"educatie_tertiara"
"FR",2015,44.8,"educatie_tertiara"
"FR",2016,44.2,"educatie_tertiara"
"FR",2017,44.5,"educatie_tertiara"
"FR",2018,47,"educatie_tertiara"
"FR",2019,48.2,"educatie_tertiara"
"FR",2020,49.4,"educatie_tertiara"
"FR",2021,50.3,"educatie_tertiara"
"FR",2022,50.4,"educatie_tertiara"
"FR",2023,51.9,"educatie_tertiara"
"FR",2024,53.1,"educatie_tertiara"
"HR",2010,25.6,"educatie_tertiara"
"HR",2011,25,"educatie_tertiara"
"HR",2012,24.7,"educatie_tertiara"
"HR",2013,28.9,"educatie_tertiara"
"HR",2014,32.3,"educatie_tertiara"
"HR",2015,30.8,"educatie_tertiara"
"HR",2016,32.8,"educatie_tertiara"
"HR",2017,32.7,"educatie_tertiara"
"HR",2018,35.3,"educatie_tertiara"
"HR",2019,35.4,"educatie_tertiara"
"HR",2020,37,"educatie_tertiara"
"HR",2021,36.2,"educatie_tertiara"
"HR",2022,36,"educatie_tertiara"
"HR",2023,38.8,"educatie_tertiara"
"HR",2024,39.4,"educatie_tertiara"
"HU",2010,26.1,"educatie_tertiara"
"HU",2011,28.2,"educatie_tertiara"
"HU",2012,30.5,"educatie_tertiara"
"HU",2013,31.2,"educatie_tertiara"
"HU",2014,32.1,"educatie_tertiara"
"HU",2015,32.1,"educatie_tertiara"
"HU",2016,30.4,"educatie_tertiara"
"HU",2017,30.2,"educatie_tertiara"
"HU",2018,30.9,"educatie_tertiara"
"HU",2019,30.9,"educatie_tertiara"
"HU",2020,31,"educatie_tertiara"
"HU",2021,33.4,"educatie_tertiara"
"HU",2022,32.5,"educatie_tertiara"
"HU",2023,30.1,"educatie_tertiara"
"HU",2024,32.3,"educatie_tertiara"
"IT",2010,20.8,"educatie_tertiara"
"IT",2011,21.1,"educatie_tertiara"
"IT",2012,22.5,"educatie_tertiara"
"IT",2013,22.9,"educatie_tertiara"
"IT",2014,24.2,"educatie_tertiara"
"IT",2015,25.2,"educatie_tertiara"
"IT",2016,25.6,"educatie_tertiara"
"IT",2017,26.9,"educatie_tertiara"
"IT",2018,27.9,"educatie_tertiara"
"IT",2019,27.9,"educatie_tertiara"
"IT",2020,28.6,"educatie_tertiara"
"IT",2021,28.3,"educatie_tertiara"
"IT",2022,29.2,"educatie_tertiara"
"IT",2023,30.6,"educatie_tertiara"
"IT",2024,31.6,"educatie_tertiara"
"LT",2010,46.3,"educatie_tertiara"
"LT",2011,48.2,"educatie_tertiara"
"LT",2012,48.6,"educatie_tertiara"
"LT",2013,50.5,"educatie_tertiara"
"LT",2014,52.6,"educatie_tertiara"
"LT",2015,54.8,"educatie_tertiara"
"LT",2016,54.9,"educatie_tertiara"
"LT",2017,55.6,"educatie_tertiara"
"LT",2018,55.6,"educatie_tertiara"
"LT",2019,55.2,"educatie_tertiara"
"LT",2020,56.2,"educatie_tertiara"
"LT",2021,57.5,"educatie_tertiara"
"LT",2022,58.2,"educatie_tertiara"
"LT",2023,57.4,"educatie_tertiara"
"LT",2024,58.2,"educatie_tertiara"
"LU",2010,44.2,"educatie_tertiara"
"LU",2011,46.6,"educatie_tertiara"
"LU",2012,49.9,"educatie_tertiara"
"LU",2013,48.1,"educatie_tertiara"
"LU",2014,52.9,"educatie_tertiara"
"LU",2015,50.3,"educatie_tertiara"
