"cod_tara","an","valoare","indicator"
"AT",2010,765.4,"ocupare_educatie_superioara"
"AT",2011,779.6,"ocupare_educatie_superioara"
"AT",2012,818.1,"ocupare_educatie_superioara"
"AT",2013,850,"ocupare_educatie_superioara"
"AT",2014,1292.6,"ocupare_educatie_superioara"
"AT",2015,1337.4,"ocupare_educatie_superioara"
"AT",2016,1404.2,"ocupare_educatie_superioara"
"AT",2017,1455.7,"ocupare_educatie_superioara"
"AT",2018,1473.3,"ocupare_educatie_superioara"
"AT",2019,1528.1,"ocupare_educatie_superioara"
"AT",2020,1540.5,"ocupare_educatie_superioara"
"AT",2021,1569.9,"ocupare_educatie_superioara"
"AT",2022,1637.6,"ocupare_educatie_superioara"
"AT",2023,1700.3,"ocupare_educatie_superioara"
"AT",2024,1729.7,"ocupare_educatie_superioara"
"BE",2010,1805.1,"ocupare_educatie_superioara"
"BE",2011,1800.6,"ocupare_educatie_superioara"
"BE",2012,1849.7,"ocupare_educatie_superioara"
"BE",2013,1852.8,"ocupare_educatie_superioara"
"BE",2014,1943.4,"ocupare_educatie_superioara"
"BE",2015,1945.4,"ocupare_educatie_superioara"
"BE",2016,1988.6,"ocupare_educatie_superioara"
"BE",2017,2127.6,"ocupare_educatie_superioara"
"BE",2018,2186.5,"ocupare_educatie_superioara"
"BE",2019,2205.9,"ocupare_educatie_superioara"
"BE",2020,2298.4,"ocupare_educatie_superioara"
"BE",2021,2448.6,"ocupare_educatie_superioara"
"BE",2022,2528,"ocupare_educatie_superioara"
"BE",2023,2494.4,"ocupare_educatie_superioara"
"BE",2024,2491.9,"ocupare_educatie_superioara"
"BG",2010,829.6,"ocupare_educatie_superioara"
"BG",2011,817.2,"ocupare_educatie_superioara"
"BG",2012,825.2,"ocupare_educatie_superioara"
"BG",2013,870,"ocupare_educatie_superioara"
"BG",2014,925.4,"ocupare_educatie_superioara"
"BG",2015,956.8,"ocupare_educatie_superioara"
"BG",2016,956.3,"ocupare_educatie_superioara"
"BG",2017,964,"ocupare_educatie_superioara"
"BG",2018,968.8,"ocupare_educatie_superioara"
"BG",2019,912,"ocupare_educatie_superioara"
"BG",2020,929.6,"ocupare_educatie_superioara"
"BG",2021,942.3,"ocupare_educatie_superioara"
"BG",2022,948.8,"ocupare_educatie_superioara"
"BG",2023,960.1,"ocupare_educatie_superioara"
"BG",2024,1058.2,"ocupare_educatie_superioara"
"CZ",2010,871.7,"ocupare_educatie_superioara"
"CZ",2011,937.1,"ocupare_educatie_superioara"
"CZ",2012,996,"ocupare_educatie_superioara"
"CZ",2013,1070.9,"ocupare_educatie_superioara"
"CZ",2014,1112.1,"ocupare_educatie_superioara"
"CZ",2015,1147.3,"ocupare_educatie_superioara"
"CZ",2016,1194.9,"ocupare_educatie_superioara"
"CZ",2017,1246.4,"ocupare_educatie_superioara"
"CZ",2018,1275.7,"ocupare_educatie_superioara"
"CZ",2019,1254.7,"ocupare_educatie_superioara"
"CZ",2020,1265.8,"ocupare_educatie_superioara"
"CZ",2021,1352.6,"ocupare_educatie_superioara"
"CZ",2022,1349,"ocupare_educatie_superioara"
"CZ",2023,1322.9,"ocupare_educatie_superioara"
"CZ",2024,1378.4,"ocupare_educatie_superioara"
"DE",2010,10291.7,"ocupare_educatie_superioara"
"DE",2011,10823.6,"ocupare_educatie_superioara"
"DE",2012,11119.3,"ocupare_educatie_superioara"
"DE",2013,11284.6,"ocupare_educatie_superioara"
"DE",2014,10728.7,"ocupare_educatie_superioara"
"DE",2015,11039.5,"ocupare_educatie_superioara"
"DE",2016,11524,"ocupare_educatie_superioara"
"DE",2017,11697.6,"ocupare_educatie_superioara"
"DE",2018,11880.5,"ocupare_educatie_superioara"
"DE",2019,12325.3,"ocupare_educatie_superioara"
"DE",2020,12556.5,"ocupare_educatie_superioara"
"DE",2021,12882.5,"ocupare_educatie_superioara"
"DE",2022,13062.6,"ocupare_educatie_superioara"
"DE",2023,13410.1,"ocupare_educatie_superioara"
"DE",2024,13598.2,"ocupare_educatie_superioara"
"DK",2010,821.5,"ocupare_educatie_superioara"
"DK",2011,835,"ocupare_educatie_superioara"
"DK",2012,854.2,"ocupare_educatie_superioara"
"DK",2013,865.3,"ocupare_educatie_superioara"
"DK",2014,887.1,"ocupare_educatie_superioara"
"DK",2015,923.8,"ocupare_educatie_superioara"
"DK",2016,945.6,"ocupare_educatie_superioara"
"DK",2017,980.3,"ocupare_educatie_superioara"
"DK",2018,1014.6,"ocupare_educatie_superioara"
"DK",2019,1057.8,"ocupare_educatie_superioara"
"DK",2020,1075.7,"ocupare_educatie_superioara"
"DK",2021,1118.8,"ocupare_educatie_superioara"
"DK",2022,1146,"ocupare_educatie_superioara"
"DK",2023,1177.1,"ocupare_educatie_superioara"
"DK",2024,1241.7,"ocupare_educatie_superioara"
"EE",2010,210.4,"ocupare_educatie_superioara"
"EE",2011,220.3,"ocupare_educatie_superioara"
"EE",2012,230.1,"ocupare_educatie_superioara"
"EE",2013,231.1,"ocupare_educatie_superioara"
"EE",2014,234.1,"ocupare_educatie_superioara"
"EE",2015,230.4,"ocupare_educatie_superioara"
"EE",2016,234.5,"ocupare_educatie_superioara"
"EE",2017,240.9,"ocupare_educatie_superioara"
"EE",2018,243.4,"ocupare_educatie_superioara"
"EE",2019,250.7,"ocupare_educatie_superioara"
"EE",2020,248.8,"ocupare_educatie_superioara"
"EE",2021,261.2,"ocupare_educatie_superioara"
"EE",2022,269.2,"ocupare_educatie_superioara"
"EE",2023,276.5,"ocupare_educatie_superioara"
"EE",2024,277.4,"ocupare_educatie_superioara"
"EL",2010,1202,"ocupare_educatie_superioara"
"EL",2011,1187.3,"ocupare_educatie_superioara"
"EL",2012,1149.7,"ocupare_educatie_superioara"
"EL",2013,1162.2,"ocupare_educatie_superioara"
"EL",2014,1171.8,"ocupare_educatie_superioara"
"EL",2015,1206.6,"ocupare_educatie_superioara"
"EL",2016,1275.1,"ocupare_educatie_superioara"
"EL",2017,1324.3,"ocupare_educatie_superioara"
"EL",2018,1384.7,"ocupare_educatie_superioara"
"EL",2019,1412.7,"ocupare_educatie_superioara"
"EL",2020,1425.1,"ocupare_educatie_superioara"
"EL",2021,1507.5,"ocupare_educatie_superioara"
"EL",2022,1589.3,"ocupare_educatie_superioara"
"EL",2023,1559.1,"ocupare_educatie_superioara"
"EL",2024,1601.6,"ocupare_educatie_superioara"
"ES",2010,6889.4,"ocupare_educatie_superioara"
"ES",2011,6997.6,"ocupare_educatie_superioara"
"ES",2012,6962.7,"ocupare_educatie_superioara"
"ES",2013,7013.5,"ocupare_educatie_superioara"
"ES",2014,7232.6,"ocupare_educatie_superioara"
"ES",2015,7419.1,"ocupare_educatie_superioara"
"ES",2016,7656.7,"ocupare_educatie_superioara"
"ES",2017,7923.5,"ocupare_educatie_superioara"
"ES",2018,8216.1,"ocupare_educatie_superioara"
"ES",2019,8571.5,"ocupare_educatie_superioara"
"ES",2020,8621.4,"ocupare_educatie_superioara"
"ES",2021,8994.7,"ocupare_educatie_superioara"
"ES",2022,9318,"ocupare_educatie_superioara"
"ES",2023,9681.2,"ocupare_educatie_superioara"
"ES",2024,9960.1,"ocupare_educatie_superioara"
"FI",2010,938.9,"ocupare_educatie_superioara"
"FI",2011,964.5,"ocupare_educatie_superioara"
"FI",2012,968.2,"ocupare_educatie_superioara"
"FI",2013,981.3,"ocupare_educatie_superioara"
"FI",2014,1002.4,"ocupare_educatie_superioara"
"FI",2015,1017.7,"ocupare_educatie_superioara"
"FI",2016,1025.7,"ocupare_educatie_superioara"
"FI",2017,1055.3,"ocupare_educatie_superioara"
"FI",2018,1097.9,"ocupare_educatie_superioara"
"FI",2019,1132.5,"ocupare_educatie_superioara"
"FI",2020,1168.4,"ocupare_educatie_superioara"
"FI",2021,1050.4,"ocupare_educatie_superioara"
"FI",2022,1073.7,"ocupare_educatie_superioara"
"FI",2023,1076.6,"ocupare_educatie_superioara"
"FI",2024,1082.8,"ocupare_educatie_superioara"
"FR",2010,8394.5,"ocupare_educatie_superioara"
"FR",2011,8599.5,"ocupare_educatie_superioara"
"FR",2012,8955.3,"ocupare_educatie_superioara"
"FR",2013,9352.6,"ocupare_educatie_superioara"
"FR",2014,9864.9,"ocupare_educatie_superioara"
"FR",2015,10119.9,"ocupare_educatie_superioara"
"FR",2016,10381.1,"ocupare_educatie_superioara"
"FR",2017,10601.1,"ocupare_educatie_superioara"
"FR",2018,11036.1,"ocupare_educatie_superioara"
"FR",2019,11424.1,"ocupare_educatie_superioara"
"FR",2020,11813.1,"ocupare_educatie_superioara"
"FR",2021,12348,"ocupare_educatie_superioara"
"FR",2022,12712.3,"ocupare_educatie_superioara"
"FR",2023,13036.4,"ocupare_educatie_superioara"
"FR",2024,13461.8,"ocupare_educatie_superioara"
"HR",2010,365.2,"ocupare_educatie_superioara"
"HR",2011,339.5,"ocupare_educatie_superioara"
"HR",2012,356.1,"ocupare_educatie_superioara"
"HR",2013,381.8,"ocupare_educatie_superioara"
"HR",2014,411.7,"ocupare_educatie_superioara"
"HR",2015,428,"ocupare_educatie_superioara"
"HR",2016,430.4,"ocupare_educatie_superioara"
"HR",2017,441,"ocupare_educatie_superioara"
"HR",2018,457.6,"ocupare_educatie_superioara"
"HR",2019,456.2,"ocupare_educatie_superioara"
"HR",2020,462.2,"ocupare_educatie_superioara"
"HR",2021,462.3,"ocupare_educatie_superioara"
"HR",2022,470.5,"ocupare_educatie_superioara"
"HR",2023,519.8,"ocupare_educatie_superioara"
"HR",2024,562,"ocupare_educatie_superioara"
"HU",2010,892.5,"ocupare_educatie_superioara"
"HU",2011,950.4,"ocupare_educatie_superioara"
"HU",2012,998.4,"ocupare_educatie_superioara"
"HU",2013,1020.7,"ocupare_educatie_superioara"
"HU",2014,1077.1,"ocupare_educatie_superioara"
"HU",2015,1122.8,"ocupare_educatie_superioara"
"HU",2016,1123.3,"ocupare_educatie_superioara"
"HU",2017,1129.6,"ocupare_educatie_superioara"
"HU",2018,1172.6,"ocupare_educatie_superioara"
"HU",2019,1207,"ocupare_educatie_superioara"
"HU",2020,1252.4,"ocupare_educatie_superioara"
"HU",2021,1412.8,"ocupare_educatie_superioara"
"HU",2022,1431.5,"ocupare_educatie_superioara"
"HU",2023,1440.7,"ocupare_educatie_superioara"
"HU",2024,1495,"ocupare_educatie_superioara"
"IT",2010,3885.9,"ocupare_educatie_superioara"
"IT",2011,3968.7,"ocupare_educatie_superioara"
"IT",2012,4171.1,"ocupare_educatie_superioara"
"IT",2013,4291.4,"ocupare_educatie_superioara"
"IT",2014,4419.8,"ocupare_educatie_superioara"
"IT",2015,4608.5,"ocupare_educatie_superioara"
"IT",2016,4719.3,"ocupare_educatie_superioara"
"IT",2017,5004.6,"ocupare_educatie_superioara"
"IT",2018,5161.5,"ocupare_educatie_superioara"
"IT",2019,5249.6,"ocupare_educatie_superioara"
"IT",2020,5248.2,"ocupare_educatie_superioara"
"IT",2021,5299,"ocupare_educatie_superioara"
"IT",2022,5437.5,"ocupare_educatie_superioara"
"IT",2023,5808.4,"ocupare_educatie_superioara"
"IT",2024,6033,"ocupare_educatie_superioara"
"LT",2010,488.4,"ocupare_educatie_superioara"
"LT",2011,494.8,"ocupare_educatie_superioara"
"LT",2012,499.4,"ocupare_educatie_superioara"
"LT",2013,517.5,"ocupare_educatie_superioara"
"LT",2014,544.8,"ocupare_educatie_superioara"
"LT",2015,570,"ocupare_educatie_superioara"
"LT",2016,585.2,"ocupare_educatie_superioara"
"LT",2017,581,"ocupare_educatie_superioara"
"LT",2018,597,"ocupare_educatie_superioara"
"LT",2019,624.6,"ocupare_educatie_superioara"
"LT",2020,627.7,"ocupare_educatie_superioara"
"LT",2021,642,"ocupare_educatie_superioara"
"LT",2022,680.1,"ocupare_educatie_superioara"
"LT",2023,685.1,"ocupare_educatie_superioara"
"LT",2024,707.1,"ocupare_educatie_superioara"
"LU",2010,81.8,"ocupare_educatie_superioara"
"LU",2011,90,"ocupare_educatie_superioara"
"LU",2012,97.9,"ocupare_educatie_superioara"
"LU",2013,103.5,"ocupare_educatie_superioara"
"LU",2014,118.2,"ocupare_educatie_superioara"
"LU",2015,108.3,"ocupare_educatie_superioara"
"LU",2016,107.8,"ocupare_educatie_superioara"
"LU",2017,96.8,"ocupare_educatie_superioara"
"LU",2018,126.6,"ocupare_educatie_superioara"
"LU",2019,141.3,"ocupare_educatie_superioara"
"LU",2020,143.9,"ocupare_educatie_superioara"
"LU",2021,160,"ocupare_educatie_superioara"
"LU",2022,169.4,"ocupare_educatie_superioara"
"LU",2023,173.4,"ocupare_educatie_superioara"
"LU",2024,186,"ocupare_educatie_superioara"
"LV",2010,256.5,"ocupare_educatie_superioara"
"LV",2011,272.4,"ocupare_educatie_superioara"
"LV",2012,290.1,"ocupare_educatie_superioara"
"LV",2013,302.7,"ocupare_educatie_superioara"
"LV",2014,290,"ocupare_educatie_superioara"
"LV",2015,304.7,"ocupare_educatie_superioara"
"LV",2016,319.4,"ocupare_educatie_superioara"
"LV",2017,320,"ocupare_educatie_superioara"
"LV",2018,324.7,"ocupare_educatie_superioara"
"LV",2019,336.1,"ocupare_educatie_superioara"
"LV",2020,340.9,"ocupare_educatie_superioara"
"LV",2021,344.7,"ocupare_educatie_superioara"
"LV",2022,351.7,"ocupare_educatie_superioara"
"LV",2023,347,"ocupare_educatie_superioara"
"LV",2024,351.9,"ocupare_educatie_superioara"
"NL",2010,2607.7,"ocupare_educatie_superioara"
"NL",2011,2621.4,"ocupare_educatie_superioara"
"NL",2012,2690.6,"ocupare_educatie_superioara"
"NL",2013,2748.8,"ocupare_educatie_superioara"
"NL",2014,2796.1,"ocupare_educatie_superioara"
"NL",2015,2882,"ocupare_educatie_superioara"
"NL",2016,2934.5,"ocupare_educatie_superioara"
"NL",2017,3062.8,"ocupare_educatie_superioara"
"NL",2018,3187.9,"ocupare_educatie_superioara"
"NL",2019,3367.6,"ocupare_educatie_superioara"
"NL",2020,3549.4,"ocupare_educatie_superioara"
"NL",2021,3678.9,"ocupare_educatie_superioara"
"NL",2022,3869.7,"ocupare_educatie_superioara"
"NL",2023,3884.7,"ocupare_educatie_superioara"
"NL",2024,3955.2,"ocupare_educatie_superioara"
"NO",2010,886.1,"ocupare_educatie_superioara"
"NO",2011,914.1,"ocupare_educatie_superioara"
"NO",2012,949.4,"ocupare_educatie_superioara"
"NO",2013,982.4,"ocupare_educatie_superioara"
"NO",2014,1076.3,"ocupare_educatie_superioara"
"NO",2015,1102.2,"ocupare_educatie_superioara"
"NO",2016,1107.9,"ocupare_educatie_superioara"
"NO",2017,1113.8,"ocupare_educatie_superioara"
"NO",2018,1138.2,"ocupare_educatie_superioara"
"NO",2019,1158.6,"ocupare_educatie_superioara"
"NO",2020,1189.9,"ocupare_educatie_superioara"
"NO",2021,1240.7,"ocupare_educatie_superioara"
"NO",2022,1275,"ocupare_educatie_superioara"
"NO",2023,1307.1,"ocupare_educatie_superioara"
"NO",2024,1337.9,"ocupare_educatie_superioara"
"PL",2010,4137.1,"ocupare_educatie_superioara"
"PL",2011,4300.9,"ocupare_educatie_superioara"
"PL",2012,4531.2,"ocupare_educatie_superioara"
"PL",2013,4748.5,"ocupare_educatie_superioara"
"PL",2014,5047.5,"ocupare_educatie_superioara"
"PL",2015,5220.2,"ocupare_educatie_superioara"
"PL",2016,5335.4,"ocupare_educatie_superioara"
"PL",2017,5547.5,"ocupare_educatie_superioara"
"PL",2018,5713.7,"ocupare_educatie_superioara"
"PL",2019,6098.1,"ocupare_educatie_superioara"
"PL",2020,6215.8,"ocupare_educatie_superioara"
"PL",2021,6291.6,"ocupare_educatie_superioara"
"PL",2022,6380.2,"ocupare_educatie_superioara"
"PL",2023,7017.2,"ocupare_educatie_superioara"
"PL",2024,7220.1,"ocupare_educatie_superioara"
"PT",2010,805.2,"ocupare_educatie_superioara"
"PT",2011,877.8,"ocupare_educatie_superioara"
"PT",2012,910,"ocupare_educatie_superioara"
"PT",2013,928.9,"ocupare_educatie_superioara"
"PT",2014,1063.3,"ocupare_educatie_superioara"
"PT",2015,1126.1,"ocupare_educatie_superioara"
"PT",2016,1177.9,"ocupare_educatie_superioara"
"PT",2017,1215.2,"ocupare_educatie_superioara"
"PT",2018,1284.7,"ocupare_educatie_superioara"
"PT",2019,1353.7,"ocupare_educatie_superioara"
"PT",2020,1385.6,"ocupare_educatie_superioara"
"PT",2021,1486.4,"ocupare_educatie_superioara"
"PT",2022,1548.8,"ocupare_educatie_superioara"
"PT",2023,1582.3,"ocupare_educatie_superioara"
"PT",2024,1677.6,"ocupare_educatie_superioara"
"RO",2010,1367.1,"ocupare_educatie_superioara"
"RO",2011,1468.5,"ocupare_educatie_superioara"
"RO",2012,1520,"ocupare_educatie_superioara"
"RO",2013,1552,"ocupare_educatie_superioara"
"RO",2014,1580.4,"ocupare_educatie_superioara"
"RO",2015,1716.1,"ocupare_educatie_superioara"
"RO",2016,1725,"ocupare_educatie_superioara"
"RO",2017,1764.5,"ocupare_educatie_superioara"
"RO",2018,1769.2,"ocupare_educatie_superioara"
"RO",2019,1827.5,"ocupare_educatie_superioara"
"RO",2020,1813.9,"ocupare_educatie_superioara"
"RO",2021,1793.7,"ocupare_educatie_superioara"
"RO",2022,1870.4,"ocupare_educatie_superioara"
"RO",2023,1742.1,"ocupare_educatie_superioara"
"RO",2024,1813.7,"ocupare_educatie_superioara"
"SE",2010,1481,"ocupare_educatie_superioara"
"SE",2011,1538.2,"ocupare_educatie_superioara"
"SE",2012,1593,"ocupare_educatie_superioara"
"SE",2013,1674.2,"ocupare_educatie_superioara"
"SE",2014,1757.3,"ocupare_educatie_superioara"
"SE",2015,1829.4,"ocupare_educatie_superioara"
"SE",2016,1925.1,"ocupare_educatie_superioara"
"SE",2017,1985.5,"ocupare_educatie_superioara"
"SE",2018,2075.1,"ocupare_educatie_superioara"
"SE",2019,2138.1,"ocupare_educatie_superioara"
"SE",2020,2157.9,"ocupare_educatie_superioara"
"SE",2021,2235.1,"ocupare_educatie_superioara"
"SE",2022,2365.5,"ocupare_educatie_superioara"
"SE",2023,2433.4,"ocupare_educatie_superioara"
"SE",2024,2460.5,"ocupare_educatie_superioara"
"SI",2010,249.4,"ocupare_educatie_superioara"
"SI",2011,262.1,"ocupare_educatie_superioara"
"SI",2012,273.3,"ocupare_educatie_superioara"
"SI",2013,282.2,"ocupare_educatie_superioara"
"SI",2014,287.3,"ocupare_educatie_superioara"
"SI",2015,305.7,"ocupare_educatie_superioara"
"SI",2016,312.6,"ocupare_educatie_superioara"
"SI",2017,336.6,"ocupare_educatie_superioara"
"SI",2018,341.6,"ocupare_educatie_superioara"
"SI",2019,353.7,"ocupare_educatie_superioara"
"SI",2020,383.3,"ocupare_educatie_superioara"
"SI",2021,417.9,"ocupare_educatie_superioara"
"SI",2022,415.8,"ocupare_educatie_superioara"
"SI",2023,357.9,"ocupare_educatie_superioara"
"SI",2024,365.3,"ocupare_educatie_superioara"
"SK",2010,461.1,"ocupare_educatie_superioara"
"SK",2011,487.7,"ocupare_educatie_superioara"
