"cod_tara","an","valoare","indicator"
"AT",2010,4.9,"rata_somaj"
"AT",2011,4.6,"rata_somaj"
"AT",2012,5,"rata_somaj"
"AT",2013,5.5,"rata_somaj"
"AT",2014,5.9,"rata_somaj"
"AT",2015,6,"rata_somaj"
"AT",2016,6.2,"rata_somaj"
"AT",2017,5.7,"rata_somaj"
"AT",2018,5,"rata_somaj"
"AT",2019,4.7,"rata_somaj"
"AT",2020,5.9,"rata_somaj"
"AT",2021,6,"rata_somaj"
"AT",2022,4.5,"rata_somaj"
"AT",2023,4.8,"rata_somaj"
"AT",2024,4.9,"rata_somaj"
"BE",2010,8.1,"rata_somaj"
"BE",2011,7,"rata_somaj"
"BE",2012,7.4,"rata_somaj"
"BE",2013,8.4,"rata_somaj"
"BE",2014,8.5,"rata_somaj"
"BE",2015,8.5,"rata_somaj"
"BE",2016,7.8,"rata_somaj"
"BE",2017,7.1,"rata_somaj"
"BE",2018,5.9,"rata_somaj"
"BE",2019,5.3,"rata_somaj"
"BE",2020,5.6,"rata_somaj"
"BE",2021,6,"rata_somaj"
"BE",2022,5.3,"rata_somaj"
"BE",2023,5.3,"rata_somaj"
"BE",2024,5.4,"rata_somaj"
"BG",2010,11.1,"rata_somaj"
"BG",2011,12,"rata_somaj"
"BG",2012,13,"rata_somaj"
"BG",2013,13.7,"rata_somaj"
"BG",2014,12.3,"rata_somaj"
"BG",2015,10.1,"rata_somaj"
"BG",2016,8.6,"rata_somaj"
"BG",2017,7.1,"rata_somaj"
"BG",2018,6.2,"rata_somaj"
"BG",2019,5.3,"rata_somaj"
"BG",2020,6.1,"rata_somaj"
"BG",2021,5.1,"rata_somaj"
"BG",2022,4.1,"rata_somaj"
"BG",2023,4.3,"rata_somaj"
"BG",2024,4.1,"rata_somaj"
"CZ",2010,7.1,"rata_somaj"
"CZ",2011,6.5,"rata_somaj"
"CZ",2012,6.8,"rata_somaj"
"CZ",2013,6.8,"rata_somaj"
"CZ",2014,6,"rata_somaj"
"CZ",2015,5,"rata_somaj"
"CZ",2016,3.9,"rata_somaj"
"CZ",2017,2.8,"rata_somaj"
"CZ",2018,2.2,"rata_somaj"
"CZ",2019,2,"rata_somaj"
"CZ",2020,2.5,"rata_somaj"
"CZ",2021,2.8,"rata_somaj"
"CZ",2022,2.2,"rata_somaj"
"CZ",2023,2.5,"rata_somaj"
"CZ",2024,2.5,"rata_somaj"
"DE",2010,6.5,"rata_somaj"
"DE",2011,5.4,"rata_somaj"
"DE",2012,5,"rata_somaj"
"DE",2013,4.9,"rata_somaj"
"DE",2014,4.7,"rata_somaj"
"DE",2015,4.3,"rata_somaj"
"DE",2016,3.8,"rata_somaj"
"DE",2017,3.5,"rata_somaj"
"DE",2018,3.1,"rata_somaj"
"DE",2019,2.9,"rata_somaj"
"DE",2020,3.5,"rata_somaj"
"DE",2021,3.5,"rata_somaj"
"DE",2022,3.1,"rata_somaj"
"DE",2023,3,"rata_somaj"
"DE",2024,3.4,"rata_somaj"
"DK",2010,7.1,"rata_somaj"
"DK",2011,7,"rata_somaj"
"DK",2012,7.2,"rata_somaj"
"DK",2013,6.9,"rata_somaj"
"DK",2014,6.5,"rata_somaj"
"DK",2015,6,"rata_somaj"
"DK",2016,5.6,"rata_somaj"
"DK",2017,5.3,"rata_somaj"
