"indicator","N","Media","Mediana","St.Dev","Min","Max","CV"
"abandon_scolar_timpuriu",375,27.186,27.3,7.489,7.7,47.3,27.5
"angajati_tech",375,4.311,4.2,1.141,1.7,7,26.5
"cheltuieli_cd_rap_la_pib",375,1.745,1.5,0.873,0.38,3.71,50.1
"educatie_tertiara",375,39.906,40.7,9.071,20.7,63.8,22.7
"formare_continua",375,12.075,9.9,8.416,0.9,38.8,69.7
"migratie_neta",375,2.922,2.6,6.296,-25.2,30.9,215.5
"ocupare_educatie_superioara",375,2530.637,1177.9,3227.812,81.8,13598.2,127.5
"productivitatea_muncii",375,1.23,1,2.328,-6.8,11.1,189.2
"rata_contracte_temporare",375,9.409,8.2,5.729,0.8,22.8,60.9
"rata_ocupare",375,72.237,73.3,6.494,52.9,83.5,9
"rata_somaj",375,7.976,6.8,4.55,2,27.6,57.1
"venit_anual",372,21218.409,18082.195,12304.101,3872.44,50409.61,58
