"country_code","year","value","indicator"
"AT",2010,27.4,"early_school_leaving"
"AT",2011,27.5,"early_school_leaving"
"AT",2012,25.9,"early_school_leaving"
"AT",2013,25.4,"early_school_leaving"
"AT",2014,18.4,"early_school_leaving"
"AT",2015,19.2,"early_school_leaving"
"AT",2016,18.5,"early_school_leaving"
"AT",2017,20.4,"early_school_leaving"
"AT",2018,19.9,"early_school_leaving"
"AT",2019,20.1,"early_school_leaving"
"AT",2020,22,"early_school_leaving"
"AT",2021,21,"early_school_leaving"
"AT",2022,21.7,"early_school_leaving"
"AT",2023,22.8,"early_school_leaving"
"AT",2024,21.5,"early_school_leaving"
"BE",2010,25.6,"early_school_leaving"
"BE",2011,25.2,"early_school_leaving"
"BE",2012,24.4,"early_school_leaving"
"BE",2013,23.8,"early_school_leaving"
"BE",2014,22.3,"early_school_leaving"
"BE",2015,22.1,"early_school_leaving"
"BE",2016,21.6,"early_school_leaving"
"BE",2017,24,"early_school_leaving"
"BE",2018,26.9,"early_school_leaving"
"BE",2019,25.9,"early_school_leaving"
"BE",2020,24.8,"early_school_leaving"
"BE",2021,20.5,"early_school_leaving"
"BE",2022,18.3,"early_school_leaving"
"BE",2023,20.4,"early_school_leaving"
"BE",2024,23.4,"early_school_leaving"
"BG",2010,26.2,"early_school_leaving"
"BG",2011,25.8,"early_school_leaving"
"BG",2012,25,"early_school_leaving"
"BG",2013,24.9,"early_school_leaving"
"BG",2014,24.6,"early_school_leaving"
"BG",2015,25.4,"early_school_leaving"
"BG",2016,26.2,"early_school_leaving"
"BG",2017,25.7,"early_school_leaving"
"BG",2018,25.9,"early_school_leaving"
"BG",2019,27.8,"early_school_leaving"
"BG",2020,27.2,"early_school_leaving"
"BG",2021,25.6,"early_school_leaving"
"BG",2022,22,"early_school_leaving"
"BG",2023,19.9,"early_school_leaving"
"BG",2024,17.3,"early_school_leaving"
"CZ",2010,24.6,"early_school_leaving"
"CZ",2011,25.8,"early_school_leaving"
"CZ",2012,25.8,"early_school_leaving"
"CZ",2013,24.3,"early_school_leaving"
"CZ",2014,23.7,"early_school_leaving"
"CZ",2015,24.3,"early_school_leaving"
"CZ",2016,25.8,"early_school_leaving"
"CZ",2017,26,"early_school_leaving"
"CZ",2018,27,"early_school_leaving"
"CZ",2019,28.9,"early_school_leaving"
"CZ",2020,30.5,"early_school_leaving"
"CZ",2021,28.1,"early_school_leaving"
"CZ",2022,27.6,"early_school_leaving"
"CZ",2023,28.3,"early_school_leaving"
"CZ",2024,28.9,"early_school_leaving"
"DE",2010,40.9,"early_school_leaving"
"DE",2011,38.5,"early_school_leaving"
"DE",2012,37.4,"early_school_leaving"
"DE",2013,35.3,"early_school_leaving"
"DE",2014,35.6,"early_school_leaving"
"DE",2015,36.9,"early_school_leaving"
"DE",2016,35.7,"early_school_leaving"
"DE",2017,35.6,"early_school_leaving"
"DE",2018,35.5,"early_school_leaving"
"DE",2019,35.2,"early_school_leaving"
"DE",2020,33.1,"early_school_leaving"
"DE",2021,35.8,"early_school_leaving"
"DE",2022,36.5,"early_school_leaving"
"DE",2023,36.6,"early_school_leaving"
"DE",2024,37,"early_school_leaving"
"DK",2010,44.5,"early_school_leaving"
"DK",2011,42.8,"early_school_leaving"
"DK",2012,41.8,"early_school_leaving"
"DK",2013,41.3,"early_school_leaving"
"DK",2014,39.8,"early_school_leaving"
"DK",2015,39.5,"early_school_leaving"
"DK",2016,37.2,"early_school_leaving"
"DK",2017,37.6,"early_school_leaving"
"DK",2018,38.2,"early_school_leaving"
"DK",2019,37.7,"early_school_leaving"
"DK",2020,37.9,"early_school_leaving"
"DK",2021,38.5,"early_school_leaving"
"DK",2022,37.8,"early_school_leaving"
"DK",2023,37.8,"early_school_leaving"
"DK",2024,37.3,"early_school_leaving"
"EE",2010,30.5,"early_school_leaving"
"EE",2011,30.5,"early_school_leaving"
"EE",2012,30.8,"early_school_leaving"
"EE",2013,27.9,"early_school_leaving"
"EE",2014,30.7,"early_school_leaving"
"EE",2015,33.9,"early_school_leaving"
"EE",2016,31.7,"early_school_leaving"
"EE",2017,30.4,"early_school_leaving"
"EE",2018,32.1,"early_school_leaving"
"EE",2019,31.7,"early_school_leaving"
"EE",2020,29.7,"early_school_leaving"
"EE",2021,30,"early_school_leaving"
"EE",2022,32.9,"early_school_leaving"
"EE",2023,32.7,"early_school_leaving"
"EE",2024,33.3,"early_school_leaving"
"EL",2010,20.9,"early_school_leaving"
"EL",2011,20.8,"early_school_leaving"
"EL",2012,20,"early_school_leaving"
"EL",2013,18.7,"early_school_leaving"
"EL",2014,16.2,"early_school_leaving"
"EL",2015,15.9,"early_school_leaving"
"EL",2016,13.6,"early_school_leaving"
"EL",2017,13.4,"early_school_leaving"
"EL",2018,12,"early_school_leaving"
"EL",2019,11.5,"early_school_leaving"
"EL",2020,10.6,"early_school_leaving"
"EL",2021,8.7,"early_school_leaving"
"EL",2022,9.6,"early_school_leaving"
"EL",2023,8.7,"early_school_leaving"
"EL",2024,7.7,"early_school_leaving"
"ES",2010,43.7,"early_school_leaving"
"ES",2011,42.4,"early_school_leaving"
"ES",2012,41.9,"early_school_leaving"
"ES",2013,41,"early_school_leaving"
"ES",2014,39.3,"early_school_leaving"
"ES",2015,36.7,"early_school_leaving"
"ES",2016,34.6,"early_school_leaving"
"ES",2017,33.8,"early_school_leaving"
"ES",2018,32.6,"early_school_leaving"
"ES",2019,30.9,"early_school_leaving"
"ES",2020,29.5,"early_school_leaving"
"ES",2021,26,"early_school_leaving"
"ES",2022,26.1,"early_school_leaving"
"ES",2023,25.8,"early_school_leaving"
"ES",2024,24.7,"early_school_leaving"
"FI",2010,31.6,"early_school_leaving"
"FI",2011,30.8,"early_school_leaving"
"FI",2012,29.2,"early_school_leaving"
"FI",2013,29.9,"early_school_leaving"
"FI",2014,29.3,"early_school_leaving"
"FI",2015,29.4,"early_school_leaving"
"FI",2016,27,"early_school_leaving"
"FI",2017,27.7,"early_school_leaving"
"FI",2018,28.1,"early_school_leaving"
"FI",2019,27.2,"early_school_leaving"
"FI",2020,25.5,"early_school_leaving"
"FI",2021,29.2,"early_school_leaving"
"FI",2022,28.7,"early_school_leaving"
"FI",2023,31.2,"early_school_leaving"
"FI",2024,32.7,"early_school_leaving"
"FR",2010,22.5,"early_school_leaving"
"FR",2011,22,"early_school_leaving"
"FR",2012,21.2,"early_school_leaving"
"FR",2013,18.5,"early_school_leaving"
"FR",2014,16.9,"early_school_leaving"
"FR",2015,17.2,"early_school_leaving"
"FR",2016,16.6,"early_school_leaving"
"FR",2017,16.3,"early_school_leaving"
"FR",2018,15.6,"early_school_leaving"
"FR",2019,15.2,"early_school_leaving"
"FR",2020,13.3,"early_school_leaving"
"FR",2021,14.7,"early_school_leaving"
"FR",2022,14.6,"early_school_leaving"
"FR",2023,14.9,"early_school_leaving"
"FR",2024,15,"early_school_leaving"
"HU",2010,31.9,"early_school_leaving"
"HU",2011,32,"early_school_leaving"
"HU",2012,30.2,"early_school_leaving"
"HU",2013,29.2,"early_school_leaving"
"HU",2014,27.6,"early_school_leaving"
"HU",2015,28.3,"early_school_leaving"
"HU",2016,27.7,"early_school_leaving"
"HU",2017,27.1,"early_school_leaving"
"HU",2018,26.3,"early_school_leaving"
"HU",2019,25.3,"early_school_leaving"
"HU",2020,26.2,"early_school_leaving"
"HU",2021,27.4,"early_school_leaving"
"HU",2022,27.2,"early_school_leaving"
"HU",2023,25.8,"early_school_leaving"
"HU",2024,26.6,"early_school_leaving"
"IT",2010,35.7,"early_school_leaving"
"IT",2011,35.4,"early_school_leaving"
"IT",2012,34,"early_school_leaving"
"IT",2013,33.6,"early_school_leaving"
"IT",2014,32.1,"early_school_leaving"
"IT",2015,32.4,"early_school_leaving"
"IT",2016,31.7,"early_school_leaving"
"IT",2017,30.8,"early_school_leaving"
"IT",2018,31.5,"early_school_leaving"
"IT",2019,30.6,"early_school_leaving"
"IT",2020,30.8,"early_school_leaving"
"IT",2021,29.2,"early_school_leaving"
"IT",2022,27.8,"early_school_leaving"
"IT",2023,27.2,"early_school_leaving"
"IT",2024,27.3,"early_school_leaving"
"LT",2010,29.5,"early_school_leaving"
"LT",2011,28.9,"early_school_leaving"
"LT",2012,27.4,"early_school_leaving"
"LT",2013,24.6,"early_school_leaving"
"LT",2014,23.9,"early_school_leaving"
"LT",2015,23.1,"early_school_leaving"
"LT",2016,23.8,"early_school_leaving"
"LT",2017,25.6,"early_school_leaving"
"LT",2018,25,"early_school_leaving"
"LT",2019,24,"early_school_leaving"
"LT",2020,25.1,"early_school_leaving"
"LT",2021,21.5,"early_school_leaving"
"LT",2022,22.9,"early_school_leaving"
"LT",2023,23.1,"early_school_leaving"
"LT",2024,24.3,"early_school_leaving"
"LU",2010,43.5,"early_school_leaving"
"LU",2011,41.2,"early_school_leaving"
"LU",2012,42.6,"early_school_leaving"
"LU",2013,38.8,"early_school_leaving"
"LU",2014,40.9,"early_school_leaving"
