"country_code","year","value","indicator"
"AT",2010,2.6,"net_migration"
"AT",2011,3.7,"net_migration"
"AT",2012,5.2,"net_migration"
"AT",2013,6.6,"net_migration"
"AT",2014,8.6,"net_migration"
"AT",2015,13.2,"net_migration"
"AT",2016,7.5,"net_migration"
"AT",2017,5.1,"net_migration"
"AT",2018,4,"net_migration"
"AT",2019,4.6,"net_migration"
"AT",2020,4.4,"net_migration"
"AT",2021,5.8,"net_migration"
"AT",2022,15.1,"net_migration"
"AT",2023,7.2,"net_migration"
"AT",2024,5.4,"net_migration"
"BE",2010,7.9,"net_migration"
"BE",2011,4.6,"net_migration"
"BE",2012,3.9,"net_migration"
"BE",2013,4.5,"net_migration"
"BE",2014,3.2,"net_migration"
"BE",2015,5.5,"net_migration"
"BE",2016,2.4,"net_migration"
"BE",2017,3.2,"net_migration"
"BE",2018,4.3,"net_migration"
"BE",2019,5,"net_migration"
"BE",2020,3.9,"net_migration"
"BE",2021,4.9,"net_migration"
"BE",2022,10.9,"net_migration"
"BE",2023,6.4,"net_migration"
"BE",2024,5.9,"net_migration"
"BG",2010,-2.4,"net_migration"
"BG",2011,-0.7,"net_migration"
"BG",2012,-0.3,"net_migration"
"BG",2013,-6.6,"net_migration"
"BG",2014,-6.6,"net_migration"
"BG",2015,-6.7,"net_migration"
"BG",2016,-6.8,"net_migration"
"BG",2017,-6.8,"net_migration"
"BG",2018,-7,"net_migration"
"BG",2019,-7.3,"net_migration"
"BG",2020,4.3,"net_migration"
"BG",2021,6.3,"net_migration"
"BG",2022,4.2,"net_migration"
"BG",2023,6.4,"net_migration"
"BG",2024,6.1,"net_migration"
"CZ",2010,1.4,"net_migration"
"CZ",2011,1.6,"net_migration"
"CZ",2012,1,"net_migration"
"CZ",2013,-0.1,"net_migration"
"CZ",2014,2.1,"net_migration"
"CZ",2015,1.5,"net_migration"
"CZ",2016,1.9,"net_migration"
"CZ",2017,2.7,"net_migration"
"CZ",2018,3.6,"net_migration"
"CZ",2019,4.1,"net_migration"
"CZ",2020,2.5,"net_migration"
"CZ",2021,4.8,"net_migration"
"CZ",2022,30.9,"net_migration"
"CZ",2023,8.7,"net_migration"
"CZ",2024,3.4,"net_migration"
"DE",2010,1.6,"net_migration"
"DE",2011,3.7,"net_migration"
"DE",2012,4.9,"net_migration"
"DE",2013,5.6,"net_migration"
"DE",2014,7.2,"net_migration"
"DE",2015,14.3,"net_migration"
"DE",2016,5.6,"net_migration"
"DE",2017,5.1,"net_migration"
"DE",2018,4.8,"net_migration"
"DE",2019,3.7,"net_migration"
"DE",2020,2.4,"net_migration"
"DE",2021,3.7,"net_migration"
"DE",2022,2.5,"net_migration"
"DE",2023,8.1,"net_migration"
"DE",2024,5.4,"net_migration"
"DK",2010,3,"net_migration"
"DK",2011,2.4,"net_migration"
"DK",2012,3,"net_migration"
"DK",2013,3.8,"net_migration"
"DK",2014,4.8,"net_migration"
"DK",2015,7.4,"net_migration"
"DK",2016,5.7,"net_migration"
"DK",2017,4.2,"net_migration"
"DK",2018,3.2,"net_migration"
"DK",2019,1.6,"net_migration"
"DK",2020,1.9,"net_migration"
"DK",2021,4.6,"net_migration"
"DK",2022,10.2,"net_migration"
"DK",2023,5,"net_migration"
"DK",2024,5.3,"net_migration"
"EE",2010,-2.8,"net_migration"
"EE",2011,-2.9,"net_migration"
"EE",2012,-2.8,"net_migration"
"EE",2013,-2,"net_migration"
"EE",2014,-0.5,"net_migration"
"EE",2015,3,"net_migration"
"EE",2016,0.8,"net_migration"
"EE",2017,4,"net_migration"
"EE",2018,5.3,"net_migration"
"EE",2019,4,"net_migration"
"EE",2020,2.8,"net_migration"
"EE",2021,5.3,"net_migration"
"EE",2022,29.5,"net_migration"
"EE",2023,10.1,"net_migration"
"EE",2024,1,"net_migration"
"EL",2010,-0.1,"net_migration"
"EL",2011,-2.9,"net_migration"
"EL",2012,-6,"net_migration"
"EL",2013,-6.2,"net_migration"
"EL",2014,-5,"net_migration"
"EL",2015,-4.9,"net_migration"
"EL",2016,-0.2,"net_migration"
"EL",2017,-0.4,"net_migration"
"EL",2018,0.2,"net_migration"
"EL",2019,1.7,"net_migration"
"EL",2020,-1,"net_migration"
"EL",2021,-3.3,"net_migration"
"EL",2022,0.4,"net_migration"
"EL",2023,2.9,"net_migration"
"EL",2024,5.2,"net_migration"
"ES",2010,1.6,"net_migration"
"ES",2011,1.4,"net_migration"
"ES",2012,-3,"net_migration"
"ES",2013,-5.4,"net_migration"
"ES",2014,-2.2,"net_migration"
"ES",2015,-0.1,"net_migration"
"ES",2016,1.7,"net_migration"
"ES",2017,3.8,"net_migration"
"ES",2018,7,"net_migration"
"ES",2019,9.7,"net_migration"
"ES",2020,5,"net_migration"
"ES",2021,4.2,"net_migration"
"ES",2022,15.3,"net_migration"
"ES",2023,13.4,"net_migration"
"ES",2024,12.8,"net_migration"
"FI",2010,2.6,"net_migration"
"FI",2011,3.1,"net_migration"
"FI",2012,3.3,"net_migration"
"FI",2013,3.3,"net_migration"
"FI",2014,2.8,"net_migration"
"FI",2015,2.3,"net_migration"
"FI",2016,3.1,"net_migration"
"FI",2017,2.4,"net_migration"
"FI",2018,2.1,"net_migration"
"FI",2019,2.8,"net_migration"
"FI",2020,3.2,"net_migration"
"FI",2021,4.1,"net_migration"
"FI",2022,6.1,"net_migration"
"FI",2023,10.4,"net_migration"
"FI",2024,8.3,"net_migration"
"FR",2010,0.6,"net_migration"
"FR",2011,0.3,"net_migration"
"FR",2012,1.1,"net_migration"
"FR",2013,1.5,"net_migration"
"FR",2014,0.5,"net_migration"
"FR",2015,-0.4,"net_migration"
"FR",2016,-0.3,"net_migration"
"FR",2017,0.8,"net_migration"
"FR",2018,1.7,"net_migration"
"FR",2019,0.6,"net_migration"
"FR",2020,2.8,"net_migration"
"FR",2021,4.2,"net_migration"
"FR",2022,4.3,"net_migration"
"FR",2023,2.8,"net_migration"
"FR",2024,2.8,"net_migration"
"HU",2010,1.2,"net_migration"
"HU",2011,1.3,"net_migration"
"HU",2012,1.6,"net_migration"
"HU",2013,-0.8,"net_migration"
"HU",2014,-0.1,"net_migration"
"HU",2015,0.3,"net_migration"
"HU",2016,-0.8,"net_migration"
"HU",2017,1.1,"net_migration"
"HU",2018,2.5,"net_migration"
"HU",2019,2.7,"net_migration"
"HU",2020,1,"net_migration"
"HU",2021,2.2,"net_migration"
"HU",2022,11.9,"net_migration"
"HU",2023,2.7,"net_migration"
"HU",2024,0.4,"net_migration"
"IT",2010,4.7,"net_migration"
"IT",2011,3.4,"net_migration"
"IT",2012,4.2,"net_migration"
"IT",2013,2.6,"net_migration"
"IT",2014,0.8,"net_migration"
"IT",2015,0.5,"net_migration"
"IT",2016,0.7,"net_migration"
"IT",2017,1,"net_migration"
"IT",2018,1.2,"net_migration"
"IT",2019,0.7,"net_migration"
"IT",2020,-1.2,"net_migration"
"IT",2021,1.6,"net_migration"
"IT",2022,4.9,"net_migration"
"IT",2023,4.5,"net_migration"
"IT",2024,4.3,"net_migration"
"LT",2010,-25.2,"net_migration"
"LT",2011,-12.6,"net_migration"
"LT",2012,-6,"net_migration"
"LT",2013,-4.8,"net_migration"
"LT",2014,-3.5,"net_migration"
"LT",2015,-6.7,"net_migration"
"LT",2016,-8.7,"net_migration"
"LT",2017,-7.3,"net_migration"
"LT",2018,-0.4,"net_migration"
"LT",2019,3.9,"net_migration"
"LT",2020,7.4,"net_migration"
"LT",2021,7,"net_migration"
"LT",2022,25.5,"net_migration"
"LT",2023,15.7,"net_migration"
"LT",2024,8,"net_migration"
"LU",2010,15.1,"net_migration"
"LU",2011,21.2,"net_migration"
"LU",2012,18.9,"net_migration"
"LU",2013,19,"net_migration"
"LU",2014,19.9,"net_migration"
"LU",2015,19.6,"net_migration"
"LU",2016,16.2,"net_migration"
"LU",2017,15.8,"net_migration"
"LU",2018,16.3,"net_migration"
"LU",2019,16.6,"net_migration"
"LU",2020,10.7,"net_migration"
"LU",2021,13.2,"net_migration"
"LU",2022,20.5,"net_migration"
"LU",2023,14,"net_migration"
"LU",2024,11.7,"net_migration"
"LV",2010,-17,"net_migration"
"LV",2011,-9.7,"net_migration"
"LV",2012,-5.8,"net_migration"
"LV",2013,-7.1,"net_migration"
"LV",2014,-4.3,"net_migration"
"LV",2015,-5.4,"net_migration"
"LV",2016,-6.2,"net_migration"
"LV",2017,-4,"net_migration"
"LV",2018,-2.5,"net_migration"
"LV",2019,-1.8,"net_migration"
"LV",2020,-1.7,"net_migration"
"LV",2021,-0.2,"net_migration"
"LV",2022,16.5,"net_migration"
"LV",2023,-1.7,"net_migration"
"LV",2024,-2.3,"net_migration"
"NL",2010,2,"net_migration"
"NL",2011,1.8,"net_migration"
"NL",2012,0.8,"net_migration"
"NL",2013,1.2,"net_migration"
"NL",2014,2.1,"net_migration"
"NL",2015,3.2,"net_migration"
"NL",2016,4.6,"net_migration"
"NL",2017,4.7,"net_migration"
"NL",2018,5,"net_migration"
"NL",2019,6.2,"net_migration"
"NL",2020,3.9,"net_migration"
"NL",2021,6.1,"net_migration"
"NL",2022,12.6,"net_migration"
"NL",2023,7.6,"net_migration"
"NL",2024,6,"net_migration"
"NO",2010,8.6,"net_migration"
"NO",2011,9.4,"net_migration"
"NO",2012,9.4,"net_migration"
"NO",2013,7.9,"net_migration"
"NO",2014,7.4,"net_migration"
"NO",2015,5.8,"net_migration"
"NO",2016,5,"net_migration"
"NO",2017,4.1,"net_migration"
"NO",2018,3.4,"net_migration"
"NO",2019,4.8,"net_migration"
"NO",2020,2.1,"net_migration"
"NO",2021,3.7,"net_migration"
"NO",2022,10.6,"net_migration"
"NO",2023,9.6,"net_migration"
"NO",2024,6.2,"net_migration"
"PL",2010,0.1,"net_migration"
"PL",2011,-0.3,"net_migration"
"PL",2012,-0.1,"net_migration"
"PL",2013,-0.7,"net_migration"
"PL",2014,-0.3,"net_migration"
"PL",2015,-0.3,"net_migration"
"PL",2016,0.3,"net_migration"
"PL",2017,0.1,"net_migration"
"PL",2018,0.6,"net_migration"
"PL",2019,0.5,"net_migration"
"PL",2020,-20.3,"net_migration"
"PL",2021,0.1,"net_migration"
"PL",2022,0.2,"net_migration"
"PL",2023,0.1,"net_migration"
"PL",2024,0.9,"net_migration"
"PT",2010,0.4,"net_migration"
"PT",2011,-0.7,"net_migration"
"PT",2012,-3.5,"net_migration"
"PT",2013,-3.4,"net_migration"
"PT",2014,-2.5,"net_migration"
"PT",2015,-0.3,"net_migration"
"PT",2016,-0.1,"net_migration"
"PT",2017,1.4,"net_migration"
"PT",2018,2.3,"net_migration"
"PT",2019,6.5,"net_migration"
"PT",2020,3.4,"net_migration"
"PT",2021,6.9,"net_migration"
"PT",2022,13,"net_migration"
"PT",2023,19.4,"net_migration"
"PT",2024,13.4,"net_migration"
"RO",2010,-2.4,"net_migration"
"RO",2011,-2.4,"net_migration"
"RO",2012,-1.1,"net_migration"
"RO",2013,-0.7,"net_migration"
"RO",2014,-1,"net_migration"
"RO",2015,-2.5,"net_migration"
"RO",2016,-3.2,"net_migration"
"RO",2017,-3,"net_migration"
"RO",2018,-3,"net_migration"
"RO",2019,-1.3,"net_migration"
"RO",2020,-1.3,"net_migration"
"RO",2021,-0.8,"net_migration"
"RO",2022,5.4,"net_migration"
"RO",2023,5.1,"net_migration"
"RO",2024,4,"net_migration"
"SE",2010,5.3,"net_migration"
"SE",2011,4.8,"net_migration"
"SE",2012,5.4,"net_migration"
"SE",2013,6.9,"net_migration"
"SE",2014,7.9,"net_migration"
"SE",2015,8.1,"net_migration"
"SE",2016,11.9,"net_migration"
"SE",2017,10.1,"net_migration"
"SE",2018,8.5,"net_migration"
"SE",2019,7,"net_migration"
"SE",2020,3.5,"net_migration"
"SE",2021,4.9,"net_migration"
"SE",2022,5.6,"net_migration"
"SE",2023,2.3,"net_migration"
"SE",2024,2.7,"net_migration"
"SI",2010,-0.3,"net_migration"
"SI",2011,1,"net_migration"
"SI",2012,0.3,"net_migration"
"SI",2013,0.2,"net_migration"
"SI",2014,-0.2,"net_migration"
"SI",2015,0.2,"net_migration"
"SI",2016,0.5,"net_migration"
"SI",2017,0.6,"net_migration"
"SI",2018,7.2,"net_migration"
"SI",2019,7.8,"net_migration"
"SI",2020,8.7,"net_migration"
"SI",2021,1.2,"net_migration"
"SI",2022,6.9,"net_migration"
"SI",2023,5.4,"net_migration"
"SI",2024,5.4,"net_migration"
"SK",2010,-0.9,"net_migration"
"SK",2011,0.5,"net_migration"
"SK",2012,0.6,"net_migration"
"SK",2013,0.4,"net_migration"
"SK",2014,0.3,"net_migration"
"SK",2015,0.6,"net_migration"
"SK",2016,0.7,"net_migration"
"SK",2017,0.7,"net_migration"
"SK",2018,0.7,"net_migration"
"SK",2019,0.7,"net_migration"
"SK",2020,0.8,"net_migration"
"SK",2021,-1.5,"net_migration"
"SK",2022,0.2,"net_migration"
"SK",2023,0.3,"net_migration"
"SK",2024,0.4,"net_migration"
