"country_code","year","value","indicator"
"AT",2010,2.74,"r_n_d_expenses_relative_to_GDP"
"AT",2011,2.69,"r_n_d_expenses_relative_to_GDP"
"AT",2012,2.93,"r_n_d_expenses_relative_to_GDP"
"AT",2013,2.98,"r_n_d_expenses_relative_to_GDP"
"AT",2014,3.11,"r_n_d_expenses_relative_to_GDP"
"AT",2015,3.07,"r_n_d_expenses_relative_to_GDP"
"AT",2016,3.13,"r_n_d_expenses_relative_to_GDP"
"AT",2017,3.07,"r_n_d_expenses_relative_to_GDP"
"AT",2018,3.11,"r_n_d_expenses_relative_to_GDP"
"AT",2019,3.14,"r_n_d_expenses_relative_to_GDP"
"AT",2020,3.21,"r_n_d_expenses_relative_to_GDP"
"AT",2021,3.26,"r_n_d_expenses_relative_to_GDP"
"AT",2022,3.17,"r_n_d_expenses_relative_to_GDP"
"AT",2023,3.22,"r_n_d_expenses_relative_to_GDP"
"AT",2024,3.26,"r_n_d_expenses_relative_to_GDP"
"BE",2010,2.06,"r_n_d_expenses_relative_to_GDP"
"BE",2011,2.16,"r_n_d_expenses_relative_to_GDP"
"BE",2012,2.27,"r_n_d_expenses_relative_to_GDP"
"BE",2013,2.32,"r_n_d_expenses_relative_to_GDP"
"BE",2014,2.36,"r_n_d_expenses_relative_to_GDP"
"BE",2015,2.43,"r_n_d_expenses_relative_to_GDP"
"BE",2016,2.53,"r_n_d_expenses_relative_to_GDP"
"BE",2017,2.68,"r_n_d_expenses_relative_to_GDP"
"BE",2018,2.86,"r_n_d_expenses_relative_to_GDP"
"BE",2019,3.15,"r_n_d_expenses_relative_to_GDP"
"BE",2020,3.37,"r_n_d_expenses_relative_to_GDP"
"BE",2021,3.41,"r_n_d_expenses_relative_to_GDP"
"BE",2022,3.21,"r_n_d_expenses_relative_to_GDP"
"BE",2023,3.24,"r_n_d_expenses_relative_to_GDP"
"BE",2024,3.36,"r_n_d_expenses_relative_to_GDP"
"BG",2010,0.56,"r_n_d_expenses_relative_to_GDP"
"BG",2011,0.53,"r_n_d_expenses_relative_to_GDP"
"BG",2012,0.6,"r_n_d_expenses_relative_to_GDP"
"BG",2013,0.63,"r_n_d_expenses_relative_to_GDP"
"BG",2014,0.79,"r_n_d_expenses_relative_to_GDP"
"BG",2015,0.95,"r_n_d_expenses_relative_to_GDP"
"BG",2016,0.77,"r_n_d_expenses_relative_to_GDP"
"BG",2017,0.74,"r_n_d_expenses_relative_to_GDP"
"BG",2018,0.76,"r_n_d_expenses_relative_to_GDP"
"BG",2019,0.84,"r_n_d_expenses_relative_to_GDP"
"BG",2020,0.85,"r_n_d_expenses_relative_to_GDP"
"BG",2021,0.77,"r_n_d_expenses_relative_to_GDP"
"BG",2022,0.75,"r_n_d_expenses_relative_to_GDP"
"BG",2023,0.79,"r_n_d_expenses_relative_to_GDP"
"BG",2024,0.77,"r_n_d_expenses_relative_to_GDP"
"CZ",2010,1.31,"r_n_d_expenses_relative_to_GDP"
"CZ",2011,1.53,"r_n_d_expenses_relative_to_GDP"
"CZ",2012,1.76,"r_n_d_expenses_relative_to_GDP"
"CZ",2013,1.87,"r_n_d_expenses_relative_to_GDP"
"CZ",2014,1.94,"r_n_d_expenses_relative_to_GDP"
"CZ",2015,1.91,"r_n_d_expenses_relative_to_GDP"
"CZ",2016,1.65,"r_n_d_expenses_relative_to_GDP"
"CZ",2017,1.75,"r_n_d_expenses_relative_to_GDP"
"CZ",2018,1.88,"r_n_d_expenses_relative_to_GDP"
"CZ",2019,1.9,"r_n_d_expenses_relative_to_GDP"
"CZ",2020,1.95,"r_n_d_expenses_relative_to_GDP"
"CZ",2021,1.93,"r_n_d_expenses_relative_to_GDP"
"CZ",2022,1.89,"r_n_d_expenses_relative_to_GDP"
"CZ",2023,1.82,"r_n_d_expenses_relative_to_GDP"
"CZ",2024,1.82,"r_n_d_expenses_relative_to_GDP"
"DE",2010,2.68,"r_n_d_expenses_relative_to_GDP"
"DE",2011,2.75,"r_n_d_expenses_relative_to_GDP"
"DE",2012,2.83,"r_n_d_expenses_relative_to_GDP"
"DE",2013,2.78,"r_n_d_expenses_relative_to_GDP"
"DE",2014,2.82,"r_n_d_expenses_relative_to_GDP"
"DE",2015,2.88,"r_n_d_expenses_relative_to_GDP"
"DE",2016,2.88,"r_n_d_expenses_relative_to_GDP"
"DE",2017,2.99,"r_n_d_expenses_relative_to_GDP"
"DE",2018,3.05,"r_n_d_expenses_relative_to_GDP"
"DE",2019,3.11,"r_n_d_expenses_relative_to_GDP"
"DE",2020,3.09,"r_n_d_expenses_relative_to_GDP"
"DE",2021,3.07,"r_n_d_expenses_relative_to_GDP"
"DE",2022,3.04,"r_n_d_expenses_relative_to_GDP"
"DE",2023,3.13,"r_n_d_expenses_relative_to_GDP"
"DE",2024,3.13,"r_n_d_expenses_relative_to_GDP"
"DK",2010,2.91,"r_n_d_expenses_relative_to_GDP"
"DK",2011,2.94,"r_n_d_expenses_relative_to_GDP"
"DK",2012,2.98,"r_n_d_expenses_relative_to_GDP"
"DK",2013,2.96,"r_n_d_expenses_relative_to_GDP"
"DK",2014,2.92,"r_n_d_expenses_relative_to_GDP"
"DK",2015,3.06,"r_n_d_expenses_relative_to_GDP"
"DK",2016,3.1,"r_n_d_expenses_relative_to_GDP"
"DK",2017,2.94,"r_n_d_expenses_relative_to_GDP"
"DK",2018,2.98,"r_n_d_expenses_relative_to_GDP"
"DK",2019,2.95,"r_n_d_expenses_relative_to_GDP"
"DK",2020,2.97,"r_n_d_expenses_relative_to_GDP"
"DK",2021,2.76,"r_n_d_expenses_relative_to_GDP"
"DK",2022,2.88,"r_n_d_expenses_relative_to_GDP"
"DK",2023,3.07,"r_n_d_expenses_relative_to_GDP"
"DK",2024,3.01,"r_n_d_expenses_relative_to_GDP"
"EE",2010,1.58,"r_n_d_expenses_relative_to_GDP"
"EE",2011,2.3,"r_n_d_expenses_relative_to_GDP"
"EE",2012,2.1,"r_n_d_expenses_relative_to_GDP"
"EE",2013,1.7,"r_n_d_expenses_relative_to_GDP"
"EE",2014,1.41,"r_n_d_expenses_relative_to_GDP"
"EE",2015,1.44,"r_n_d_expenses_relative_to_GDP"
"EE",2016,1.22,"r_n_d_expenses_relative_to_GDP"
"EE",2017,1.25,"r_n_d_expenses_relative_to_GDP"
"EE",2018,1.38,"r_n_d_expenses_relative_to_GDP"
"EE",2019,1.59,"r_n_d_expenses_relative_to_GDP"
"EE",2020,1.73,"r_n_d_expenses_relative_to_GDP"
"EE",2021,1.75,"r_n_d_expenses_relative_to_GDP"
"EE",2022,1.77,"r_n_d_expenses_relative_to_GDP"
"EE",2023,1.83,"r_n_d_expenses_relative_to_GDP"
"EE",2024,1.99,"r_n_d_expenses_relative_to_GDP"
"EL",2010,0.6,"r_n_d_expenses_relative_to_GDP"
"EL",2011,0.68,"r_n_d_expenses_relative_to_GDP"
"EL",2012,0.72,"r_n_d_expenses_relative_to_GDP"
"EL",2013,0.82,"r_n_d_expenses_relative_to_GDP"
"EL",2014,0.85,"r_n_d_expenses_relative_to_GDP"
"EL",2015,0.97,"r_n_d_expenses_relative_to_GDP"
"EL",2016,1.01,"r_n_d_expenses_relative_to_GDP"
"EL",2017,1.15,"r_n_d_expenses_relative_to_GDP"
"EL",2018,1.21,"r_n_d_expenses_relative_to_GDP"
"EL",2019,1.26,"r_n_d_expenses_relative_to_GDP"
"EL",2020,1.49,"r_n_d_expenses_relative_to_GDP"
"EL",2021,1.43,"r_n_d_expenses_relative_to_GDP"
"EL",2022,1.48,"r_n_d_expenses_relative_to_GDP"
"EL",2023,1.5,"r_n_d_expenses_relative_to_GDP"
"EL",2024,1.54,"r_n_d_expenses_relative_to_GDP"
"ES",2010,1.35,"r_n_d_expenses_relative_to_GDP"
"ES",2011,1.33,"r_n_d_expenses_relative_to_GDP"
"ES",2012,1.29,"r_n_d_expenses_relative_to_GDP"
"ES",2013,1.27,"r_n_d_expenses_relative_to_GDP"
"ES",2014,1.23,"r_n_d_expenses_relative_to_GDP"
"ES",2015,1.21,"r_n_d_expenses_relative_to_GDP"
"ES",2016,1.18,"r_n_d_expenses_relative_to_GDP"
"ES",2017,1.2,"r_n_d_expenses_relative_to_GDP"
"ES",2018,1.23,"r_n_d_expenses_relative_to_GDP"
"ES",2019,1.24,"r_n_d_expenses_relative_to_GDP"
"ES",2020,1.4,"r_n_d_expenses_relative_to_GDP"
"ES",2021,1.4,"r_n_d_expenses_relative_to_GDP"
"ES",2022,1.4,"r_n_d_expenses_relative_to_GDP"
"ES",2023,1.49,"r_n_d_expenses_relative_to_GDP"
"ES",2024,1.5,"r_n_d_expenses_relative_to_GDP"
"FI",2010,3.71,"r_n_d_expenses_relative_to_GDP"
"FI",2011,3.62,"r_n_d_expenses_relative_to_GDP"
"FI",2012,3.41,"r_n_d_expenses_relative_to_GDP"
"FI",2013,3.28,"r_n_d_expenses_relative_to_GDP"
"FI",2014,3.16,"r_n_d_expenses_relative_to_GDP"
"FI",2015,2.89,"r_n_d_expenses_relative_to_GDP"
"FI",2016,2.75,"r_n_d_expenses_relative_to_GDP"
"FI",2017,2.75,"r_n_d_expenses_relative_to_GDP"
"FI",2018,2.78,"r_n_d_expenses_relative_to_GDP"
"FI",2019,2.82,"r_n_d_expenses_relative_to_GDP"
"FI",2020,2.93,"r_n_d_expenses_relative_to_GDP"
"FI",2021,3.01,"r_n_d_expenses_relative_to_GDP"
"FI",2022,2.98,"r_n_d_expenses_relative_to_GDP"
"FI",2023,3.09,"r_n_d_expenses_relative_to_GDP"
"FI",2024,3.22,"r_n_d_expenses_relative_to_GDP"
"FR",2010,2.18,"r_n_d_expenses_relative_to_GDP"
"FR",2011,2.19,"r_n_d_expenses_relative_to_GDP"
"FR",2012,2.23,"r_n_d_expenses_relative_to_GDP"
"FR",2013,2.23,"r_n_d_expenses_relative_to_GDP"
"FR",2014,2.22,"r_n_d_expenses_relative_to_GDP"
"FR",2015,2.22,"r_n_d_expenses_relative_to_GDP"
"FR",2016,2.22,"r_n_d_expenses_relative_to_GDP"
"FR",2017,2.2,"r_n_d_expenses_relative_to_GDP"
"FR",2018,2.2,"r_n_d_expenses_relative_to_GDP"
"FR",2019,2.2,"r_n_d_expenses_relative_to_GDP"
"FR",2020,2.27,"r_n_d_expenses_relative_to_GDP"
"FR",2021,2.21,"r_n_d_expenses_relative_to_GDP"
"FR",2022,2.22,"r_n_d_expenses_relative_to_GDP"
"FR",2023,2.18,"r_n_d_expenses_relative_to_GDP"
"FR",2024,2.18,"r_n_d_expenses_relative_to_GDP"
"HU",2010,1.13,"r_n_d_expenses_relative_to_GDP"
"HU",2011,1.18,"r_n_d_expenses_relative_to_GDP"
"HU",2012,1.26,"r_n_d_expenses_relative_to_GDP"
"HU",2013,1.38,"r_n_d_expenses_relative_to_GDP"
"HU",2014,1.34,"r_n_d_expenses_relative_to_GDP"
"HU",2015,1.34,"r_n_d_expenses_relative_to_GDP"
"HU",2016,1.18,"r_n_d_expenses_relative_to_GDP"
"HU",2017,1.31,"r_n_d_expenses_relative_to_GDP"
"HU",2018,1.5,"r_n_d_expenses_relative_to_GDP"
"HU",2019,1.46,"r_n_d_expenses_relative_to_GDP"
"HU",2020,1.58,"r_n_d_expenses_relative_to_GDP"
"HU",2021,1.63,"r_n_d_expenses_relative_to_GDP"
"HU",2022,1.39,"r_n_d_expenses_relative_to_GDP"
"HU",2023,1.38,"r_n_d_expenses_relative_to_GDP"
"HU",2024,1.31,"r_n_d_expenses_relative_to_GDP"
"IT",2010,1.21,"r_n_d_expenses_relative_to_GDP"
"IT",2011,1.2,"r_n_d_expenses_relative_to_GDP"
"IT",2012,1.26,"r_n_d_expenses_relative_to_GDP"
"IT",2013,1.29,"r_n_d_expenses_relative_to_GDP"
"IT",2014,1.33,"r_n_d_expenses_relative_to_GDP"
"IT",2015,1.33,"r_n_d_expenses_relative_to_GDP"
"IT",2016,1.36,"r_n_d_expenses_relative_to_GDP"
"IT",2017,1.36,"r_n_d_expenses_relative_to_GDP"
"IT",2018,1.42,"r_n_d_expenses_relative_to_GDP"
"IT",2019,1.46,"r_n_d_expenses_relative_to_GDP"
"IT",2020,1.5,"r_n_d_expenses_relative_to_GDP"
"IT",2021,1.41,"r_n_d_expenses_relative_to_GDP"
"IT",2022,1.37,"r_n_d_expenses_relative_to_GDP"
"IT",2023,1.37,"r_n_d_expenses_relative_to_GDP"
"IT",2024,1.38,"r_n_d_expenses_relative_to_GDP"
"LT",2010,0.79,"r_n_d_expenses_relative_to_GDP"
