"country_code","year","value","indicator"
"AT",2010,5.6,"rate_of_temporary_contracts"
"AT",2011,5.8,"rate_of_temporary_contracts"
"AT",2012,5.8,"rate_of_temporary_contracts"
"AT",2013,5.9,"rate_of_temporary_contracts"
"AT",2014,6,"rate_of_temporary_contracts"
"AT",2015,6.1,"rate_of_temporary_contracts"
"AT",2016,6.2,"rate_of_temporary_contracts"
"AT",2017,6.7,"rate_of_temporary_contracts"
"AT",2018,6.7,"rate_of_temporary_contracts"
"AT",2019,6.3,"rate_of_temporary_contracts"
"AT",2020,5.7,"rate_of_temporary_contracts"
"AT",2021,5.8,"rate_of_temporary_contracts"
"AT",2022,5.7,"rate_of_temporary_contracts"
"AT",2023,5.9,"rate_of_temporary_contracts"
"AT",2024,5.5,"rate_of_temporary_contracts"
"BE",2010,6.5,"rate_of_temporary_contracts"
"BE",2011,7.1,"rate_of_temporary_contracts"
"BE",2012,6.6,"rate_of_temporary_contracts"
"BE",2013,6.6,"rate_of_temporary_contracts"
"BE",2014,7,"rate_of_temporary_contracts"
"BE",2015,7.4,"rate_of_temporary_contracts"
"BE",2016,7.5,"rate_of_temporary_contracts"
"BE",2017,8.5,"rate_of_temporary_contracts"
"BE",2018,8.5,"rate_of_temporary_contracts"
"BE",2019,8.5,"rate_of_temporary_contracts"
"BE",2020,8,"rate_of_temporary_contracts"
"BE",2021,8,"rate_of_temporary_contracts"
"BE",2022,7.1,"rate_of_temporary_contracts"
"BE",2023,6.8,"rate_of_temporary_contracts"
"BE",2024,7.2,"rate_of_temporary_contracts"
"BG",2010,4,"rate_of_temporary_contracts"
"BG",2011,3.7,"rate_of_temporary_contracts"
"BG",2012,4.1,"rate_of_temporary_contracts"
"BG",2013,5.2,"rate_of_temporary_contracts"
"BG",2014,4.8,"rate_of_temporary_contracts"
"BG",2015,4,"rate_of_temporary_contracts"
"BG",2016,3.7,"rate_of_temporary_contracts"
"BG",2017,4,"rate_of_temporary_contracts"
"BG",2018,3.7,"rate_of_temporary_contracts"
"BG",2019,4,"rate_of_temporary_contracts"
"BG",2020,3.2,"rate_of_temporary_contracts"
"BG",2021,3,"rate_of_temporary_contracts"
"BG",2022,3.3,"rate_of_temporary_contracts"
"BG",2023,2.6,"rate_of_temporary_contracts"
"BG",2024,2.4,"rate_of_temporary_contracts"
"CZ",2010,6.6,"rate_of_temporary_contracts"
"CZ",2011,6.4,"rate_of_temporary_contracts"
"CZ",2012,6.6,"rate_of_temporary_contracts"
"CZ",2013,7.4,"rate_of_temporary_contracts"
