"country_code","year","value","indicator"
"AT",2010,20.7,"tertiary_education"
"AT",2011,20.9,"tertiary_education"
"AT",2012,22.8,"tertiary_education"
"AT",2013,24.9,"tertiary_education"
"AT",2014,38.4,"tertiary_education"
"AT",2015,38.6,"tertiary_education"
"AT",2016,39.7,"tertiary_education"
"AT",2017,40.3,"tertiary_education"
"AT",2018,40.5,"tertiary_education"
"AT",2019,41.6,"tertiary_education"
"AT",2020,41.4,"tertiary_education"
"AT",2021,42.4,"tertiary_education"
"AT",2022,43.1,"tertiary_education"
"AT",2023,43.5,"tertiary_education"
"AT",2024,44.1,"tertiary_education"
"BE",2010,43.8,"tertiary_education"
"BE",2011,42.5,"tertiary_education"
"BE",2012,43,"tertiary_education"
"BE",2013,42.7,"tertiary_education"
"BE",2014,44.2,"tertiary_education"
"BE",2015,43.1,"tertiary_education"
"BE",2016,44.3,"tertiary_education"
"BE",2017,45.7,"tertiary_education"
"BE",2018,47.4,"tertiary_education"
"BE",2019,47.3,"tertiary_education"
"BE",2020,48.5,"tertiary_education"
"BE",2021,50.9,"tertiary_education"
"BE",2022,51.4,"tertiary_education"
"BE",2023,50,"tertiary_education"
"BE",2024,50.7,"tertiary_education"
"BG",2010,27.5,"tertiary_education"
"BG",2011,27.2,"tertiary_education"
"BG",2012,27.2,"tertiary_education"
"BG",2013,29.6,"tertiary_education"
"BG",2014,31.3,"tertiary_education"
"BG",2015,31.8,"tertiary_education"
"BG",2016,32.8,"tertiary_education"
"BG",2017,33.4,"tertiary_education"
"BG",2018,34,"tertiary_education"
"BG",2019,32.6,"tertiary_education"
"BG",2020,33.1,"tertiary_education"
"BG",2021,33.8,"tertiary_education"
"BG",2022,34,"tertiary_education"
"BG",2023,35.8,"tertiary_education"
"BG",2024,40.5,"tertiary_education"
"CZ",2010,22.6,"tertiary_education"
"CZ",2011,25.1,"tertiary_education"
"CZ",2012,27.8,"tertiary_education"
"CZ",2013,29.2,"tertiary_education"
"CZ",2014,29.9,"tertiary_education"
"CZ",2015,31,"tertiary_education"
"CZ",2016,32.6,"tertiary_education"
"CZ",2017,33.8,"tertiary_education"
"CZ",2018,33.3,"tertiary_education"
"CZ",2019,32.6,"tertiary_education"
"CZ",2020,33,"tertiary_education"
"CZ",2021,34.9,"tertiary_education"
"CZ",2022,34.6,"tertiary_education"
"CZ",2023,33.7,"tertiary_education"
"CZ",2024,33.5,"tertiary_education"
"DE",2010,26,"tertiary_education"
"DE",2011,27.6,"tertiary_education"
"DE",2012,28.9,"tertiary_education"
"DE",2013,29.9,"tertiary_education"
"DE",2014,28.4,"tertiary_education"
"DE",2015,29.6,"tertiary_education"
"DE",2016,30.5,"tertiary_education"
"DE",2017,31.3,"tertiary_education"
"DE",2018,32.3,"tertiary_education"
"DE",2019,33.3,"tertiary_education"
"DE",2020,35.3,"tertiary_education"
"DE",2021,36.9,"tertiary_education"
"DE",2022,36.8,"tertiary_education"
"DE",2023,37.9,"tertiary_education"
"DE",2024,39.1,"tertiary_education"
"DK",2010,37.6,"tertiary_education"
"DK",2011,38.6,"tertiary_education"
"DK",2012,40.2,"tertiary_education"
"DK",2013,40.9,"tertiary_education"
"DK",2014,41.6,"tertiary_education"
"DK",2015,43,"tertiary_education"
"DK",2016,44.6,"tertiary_education"
"DK",2017,45.5,"tertiary_education"
"DK",2018,45.8,"tertiary_education"
"DK",2019,47.1,"tertiary_education"
"DK",2020,47.1,"tertiary_education"
"DK",2021,49.1,"tertiary_education"
"DK",2022,49,"tertiary_education"
"DK",2023,49,"tertiary_education"
"DK",2024,51.2,"tertiary_education"
"EE",2010,38.2,"tertiary_education"
"EE",2011,39,"tertiary_education"
"EE",2012,40.1,"tertiary_education"
"EE",2013,40.6,"tertiary_education"
"EE",2014,40.6,"tertiary_education"
"EE",2015,38.5,"tertiary_education"
"EE",2016,39.1,"tertiary_education"
"EE",2017,40.9,"tertiary_education"
"EE",2018,41.1,"tertiary_education"
"EE",2019,40.6,"tertiary_education"
"EE",2020,40.1,"tertiary_education"
"EE",2021,43.2,"tertiary_education"
"EE",2022,43.9,"tertiary_education"
"EE",2023,43.5,"tertiary_education"
"EE",2024,42.7,"tertiary_education"
"EL",2010,30.6,"tertiary_education"
"EL",2011,32.3,"tertiary_education"
"EL",2012,34.5,"tertiary_education"
"EL",2013,37.2,"tertiary_education"
"EL",2014,38.7,"tertiary_education"
"EL",2015,40.1,"tertiary_education"
"EL",2016,41,"tertiary_education"
"EL",2017,42.5,"tertiary_education"
"EL",2018,42.8,"tertiary_education"
"EL",2019,42.4,"tertiary_education"
