"cod_tara","an","valoare","indicator"
"AT",2010,73.9,"rata_ocupare"
"AT",2011,74.2,"rata_ocupare"
"AT",2012,74.4,"rata_ocupare"
"AT",2013,74.6,"rata_ocupare"
"AT",2014,74.2,"rata_ocupare"
"AT",2015,74.3,"rata_ocupare"
"AT",2016,74.8,"rata_ocupare"
"AT",2017,75.4,"rata_ocupare"
"AT",2018,76.2,"rata_ocupare"
"AT",2019,76.8,"rata_ocupare"
"AT",2020,75.5,"rata_ocupare"
"AT",2021,75.6,"rata_ocupare"
"AT",2022,77.3,"rata_ocupare"
"AT",2023,77.2,"rata_ocupare"
"AT",2024,77.4,"rata_ocupare"
"BE",2010,67.6,"rata_ocupare"
"BE",2011,67.3,"rata_ocupare"
"BE",2012,67.2,"rata_ocupare"
"BE",2013,67.2,"rata_ocupare"
"BE",2014,67.3,"rata_ocupare"
"BE",2015,67.2,"rata_ocupare"
"BE",2016,67.7,"rata_ocupare"
"BE",2017,68.5,"rata_ocupare"
"BE",2018,69.7,"rata_ocupare"
"BE",2019,70.5,"rata_ocupare"
"BE",2020,70,"rata_ocupare"
"BE",2021,70.6,"rata_ocupare"
"BE",2022,71.9,"rata_ocupare"
"BE",2023,72.1,"rata_ocupare"
"BE",2024,72.3,"rata_ocupare"
"BG",2010,64.7,"rata_ocupare"
"BG",2011,62.9,"rata_ocupare"
"BG",2012,63,"rata_ocupare"
"BG",2013,63.5,"rata_ocupare"
"BG",2014,65.1,"rata_ocupare"
"BG",2015,67.1,"rata_ocupare"
"BG",2016,67.7,"rata_ocupare"
"BG",2017,71.3,"rata_ocupare"
"BG",2018,72.4,"rata_ocupare"
"BG",2019,75,"rata_ocupare"
"BG",2020,73.6,"rata_ocupare"
"BG",2021,73.3,"rata_ocupare"
"BG",2022,75.9,"rata_ocupare"
"BG",2023,76.2,"rata_ocupare"
"BG",2024,76.8,"rata_ocupare"
"CZ",2010,70.4,"rata_ocupare"
"CZ",2011,70.9,"rata_ocupare"
"CZ",2012,71.5,"rata_ocupare"
"CZ",2013,72.5,"rata_ocupare"
"CZ",2014,73.5,"rata_ocupare"
"CZ",2015,74.8,"rata_ocupare"
"CZ",2016,76.7,"rata_ocupare"
"CZ",2017,78.5,"rata_ocupare"
"CZ",2018,79.9,"rata_ocupare"
"CZ",2019,80.3,"rata_ocupare"
"CZ",2020,79.7,"rata_ocupare"
"CZ",2021,80,"rata_ocupare"
"CZ",2022,81.3,"rata_ocupare"
"CZ",2023,81.7,"rata_ocupare"
"CZ",2024,82.3,"rata_ocupare"
"DE",2010,75,"rata_ocupare"
"DE",2011,76.5,"rata_ocupare"
"DE",2012,76.9,"rata_ocupare"
"DE",2013,77.3,"rata_ocupare"
"DE",2014,77.7,"rata_ocupare"
"DE",2015,78,"rata_ocupare"
"DE",2016,78.6,"rata_ocupare"
"DE",2017,79.2,"rata_ocupare"
