"cod_tara","an","valoare","indicator"
"AT",2010,5.6,"rata_contracte_temporare"
"AT",2011,5.8,"rata_contracte_temporare"
"AT",2012,5.8,"rata_contracte_temporare"
"AT",2013,5.9,"rata_contracte_temporare"
"AT",2014,6,"rata_contracte_temporare"
"AT",2015,6.1,"rata_contracte_temporare"
"AT",2016,6.2,"rata_contracte_temporare"
"AT",2017,6.7,"rata_contracte_temporare"
"AT",2018,6.7,"rata_contracte_temporare"
"AT",2019,6.3,"rata_contracte_temporare"
"AT",2020,5.7,"rata_contracte_temporare"
"AT",2021,5.8,"rata_contracte_temporare"
"AT",2022,5.7,"rata_contracte_temporare"
"AT",2023,5.9,"rata_contracte_temporare"
"AT",2024,5.5,"rata_contracte_temporare"
"BE",2010,6.5,"rata_contracte_temporare"
"BE",2011,7.1,"rata_contracte_temporare"
"BE",2012,6.6,"rata_contracte_temporare"
"BE",2013,6.6,"rata_contracte_temporare"
"BE",2014,7,"rata_contracte_temporare"
"BE",2015,7.4,"rata_contracte_temporare"
"BE",2016,7.5,"rata_contracte_temporare"
"BE",2017,8.5,"rata_contracte_temporare"
"BE",2018,8.5,"rata_contracte_temporare"
"BE",2019,8.5,"rata_contracte_temporare"
"BE",2020,8,"rata_contracte_temporare"
"BE",2021,8,"rata_contracte_temporare"
"BE",2022,7.1,"rata_contracte_temporare"
"BE",2023,6.8,"rata_contracte_temporare"
"BE",2024,7.2,"rata_contracte_temporare"
"BG",2010,4,"rata_contracte_temporare"
"BG",2011,3.7,"rata_contracte_temporare"
"BG",2012,4.1,"rata_contracte_temporare"
"BG",2013,5.2,"rata_contracte_temporare"
"BG",2014,4.8,"rata_contracte_temporare"
"BG",2015,4,"rata_contracte_temporare"
"BG",2016,3.7,"rata_contracte_temporare"
"BG",2017,4,"rata_contracte_temporare"
"BG",2018,3.7,"rata_contracte_temporare"
"BG",2019,4,"rata_contracte_temporare"
"BG",2020,3.2,"rata_contracte_temporare"
"BG",2021,3,"rata_contracte_temporare"
"BG",2022,3.3,"rata_contracte_temporare"
"BG",2023,2.6,"rata_contracte_temporare"
"BG",2024,2.4,"rata_contracte_temporare"
"CZ",2010,6.6,"rata_contracte_temporare"
"CZ",2011,6.4,"rata_contracte_temporare"
"CZ",2012,6.6,"rata_contracte_temporare"
"CZ",2013,7.4,"rata_contracte_temporare"
"CZ",2014,7.8,"rata_contracte_temporare"
"CZ",2015,8.1,"rata_contracte_temporare"
"CZ",2016,7.9,"rata_contracte_temporare"
"CZ",2017,7.8,"rata_contracte_temporare"
"CZ",2018,6.9,"rata_contracte_temporare"
"CZ",2019,6.3,"rata_contracte_temporare"
"CZ",2020,5.7,"rata_contracte_temporare"
"CZ",2021,5.3,"rata_contracte_temporare"
"CZ",2022,4.9,"rata_contracte_temporare"
"CZ",2023,5.6,"rata_contracte_temporare"
"CZ",2024,6.1,"rata_contracte_temporare"
"DE",2010,11.8,"rata_contracte_temporare"
"DE",2011,12,"rata_contracte_temporare"
"DE",2012,11.3,"rata_contracte_temporare"
"DE",2013,11,"rata_contracte_temporare"
"DE",2014,10.8,"rata_contracte_temporare"
"DE",2015,10.9,"rata_contracte_temporare"
"DE",2016,10.9,"rata_contracte_temporare"
