"cod_tara","an","valoare","indicator"
"AT",2010,3.7,"angajati_tech"
"AT",2011,3.5,"angajati_tech"
"AT",2012,3.5,"angajati_tech"
"AT",2013,3.8,"angajati_tech"
"AT",2014,4.1,"angajati_tech"
"AT",2015,4,"angajati_tech"
"AT",2016,4.3,"angajati_tech"
"AT",2017,4.4,"angajati_tech"
"AT",2018,4.2,"angajati_tech"
"AT",2019,4,"angajati_tech"
"AT",2020,4.1,"angajati_tech"
"AT",2021,4.5,"angajati_tech"
"AT",2022,5,"angajati_tech"
"AT",2023,5.1,"angajati_tech"
"AT",2024,5.2,"angajati_tech"
"BE",2010,4.7,"angajati_tech"
"BE",2011,4.6,"angajati_tech"
"BE",2012,4.7,"angajati_tech"
"BE",2013,4.4,"angajati_tech"
"BE",2014,4.4,"angajati_tech"
"BE",2015,4.4,"angajati_tech"
"BE",2016,4.3,"angajati_tech"
"BE",2017,4.6,"angajati_tech"
"BE",2018,4.9,"angajati_tech"
"BE",2019,5.1,"angajati_tech"
"BE",2020,5.1,"angajati_tech"
"BE",2021,5.7,"angajati_tech"
"BE",2022,5.8,"angajati_tech"
"BE",2023,5.5,"angajati_tech"
"BE",2024,5.6,"angajati_tech"
"BG",2010,3,"angajati_tech"
"BG",2011,3.1,"angajati_tech"
"BG",2012,3.2,"angajati_tech"
"BG",2013,3.4,"angajati_tech"
"BG",2014,3.3,"angajati_tech"
"BG",2015,3.7,"angajati_tech"
"BG",2016,3.9,"angajati_tech"
"BG",2017,3.6,"angajati_tech"
"BG",2018,3.9,"angajati_tech"
"BG",2019,3.9,"angajati_tech"
"BG",2020,4.2,"angajati_tech"
"BG",2021,4.5,"angajati_tech"
"BG",2022,4.8,"angajati_tech"
"BG",2023,5.1,"angajati_tech"
"BG",2024,5.1,"angajati_tech"
"CZ",2010,4.3,"angajati_tech"
"CZ",2011,4.5,"angajati_tech"
"CZ",2012,4.4,"angajati_tech"
"CZ",2013,4.6,"angajati_tech"
"CZ",2014,4.8,"angajati_tech"
"CZ",2015,4.6,"angajati_tech"
"CZ",2016,4.7,"angajati_tech"
"CZ",2017,4.7,"angajati_tech"
"CZ",2018,5,"angajati_tech"
"CZ",2019,4.9,"angajati_tech"
"CZ",2020,5.1,"angajati_tech"
"CZ",2021,5.7,"angajati_tech"
"CZ",2022,5.4,"angajati_tech"
"CZ",2023,5.4,"angajati_tech"
"CZ",2024,5.4,"angajati_tech"
"DE",2010,4.3,"angajati_tech"
"DE",2011,4.3,"angajati_tech"
"DE",2012,4.3,"angajati_tech"
"DE",2013,4.1,"angajati_tech"
"DE",2014,4.1,"angajati_tech"
"DE",2015,4.1,"angajati_tech"
"DE",2016,4.1,"angajati_tech"
"DE",2017,4.1,"angajati_tech"
"DE",2018,4.2,"angajati_tech"
"DE",2019,4.2,"angajati_tech"
"DE",2020,5.4,"angajati_tech"
"DE",2021,5.4,"angajati_tech"
"DE",2022,5.4,"angajati_tech"
"DE",2023,5.7,"angajati_tech"
"DE",2024,5.7,"angajati_tech"
"DK",2010,5.4,"angajati_tech"
"DK",2011,5.5,"angajati_tech"
"DK",2012,5.5,"angajati_tech"
"DK",2013,5.5,"angajati_tech"
"DK",2014,5.6,"angajati_tech"
"DK",2015,5.7,"angajati_tech"
"DK",2016,5.6,"angajati_tech"
"DK",2017,5.1,"angajati_tech"
"DK",2018,5.2,"angajati_tech"
"DK",2019,5.5,"angajati_tech"
"DK",2020,5.7,"angajati_tech"
"DK",2021,5.8,"angajati_tech"
"DK",2022,6.1,"angajati_tech"
"DK",2023,6.4,"angajati_tech"
"DK",2024,6.4,"angajati_tech"
"EE",2010,3.4,"angajati_tech"
"EE",2011,4.1,"angajati_tech"
"EE",2012,3.7,"angajati_tech"
"EE",2013,4.1,"angajati_tech"
"EE",2014,4.5,"angajati_tech"
"EE",2015,4.8,"angajati_tech"
"EE",2016,5.3,"angajati_tech"
"EE",2017,5.2,"angajati_tech"
"EE",2018,5.3,"angajati_tech"
"EE",2019,5.6,"angajati_tech"
"EE",2020,5.6,"angajati_tech"
"EE",2021,6.5,"angajati_tech"
"EE",2022,6.8,"angajati_tech"
"EE",2023,6.5,"angajati_tech"
"EE",2024,6.6,"angajati_tech"
"EL",2010,2.3,"angajati_tech"
"EL",2011,2.1,"angajati_tech"
"EL",2012,2.2,"angajati_tech"
"EL",2013,2.4,"angajati_tech"
"EL",2014,2.5,"angajati_tech"
"EL",2015,2.4,"angajati_tech"
"EL",2016,2.5,"angajati_tech"
"EL",2017,2.5,"angajati_tech"
"EL",2018,2.8,"angajati_tech"
"EL",2019,3,"angajati_tech"
"EL",2020,3.1,"angajati_tech"
"EL",2021,3.2,"angajati_tech"
"EL",2022,3.4,"angajati_tech"
"EL",2023,3.4,"angajati_tech"
"EL",2024,3.2,"angajati_tech"
"ES",2010,3.4,"angajati_tech"
"ES",2011,3.6,"angajati_tech"
"ES",2012,3.7,"angajati_tech"
"ES",2013,3.7,"angajati_tech"
"ES",2014,3.6,"angajati_tech"
"ES",2015,3.7,"angajati_tech"
"ES",2016,3.6,"angajati_tech"
"ES",2017,3.8,"angajati_tech"
"ES",2018,3.6,"angajati_tech"
"ES",2019,3.7,"angajati_tech"
"ES",2020,3.9,"angajati_tech"
"ES",2021,4.1,"angajati_tech"
"ES",2022,4.4,"angajati_tech"
"ES",2023,4.4,"angajati_tech"
"ES",2024,4.7,"angajati_tech"
"FI",2010,5.9,"angajati_tech"
"FI",2011,5.8,"angajati_tech"
"FI",2012,5.8,"angajati_tech"
"FI",2013,5.9,"angajati_tech"
"FI",2014,5.9,"angajati_tech"
"FI",2015,5.9,"angajati_tech"
"FI",2016,5.6,"angajati_tech"
"FI",2017,5.7,"angajati_tech"
"FI",2018,5.8,"angajati_tech"
"FI",2019,6.1,"angajati_tech"
"FI",2020,6.6,"angajati_tech"
"FI",2021,6.3,"angajati_tech"
"FI",2022,6.5,"angajati_tech"
"FI",2023,6.7,"angajati_tech"
"FI",2024,6.8,"angajati_tech"
"FR",2010,3.9,"angajati_tech"
"FR",2011,4.1,"angajati_tech"
"FR",2012,1.7,"angajati_tech"
"FR",2013,3.9,"angajati_tech"
"FR",2014,3.9,"angajati_tech"
"FR",2015,4,"angajati_tech"
"FR",2016,4,"angajati_tech"
"FR",2017,4,"angajati_tech"
"FR",2018,4.1,"angajati_tech"
"FR",2019,4.4,"angajati_tech"
"FR",2020,4.5,"angajati_tech"
"FR",2021,4.6,"angajati_tech"
"FR",2022,4.4,"angajati_tech"
"FR",2023,4.6,"angajati_tech"
"FR",2024,4.7,"angajati_tech"
"HR",2010,2.7,"angajati_tech"
"HR",2011,2.7,"angajati_tech"
"HR",2012,2.7,"angajati_tech"
"HR",2013,2.9,"angajati_tech"
"HR",2014,3.3,"angajati_tech"
"HR",2015,3.3,"angajati_tech"
"HR",2016,3.7,"angajati_tech"
"HR",2017,3.5,"angajati_tech"
"HR",2018,3.9,"angajati_tech"
"HR",2019,4.2,"angajati_tech"
"HR",2020,4.2,"angajati_tech"
"HR",2021,3.6,"angajati_tech"
"HR",2022,4.2,"angajati_tech"
"HR",2023,4.7,"angajati_tech"
"HR",2024,5.3,"angajati_tech"
"HU",2010,5,"angajati_tech"
"HU",2011,5.3,"angajati_tech"
"HU",2012,5.2,"angajati_tech"
"HU",2013,5.3,"angajati_tech"
"HU",2014,4.7,"angajati_tech"
"HU",2015,4.7,"angajati_tech"
"HU",2016,5.1,"angajati_tech"
"HU",2017,4.8,"angajati_tech"
"HU",2018,5.2,"angajati_tech"
"HU",2019,5.7,"angajati_tech"
"HU",2020,6.1,"angajati_tech"
"HU",2021,6.4,"angajati_tech"
"HU",2022,6.4,"angajati_tech"
"HU",2023,6.2,"angajati_tech"
"HU",2024,6.7,"angajati_tech"
"IT",2010,3.3,"angajati_tech"
"IT",2011,3.3,"angajati_tech"
"IT",2012,3.4,"angajati_tech"
"IT",2013,3.4,"angajati_tech"
"IT",2014,3.4,"angajati_tech"
"IT",2015,3.4,"angajati_tech"
"IT",2016,3.4,"angajati_tech"
"IT",2017,3.4,"angajati_tech"
"IT",2018,3.5,"angajati_tech"
"IT",2019,3.7,"angajati_tech"
"IT",2020,3.9,"angajati_tech"
"IT",2021,4,"angajati_tech"
"IT",2022,4,"angajati_tech"
"IT",2023,4.3,"angajati_tech"
"IT",2024,4.3,"angajati_tech"
"LT",2010,1.9,"angajati_tech"
"LT",2011,2.2,"angajati_tech"
"LT",2012,2.4,"angajati_tech"
"LT",2013,2.2,"angajati_tech"
"LT",2014,2.1,"angajati_tech"
"LT",2015,2.3,"angajati_tech"
"LT",2016,2.5,"angajati_tech"
"LT",2017,2.5,"angajati_tech"
"LT",2018,2.9,"angajati_tech"
"LT",2019,3.2,"angajati_tech"
"LT",2020,3.3,"angajati_tech"
"LT",2021,4.3,"angajati_tech"
"LT",2022,4.6,"angajati_tech"
"LT",2023,4.9,"angajati_tech"
"LT",2024,5.5,"angajati_tech"
"LU",2010,4.1,"angajati_tech"
"LU",2011,3.8,"angajati_tech"
"LU",2012,4.2,"angajati_tech"
"LU",2013,4,"angajati_tech"
"LU",2014,4.3,"angajati_tech"
"LU",2015,3.9,"angajati_tech"
"LU",2016,3.6,"angajati_tech"
"LU",2017,3.8,"angajati_tech"
"LU",2018,4.2,"angajati_tech"
"LU",2019,4.3,"angajati_tech"
"LU",2020,4.3,"angajati_tech"
"LU",2021,5,"angajati_tech"
"LU",2022,6,"angajati_tech"
"LU",2023,5.9,"angajati_tech"
"LU",2024,5.5,"angajati_tech"
"LV",2010,3.2,"angajati_tech"
"LV",2011,3,"angajati_tech"
"LV",2012,2.5,"angajati_tech"
"LV",2013,3.1,"angajati_tech"
"LV",2014,3.4,"angajati_tech"
"LV",2015,3.3,"angajati_tech"
"LV",2016,3.1,"angajati_tech"
"LV",2017,3.6,"angajati_tech"
"LV",2018,3.5,"angajati_tech"
"LV",2019,3.3,"angajati_tech"
