"cod_tara","an","valoare","indicator"
"AT",2010,2.74,"cheltuieli_cd_rap_la_pib"
"AT",2011,2.69,"cheltuieli_cd_rap_la_pib"
"AT",2012,2.93,"cheltuieli_cd_rap_la_pib"
"AT",2013,2.98,"cheltuieli_cd_rap_la_pib"
"AT",2014,3.11,"cheltuieli_cd_rap_la_pib"
"AT",2015,3.07,"cheltuieli_cd_rap_la_pib"
"AT",2016,3.13,"cheltuieli_cd_rap_la_pib"
"AT",2017,3.07,"cheltuieli_cd_rap_la_pib"
"AT",2018,3.11,"cheltuieli_cd_rap_la_pib"
"AT",2019,3.14,"cheltuieli_cd_rap_la_pib"
"AT",2020,3.21,"cheltuieli_cd_rap_la_pib"
"AT",2021,3.26,"cheltuieli_cd_rap_la_pib"
"AT",2022,3.17,"cheltuieli_cd_rap_la_pib"
"AT",2023,3.22,"cheltuieli_cd_rap_la_pib"
"AT",2024,3.26,"cheltuieli_cd_rap_la_pib"
"BE",2010,2.06,"cheltuieli_cd_rap_la_pib"
"BE",2011,2.16,"cheltuieli_cd_rap_la_pib"
"BE",2012,2.27,"cheltuieli_cd_rap_la_pib"
"BE",2013,2.32,"cheltuieli_cd_rap_la_pib"
"BE",2014,2.36,"cheltuieli_cd_rap_la_pib"
"BE",2015,2.43,"cheltuieli_cd_rap_la_pib"
"BE",2016,2.53,"cheltuieli_cd_rap_la_pib"
"BE",2017,2.68,"cheltuieli_cd_rap_la_pib"
"BE",2018,2.86,"cheltuieli_cd_rap_la_pib"
"BE",2019,3.15,"cheltuieli_cd_rap_la_pib"
"BE",2020,3.37,"cheltuieli_cd_rap_la_pib"
"BE",2021,3.41,"cheltuieli_cd_rap_la_pib"
"BE",2022,3.21,"cheltuieli_cd_rap_la_pib"
"BE",2023,3.24,"cheltuieli_cd_rap_la_pib"
"BE",2024,3.36,"cheltuieli_cd_rap_la_pib"
"BG",2010,0.56,"cheltuieli_cd_rap_la_pib"
"BG",2011,0.53,"cheltuieli_cd_rap_la_pib"
"BG",2012,0.6,"cheltuieli_cd_rap_la_pib"
"BG",2013,0.63,"cheltuieli_cd_rap_la_pib"
"BG",2014,0.79,"cheltuieli_cd_rap_la_pib"
"BG",2015,0.95,"cheltuieli_cd_rap_la_pib"
"BG",2016,0.77,"cheltuieli_cd_rap_la_pib"
"BG",2017,0.74,"cheltuieli_cd_rap_la_pib"
"BG",2018,0.76,"cheltuieli_cd_rap_la_pib"
"BG",2019,0.84,"cheltuieli_cd_rap_la_pib"
"BG",2020,0.85,"cheltuieli_cd_rap_la_pib"
"BG",2021,0.77,"cheltuieli_cd_rap_la_pib"
"BG",2022,0.75,"cheltuieli_cd_rap_la_pib"
"BG",2023,0.79,"cheltuieli_cd_rap_la_pib"
"BG",2024,0.77,"cheltuieli_cd_rap_la_pib"
"CZ",2010,1.31,"cheltuieli_cd_rap_la_pib"
"CZ",2011,1.53,"cheltuieli_cd_rap_la_pib"
"CZ",2012,1.76,"cheltuieli_cd_rap_la_pib"
"CZ",2013,1.87,"cheltuieli_cd_rap_la_pib"
"CZ",2014,1.94,"cheltuieli_cd_rap_la_pib"
"CZ",2015,1.91,"cheltuieli_cd_rap_la_pib"
"CZ",2016,1.65,"cheltuieli_cd_rap_la_pib"
"CZ",2017,1.75,"cheltuieli_cd_rap_la_pib"
