"cod_tara","an","valoare","indicator"
"AT",2010,13.8,"formare_continua"
"AT",2011,13.5,"formare_continua"
"AT",2012,14.2,"formare_continua"
"AT",2013,14.1,"formare_continua"
"AT",2014,14.3,"formare_continua"
"AT",2015,14.4,"formare_continua"
"AT",2016,14.9,"formare_continua"
"AT",2017,15.8,"formare_continua"
"AT",2018,15.1,"formare_continua"
"AT",2019,14.7,"formare_continua"
"AT",2020,11.7,"formare_continua"
"AT",2021,14.6,"formare_continua"
"AT",2022,15.8,"formare_continua"
"AT",2023,17.1,"formare_continua"
"AT",2024,17.6,"formare_continua"
"BE",2010,7.4,"formare_continua"
"BE",2011,7.4,"formare_continua"
"BE",2012,6.9,"formare_continua"
"BE",2013,6.9,"formare_continua"
"BE",2014,7.4,"formare_continua"
"BE",2015,6.9,"formare_continua"
"BE",2016,7,"formare_continua"
"BE",2017,8.5,"formare_continua"
"BE",2018,8.5,"formare_continua"
"BE",2019,8.2,"formare_continua"
"BE",2020,7.4,"formare_continua"
"BE",2021,10.2,"formare_continua"
"BE",2022,10.3,"formare_continua"
"BE",2023,11.1,"formare_continua"
"BE",2024,14.9,"formare_continua"
"BG",2010,1.6,"formare_continua"
"BG",2011,1.6,"formare_continua"
"BG",2012,1.7,"formare_continua"
"BG",2013,2,"formare_continua"
"BG",2014,2.1,"formare_continua"
"BG",2015,2,"formare_continua"
"BG",2016,2.2,"formare_continua"
"BG",2017,2.3,"formare_continua"
"BG",2018,2.5,"formare_continua"
"BG",2019,1.8,"formare_continua"
"BG",2020,1.5,"formare_continua"
"BG",2021,1.7,"formare_continua"
"BG",2022,1.6,"formare_continua"
"BG",2023,1.4,"formare_continua"
"BG",2024,1.8,"formare_continua"
"CZ",2010,7.8,"formare_continua"
"CZ",2011,11.6,"formare_continua"
"CZ",2012,11.1,"formare_continua"
"CZ",2013,10,"formare_continua"
"CZ",2014,9.6,"formare_continua"
"CZ",2015,8.5,"formare_continua"
"CZ",2016,8.8,"formare_continua"
"CZ",2017,9.8,"formare_continua"
"CZ",2018,8.5,"formare_continua"
"CZ",2019,8.1,"formare_continua"
"CZ",2020,5.5,"formare_continua"
"CZ",2021,5.8,"formare_continua"
"CZ",2022,9.4,"formare_continua"
"CZ",2023,9.9,"formare_continua"
"CZ",2024,10.8,"formare_continua"
"DE",2010,7.8,"formare_continua"
"DE",2011,7.9,"formare_continua"
"DE",2012,7.9,"formare_continua"
"DE",2013,7.9,"formare_continua"
"DE",2014,8,"formare_continua"
"DE",2015,8.1,"formare_continua"
"DE",2016,8.5,"formare_continua"
"DE",2017,8.4,"formare_continua"
"DE",2018,8.2,"formare_continua"
"DE",2019,8.2,"formare_continua"
"DE",2020,7.7,"formare_continua"
"DE",2021,7.7,"formare_continua"
"DE",2022,8.1,"formare_continua"
"DE",2023,8.1,"formare_continua"
"DE",2024,9.3,"formare_continua"
"DK",2010,32.7,"formare_continua"
"DK",2011,32.3,"formare_continua"
"DK",2012,31.6,"formare_continua"
"DK",2013,31.5,"formare_continua"
"DK",2014,31.9,"formare_continua"
"DK",2015,31.5,"formare_continua"
"DK",2016,28,"formare_continua"
"DK",2017,26.9,"formare_continua"
"DK",2018,23.5,"formare_continua"
"DK",2019,25.3,"formare_continua"
"DK",2020,20,"formare_continua"
"DK",2021,22.4,"formare_continua"
"DK",2022,27.9,"formare_continua"
"DK",2023,30.5,"formare_continua"
"DK",2024,31.2,"formare_continua"
"EE",2010,11,"formare_continua"
"EE",2011,11.9,"formare_continua"
"EE",2012,12.8,"formare_continua"
"EE",2013,12.6,"formare_continua"
"EE",2014,11.6,"formare_continua"
"EE",2015,11.9,"formare_continua"
"EE",2016,15.3,"formare_continua"
"EE",2017,16.8,"formare_continua"
"EE",2018,19.3,"formare_continua"
"EE",2019,19.6,"formare_continua"
"EE",2020,16.6,"formare_continua"
"EE",2021,18.4,"formare_continua"
"EE",2022,21.1,"formare_continua"
"EE",2023,23.2,"formare_continua"
"EE",2024,23.3,"formare_continua"
"EL",2010,3.3,"formare_continua"
"EL",2011,2.8,"formare_continua"
"EL",2012,3.3,"formare_continua"
"EL",2013,3.2,"formare_continua"
"EL",2014,3.2,"formare_continua"
"EL",2015,3.3,"formare_continua"
"EL",2016,4,"formare_continua"
"EL",2017,4.5,"formare_continua"
"EL",2018,4.5,"formare_continua"
"EL",2019,3.9,"formare_continua"
"EL",2020,4.1,"formare_continua"
"EL",2021,3.5,"formare_continua"
"EL",2022,3.5,"formare_continua"
"EL",2023,3.4,"formare_continua"
"EL",2024,4.4,"formare_continua"
"ES",2010,11.2,"formare_continua"
"ES",2011,11.2,"formare_continua"
"ES",2012,11.2,"formare_continua"
"ES",2013,11.4,"formare_continua"
"ES",2014,10.1,"formare_continua"
"ES",2015,9.9,"formare_continua"
"ES",2016,9.4,"formare_continua"
"ES",2017,9.9,"formare_continua"
"ES",2018,10.5,"formare_continua"
"ES",2019,10.6,"formare_continua"
"ES",2020,11,"formare_continua"
"ES",2021,14.3,"formare_continua"
"ES",2022,15.2,"formare_continua"
"ES",2023,15.8,"formare_continua"
"ES",2024,16,"formare_continua"
"FI",2010,23,"formare_continua"
"FI",2011,23.8,"formare_continua"
"FI",2012,24.5,"formare_continua"
"FI",2013,24.9,"formare_continua"
"FI",2014,25.1,"formare_continua"
"FI",2015,25.4,"formare_continua"
"FI",2016,26.4,"formare_continua"
"FI",2017,27.4,"formare_continua"
"FI",2018,28.5,"formare_continua"
"FI",2019,29,"formare_continua"
"FI",2020,27.3,"formare_continua"
"FI",2021,30.5,"formare_continua"
"FI",2022,25.2,"formare_continua"
"FI",2023,26.1,"formare_continua"
"FI",2024,29.1,"formare_continua"
"FR",2010,5,"formare_continua"
"FR",2011,5.5,"formare_continua"
"FR",2012,5.7,"formare_continua"
"FR",2013,17.8,"formare_continua"
"FR",2014,18.4,"formare_continua"
"FR",2015,18.6,"formare_continua"
"FR",2016,18.8,"formare_continua"
"FR",2017,18.7,"formare_continua"
"FR",2018,18.6,"formare_continua"
"FR",2019,19.5,"formare_continua"
"FR",2020,13,"formare_continua"
"FR",2021,11,"formare_continua"
"FR",2022,13.3,"formare_continua"
"FR",2023,14.9,"formare_continua"
"FR",2024,15.1,"formare_continua"
"HR",2010,3,"formare_continua"
"HR",2011,3.1,"formare_continua"
"HR",2012,3.4,"formare_continua"
"HR",2013,3.3,"formare_continua"
"HR",2014,2.8,"formare_continua"
"HR",2015,3.2,"formare_continua"
"HR",2016,3,"formare_continua"
"HR",2017,2.3,"formare_continua"
"HR",2018,2.7,"formare_continua"
"HR",2019,3.5,"formare_continua"
"HR",2020,3.2,"formare_continua"
"HR",2021,5.3,"formare_continua"
"HR",2022,4.9,"formare_continua"
"HR",2023,6.4,"formare_continua"
"HR",2024,6.6,"formare_continua"
"HU",2010,3,"formare_continua"
"HU",2011,3,"formare_continua"
"HU",2012,2.9,"formare_continua"
"HU",2013,3.2,"formare_continua"
"HU",2014,3.3,"formare_continua"
"HU",2015,7.1,"formare_continua"
"HU",2016,6.3,"formare_continua"
"HU",2017,6.2,"formare_continua"
"HU",2018,6,"formare_continua"
"HU",2019,5.8,"formare_continua"
"HU",2020,5,"formare_continua"
"HU",2021,5.9,"formare_continua"
"HU",2022,8,"formare_continua"
"HU",2023,9.5,"formare_continua"
"HU",2024,11.8,"formare_continua"
"IT",2010,6.2,"formare_continua"
"IT",2011,5.7,"formare_continua"
"IT",2012,6.6,"formare_continua"
"IT",2013,6.2,"formare_continua"
"IT",2014,8.1,"formare_continua"
"IT",2015,7.3,"formare_continua"
"IT",2016,8.3,"formare_continua"
"IT",2017,7.9,"formare_continua"
"IT",2018,8.1,"formare_continua"
"IT",2019,8.1,"formare_continua"
"IT",2020,7.1,"formare_continua"
"IT",2021,9.9,"formare_continua"
"IT",2022,9.6,"formare_continua"
"IT",2023,11.6,"formare_continua"
"IT",2024,10.4,"formare_continua"
"LT",2010,4.4,"formare_continua"
"LT",2011,6,"formare_continua"
"LT",2012,5.4,"formare_continua"
"LT",2013,5.9,"formare_continua"
"LT",2014,5.1,"formare_continua"
"LT",2015,5.8,"formare_continua"
"LT",2016,6,"formare_continua"
"LT",2017,5.9,"formare_continua"
"LT",2018,6.6,"formare_continua"
"LT",2019,7,"formare_continua"
"LT",2020,7.2,"formare_continua"
"LT",2021,8.5,"formare_continua"
"LT",2022,8.5,"formare_continua"
"LT",2023,10.7,"formare_continua"
"LT",2024,9.8,"formare_continua"
"LU",2010,13.5,"formare_continua"
"LU",2011,13.9,"formare_continua"
"LU",2012,14.2,"formare_continua"
"LU",2013,14.6,"formare_continua"
"LU",2014,14.5,"formare_continua"
"LU",2015,18,"formare_continua"
"LU",2016,16.8,"formare_continua"
"LU",2017,17.2,"formare_continua"
"LU",2018,18,"formare_continua"
"LU",2019,19.1,"formare_continua"
"LU",2020,16.3,"formare_continua"
"LU",2021,17.9,"formare_continua"
"LU",2022,18.1,"formare_continua"
"LU",2023,16.2,"formare_continua"
"LU",2024,17.4,"formare_continua"
"LV",2010,5.4,"formare_continua"
"LV",2011,5.4,"formare_continua"
"LV",2012,7.2,"formare_continua"
"LV",2013,6.8,"formare_continua"
"LV",2014,5.6,"formare_continua"
"LV",2015,5.7,"formare_continua"
"LV",2016,7.3,"formare_continua"
"LV",2017,7.5,"formare_continua"
"LV",2018,6.7,"formare_continua"
"LV",2019,7.4,"formare_continua"
"LV",2020,6.6,"formare_continua"
"LV",2021,8.6,"formare_continua"
"LV",2022,9.7,"formare_continua"
"LV",2023,10.7,"formare_continua"
"LV",2024,11,"formare_continua"
"NL",2010,17,"formare_continua"
"NL",2011,17.1,"formare_continua"
"NL",2012,16.9,"formare_continua"
"NL",2013,17.9,"formare_continua"
"NL",2014,18.3,"formare_continua"
"NL",2015,18.9,"formare_continua"
"NL",2016,18.8,"formare_continua"
"NL",2017,19.1,"formare_continua"
"NL",2018,19.1,"formare_continua"
"NL",2019,19.5,"formare_continua"
"NL",2020,18.8,"formare_continua"
"NL",2021,26.6,"formare_continua"
"NL",2022,26.4,"formare_continua"
"NL",2023,26.4,"formare_continua"
"NL",2024,26.5,"formare_continua"
"NO",2010,18.2,"formare_continua"
"NO",2011,18.6,"formare_continua"
"NO",2012,20.4,"formare_continua"
"NO",2013,20.8,"formare_continua"
"NO",2014,20.1,"formare_continua"
"NO",2015,20.1,"formare_continua"
"NO",2016,19.6,"formare_continua"
"NO",2017,19.9,"formare_continua"
"NO",2018,19.7,"formare_continua"
"NO",2019,19.3,"formare_continua"
"NO",2020,16.4,"formare_continua"
"NO",2021,19.5,"formare_continua"
"NO",2022,21.1,"formare_continua"
"NO",2023,22.1,"formare_continua"
"NO",2024,22.3,"formare_continua"
"PL",2010,5.2,"formare_continua"
"PL",2011,4.4,"formare_continua"
"PL",2012,4.5,"formare_continua"
"PL",2013,4.3,"formare_continua"
"PL",2014,4,"formare_continua"
"PL",2015,3.5,"formare_continua"
"PL",2016,3.7,"formare_continua"
"PL",2017,4,"formare_continua"
"PL",2018,5.7,"formare_continua"
"PL",2019,4.9,"formare_continua"
"PL",2020,3.8,"formare_continua"
"PL",2021,5.6,"formare_continua"
"PL",2022,7.8,"formare_continua"
"PL",2023,8.7,"formare_continua"
"PL",2024,10,"formare_continua"
"PT",2010,5.7,"formare_continua"
"PT",2011,11.4,"formare_continua"
"PT",2012,10.4,"formare_continua"
"PT",2013,9.7,"formare_continua"
"PT",2014,9.6,"formare_continua"
"PT",2015,9.8,"formare_continua"
"PT",2016,9.6,"formare_continua"
"PT",2017,9.8,"formare_continua"
"PT",2018,10.3,"formare_continua"
"PT",2019,10.5,"formare_continua"
"PT",2020,9.9,"formare_continua"
"PT",2021,12.5,"formare_continua"
"PT",2022,13.4,"formare_continua"
"PT",2023,13.3,"formare_continua"
"PT",2024,16.1,"formare_continua"
"RO",2010,1.4,"formare_continua"
"RO",2011,1.6,"formare_continua"
"RO",2012,1.4,"formare_continua"
"RO",2013,2,"formare_continua"
"RO",2014,1.5,"formare_continua"
"RO",2015,1.3,"formare_continua"
"RO",2016,1.2,"formare_continua"
"RO",2017,1.1,"formare_continua"
"RO",2018,0.9,"formare_continua"
"RO",2019,1.3,"formare_continua"
"RO",2020,1,"formare_continua"
"RO",2021,4.9,"formare_continua"
"RO",2022,5.4,"formare_continua"
"RO",2023,6.7,"formare_continua"
"RO",2024,8.9,"formare_continua"
"SE",2010,24.7,"formare_continua"
"SE",2011,25.3,"formare_continua"
"SE",2012,27,"formare_continua"
"SE",2013,28.4,"formare_continua"
"SE",2014,29.2,"formare_continua"
"SE",2015,29.4,"formare_continua"
"SE",2016,29.6,"formare_continua"
"SE",2017,30.4,"formare_continua"
"SE",2018,31.4,"formare_continua"
"SE",2019,34.3,"formare_continua"
"SE",2020,28.6,"formare_continua"
"SE",2021,34.7,"formare_continua"
"SE",2022,36.2,"formare_continua"
"SE",2023,38.8,"formare_continua"
"SE",2024,37.5,"formare_continua"
"SI",2010,16.4,"formare_continua"
"SI",2011,16,"formare_continua"
"SI",2012,13.8,"formare_continua"
"SI",2013,12.5,"formare_continua"
"SI",2014,12.1,"formare_continua"
"SI",2015,11.9,"formare_continua"
"SI",2016,11.6,"formare_continua"
"SI",2017,12,"formare_continua"
"SI",2018,11.4,"formare_continua"
"SI",2019,11.2,"formare_continua"
"SI",2020,8.4,"formare_continua"
"SI",2021,18.9,"formare_continua"
"SI",2022,22.3,"formare_continua"
"SI",2023,19.9,"formare_continua"
"SI",2024,23.1,"formare_continua"
"SK",2010,3.1,"formare_continua"
"SK",2011,4.1,"formare_continua"
"SK",2012,3.2,"formare_continua"
"SK",2013,3.1,"formare_continua"
"SK",2014,3.1,"formare_continua"
"SK",2015,3.1,"formare_continua"
"SK",2016,2.9,"formare_continua"
"SK",2017,3.4,"formare_continua"
"SK",2018,4,"formare_continua"
"SK",2019,3.6,"formare_continua"
"SK",2020,2.8,"formare_continua"
"SK",2021,4.8,"formare_continua"
"SK",2022,12.8,"formare_continua"
"SK",2023,10.5,"formare_continua"
"SK",2024,12.8,"formare_continua"
