"cod_tara","an","valoare","indicator"
"AT",2010,1.5,"productivitatea_muncii"
"AT",2011,1,"productivitatea_muncii"
"AT",2012,1.1,"productivitatea_muncii"
"AT",2013,0.2,"productivitatea_muncii"
"AT",2014,0.3,"productivitatea_muncii"
"AT",2015,2.1,"productivitatea_muncii"
"AT",2016,0,"productivitatea_muncii"
"AT",2017,1.3,"productivitatea_muncii"
"AT",2018,0.4,"productivitatea_muncii"
"AT",2019,0.1,"productivitatea_muncii"
"AT",2020,2.7,"productivitatea_muncii"
"AT",2021,0,"productivitatea_muncii"
"AT",2022,2.7,"productivitatea_muncii"
"AT",2023,-1.4,"productivitatea_muncii"
"AT",2024,-0.8,"productivitatea_muncii"
"BE",2010,1.1,"productivitatea_muncii"
"BE",2011,-0.4,"productivitatea_muncii"
"BE",2012,0.1,"productivitatea_muncii"
"BE",2013,0.6,"productivitatea_muncii"
"BE",2014,1.6,"productivitatea_muncii"
"BE",2015,1,"productivitatea_muncii"
"BE",2016,-0.1,"productivitatea_muncii"
"BE",2017,-0.2,"productivitatea_muncii"
"BE",2018,0.2,"productivitatea_muncii"
"BE",2019,0.9,"productivitatea_muncii"
"BE",2020,3.7,"productivitatea_muncii"
"BE",2021,-1.7,"productivitatea_muncii"
"BE",2022,-0.5,"productivitatea_muncii"
"BE",2023,0.7,"productivitatea_muncii"
"BE",2024,1.4,"productivitatea_muncii"
"BG",2010,5.7,"productivitatea_muncii"
"BG",2011,4.5,"productivitatea_muncii"
"BG",2012,3.3,"productivitatea_muncii"
"BG",2013,-0.1,"productivitatea_muncii"
"BG",2014,0.6,"productivitatea_muncii"
"BG",2015,3,"productivitatea_muncii"
"BG",2016,2.6,"productivitatea_muncii"
"BG",2017,1,"productivitatea_muncii"
"BG",2018,2.4,"productivitatea_muncii"
"BG",2019,5.2,"productivitatea_muncii"
"BG",2020,1,"productivitatea_muncii"
"BG",2021,7,"productivitatea_muncii"
"BG",2022,3.1,"productivitatea_muncii"
"BG",2023,-1.8,"productivitatea_muncii"
"BG",2024,4.4,"productivitatea_muncii"
"CZ",2010,2.7,"productivitatea_muncii"
"CZ",2011,1.9,"productivitatea_muncii"
"CZ",2012,0.4,"productivitatea_muncii"
"CZ",2013,0.3,"productivitatea_muncii"
"CZ",2014,1.1,"productivitatea_muncii"
"CZ",2015,4.8,"productivitatea_muncii"
"CZ",2016,0.2,"productivitatea_muncii"
"CZ",2017,3.6,"productivitatea_muncii"
"CZ",2018,1.2,"productivitatea_muncii"
"CZ",2019,3.7,"productivitatea_muncii"
"CZ",2020,3.3,"productivitatea_muncii"
"CZ",2021,0.1,"productivitatea_muncii"
"CZ",2022,-1.5,"productivitatea_muncii"
