"country_code","year","value","indicator"
"AT",2010,25770.16,"annual_revenue"
"AT",2011,26375.67,"annual_revenue"
"AT",2012,26893.06,"annual_revenue"
"AT",2013,27520.54,"annual_revenue"
"AT",2014,27965.34,"annual_revenue"
"AT",2015,28524.14,"annual_revenue"
"AT",2016,30601.53,"annual_revenue"
"AT",2017,31083.14,"annual_revenue"
"AT",2018,31640.93,"annual_revenue"
"AT",2019,32325.12,"annual_revenue"
"AT",2020,33032.37,"annual_revenue"
"AT",2021,33712.2,"annual_revenue"
"AT",2022,36075.61,"annual_revenue"
"AT",2023,38375.91,"annual_revenue"
"AT",2024,41747.41,"annual_revenue"
"BE",2010,24873.45,"annual_revenue"
"BE",2011,25519.86,"annual_revenue"
"BE",2012,26287.51,"annual_revenue"
"BE",2013,26609.37,"annual_revenue"
"BE",2014,26775.94,"annual_revenue"
"BE",2015,26953.59,"annual_revenue"
"BE",2016,27574.37,"annual_revenue"
"BE",2017,28238.77,"annual_revenue"
"BE",2018,29240.96,"annual_revenue"
"BE",2019,30188.71,"annual_revenue"
"BE",2020,30539.81,"annual_revenue"
"BE",2021,31063.95,"annual_revenue"
"BE",2022,32889.21,"annual_revenue"
"BE",2023,35438.98,"annual_revenue"
"BE",2024,36672.38,"annual_revenue"
"BG",2010,6263.14,"annual_revenue"
"BG",2011,6642.77,"annual_revenue"
"BG",2012,7037.85,"annual_revenue"
"BG",2013,7428.24,"annual_revenue"
"BG",2014,7889.17,"annual_revenue"
"BG",2015,8486.5,"annual_revenue"
"BG",2016,9170.85,"annual_revenue"
"BG",2017,10038.61,"annual_revenue"
"BG",2018,10653.43,"annual_revenue"
"BG",2019,11916.72,"annual_revenue"
"BG",2020,12933.26,"annual_revenue"
"BG",2021,14583.77,"annual_revenue"
"BG",2022,16759.62,"annual_revenue"
"BG",2023,19343.63,"annual_revenue"
"BG",2024,21658.33,"annual_revenue"
"CZ",2010,8832.96,"annual_revenue"
"CZ",2011,9257.22,"annual_revenue"
"CZ",2012,9311.44,"annual_revenue"
"CZ",2013,8973.79,"annual_revenue"
"CZ",2014,8694.95,"annual_revenue"
"CZ",2015,9017.25,"annual_revenue"
"CZ",2016,9446.75,"annual_revenue"
"CZ",2017,10263.3,"annual_revenue"
"CZ",2018,11256.33,"annual_revenue"
"CZ",2019,11992.68,"annual_revenue"
"CZ",2020,11974.4,"annual_revenue"
"CZ",2021,13969.74,"annual_revenue"
"CZ",2022,15703.05,"annual_revenue"
"CZ",2023,17265.6,"annual_revenue"
"CZ",2024,17290.99,"annual_revenue"
"DE",2010,25374.06,"annual_revenue"
"DE",2011,26088.04,"annual_revenue"
"DE",2012,26729.62,"annual_revenue"
"DE",2013,27171.02,"annual_revenue"
"DE",2014,27791.42,"annual_revenue"
"DE",2015,28410.71,"annual_revenue"
"DE",2016,28986.32,"annual_revenue"
"DE",2017,29468.63,"annual_revenue"
"DE",2018,30419.87,"annual_revenue"
"DE",2019,31486.26,"annual_revenue"
"DE",2020,31292.95,"annual_revenue"
"DE",2021,32850.2,"annual_revenue"
"DE",2022,35596.73,"annual_revenue"
"DE",2023,37908.41,"annual_revenue"
"DE",2024,39594.13,"annual_revenue"
"DK",2010,32349.16,"annual_revenue"
"DK",2011,33153.43,"annual_revenue"
"DK",2012,33617.32,"annual_revenue"
"DK",2013,33873.44,"annual_revenue"
"DK",2014,34330.38,"annual_revenue"
"DK",2015,34689.46,"annual_revenue"
"DK",2016,35021.65,"annual_revenue"
"DK",2017,35558.92,"annual_revenue"
"DK",2018,36307.24,"annual_revenue"
"DK",2019,37133.59,"annual_revenue"
"DK",2020,37878.85,"annual_revenue"
"DK",2021,39315.61,"annual_revenue"
"DK",2022,40710.04,"annual_revenue"
"DK",2023,42357.77,"annual_revenue"
"DK",2024,43912.73,"annual_revenue"
"EE",2010,7820.19,"annual_revenue"
"EE",2011,8324.26,"annual_revenue"
