"country_code","year","value","indicator"
"AT",2010,765.4,"employment_superior_education"
"AT",2011,779.6,"employment_superior_education"
"AT",2012,818.1,"employment_superior_education"
"AT",2013,850,"employment_superior_education"
"AT",2014,1292.6,"employment_superior_education"
"AT",2015,1337.4,"employment_superior_education"
"AT",2016,1404.2,"employment_superior_education"
"AT",2017,1455.7,"employment_superior_education"
"AT",2018,1473.3,"employment_superior_education"
"AT",2019,1528.1,"employment_superior_education"
"AT",2020,1540.5,"employment_superior_education"
"AT",2021,1569.9,"employment_superior_education"
"AT",2022,1637.6,"employment_superior_education"
"AT",2023,1700.3,"employment_superior_education"
"AT",2024,1729.7,"employment_superior_education"
"BE",2010,1805.1,"employment_superior_education"
"BE",2011,1800.6,"employment_superior_education"
"BE",2012,1849.7,"employment_superior_education"
"BE",2013,1852.8,"employment_superior_education"
"BE",2014,1943.4,"employment_superior_education"
"BE",2015,1945.4,"employment_superior_education"
"BE",2016,1988.6,"employment_superior_education"
"BE",2017,2127.6,"employment_superior_education"
"BE",2018,2186.5,"employment_superior_education"
"BE",2019,2205.9,"employment_superior_education"
"BE",2020,2298.4,"employment_superior_education"
"BE",2021,2448.6,"employment_superior_education"
"BE",2022,2528,"employment_superior_education"
"BE",2023,2494.4,"employment_superior_education"
"BE",2024,2491.9,"employment_superior_education"
"BG",2010,829.6,"employment_superior_education"
"BG",2011,817.2,"employment_superior_education"
"BG",2012,825.2,"employment_superior_education"
"BG",2013,870,"employment_superior_education"
"BG",2014,925.4,"employment_superior_education"
"BG",2015,956.8,"employment_superior_education"
"BG",2016,956.3,"employment_superior_education"
"BG",2017,964,"employment_superior_education"
"BG",2018,968.8,"employment_superior_education"
"BG",2019,912,"employment_superior_education"
"BG",2020,929.6,"employment_superior_education"
"BG",2021,942.3,"employment_superior_education"
"BG",2022,948.8,"employment_superior_education"
"BG",2023,960.1,"employment_superior_education"
"BG",2024,1058.2,"employment_superior_education"
"CZ",2010,871.7,"employment_superior_education"
"CZ",2011,937.1,"employment_superior_education"
"CZ",2012,996,"employment_superior_education"
"CZ",2013,1070.9,"employment_superior_education"
"CZ",2014,1112.1,"employment_superior_education"
"CZ",2015,1147.3,"employment_superior_education"
"CZ",2016,1194.9,"employment_superior_education"
"CZ",2017,1246.4,"employment_superior_education"
"CZ",2018,1275.7,"employment_superior_education"
"CZ",2019,1254.7,"employment_superior_education"
"CZ",2020,1265.8,"employment_superior_education"
"CZ",2021,1352.6,"employment_superior_education"
"CZ",2022,1349,"employment_superior_education"
"CZ",2023,1322.9,"employment_superior_education"
"CZ",2024,1378.4,"employment_superior_education"
"DE",2010,10291.7,"employment_superior_education"
"DE",2011,10823.6,"employment_superior_education"
"DE",2012,11119.3,"employment_superior_education"
"DE",2013,11284.6,"employment_superior_education"
"DE",2014,10728.7,"employment_superior_education"
"DE",2015,11039.5,"employment_superior_education"
"DE",2016,11524,"employment_superior_education"
"DE",2017,11697.6,"employment_superior_education"
"DE",2018,11880.5,"employment_superior_education"
"DE",2019,12325.3,"employment_superior_education"
"DE",2020,12556.5,"employment_superior_education"
"DE",2021,12882.5,"employment_superior_education"
"DE",2022,13062.6,"employment_superior_education"
"DE",2023,13410.1,"employment_superior_education"
"DE",2024,13598.2,"employment_superior_education"
"DK",2010,821.5,"employment_superior_education"
"DK",2011,835,"employment_superior_education"
"DK",2012,854.2,"employment_superior_education"
"DK",2013,865.3,"employment_superior_education"
