"country_code","year","value","indicator"
"AT",2010,4.9,"unemployment_rate"
"AT",2011,4.6,"unemployment_rate"
"AT",2012,5,"unemployment_rate"
"AT",2013,5.5,"unemployment_rate"
"AT",2014,5.9,"unemployment_rate"
"AT",2015,6,"unemployment_rate"
"AT",2016,6.2,"unemployment_rate"
"AT",2017,5.7,"unemployment_rate"
"AT",2018,5,"unemployment_rate"
"AT",2019,4.7,"unemployment_rate"
"AT",2020,5.9,"unemployment_rate"
"AT",2021,6,"unemployment_rate"
"AT",2022,4.5,"unemployment_rate"
"AT",2023,4.8,"unemployment_rate"
"AT",2024,4.9,"unemployment_rate"
"BE",2010,8.1,"unemployment_rate"
"BE",2011,7,"unemployment_rate"
"BE",2012,7.4,"unemployment_rate"
"BE",2013,8.4,"unemployment_rate"
"BE",2014,8.5,"unemployment_rate"
"BE",2015,8.5,"unemployment_rate"
"BE",2016,7.8,"unemployment_rate"
"BE",2017,7.1,"unemployment_rate"
"BE",2018,5.9,"unemployment_rate"
"BE",2019,5.3,"unemployment_rate"
"BE",2020,5.6,"unemployment_rate"
"BE",2021,6,"unemployment_rate"
"BE",2022,5.3,"unemployment_rate"
"BE",2023,5.3,"unemployment_rate"
"BE",2024,5.4,"unemployment_rate"
"BG",2010,11.1,"unemployment_rate"
"BG",2011,12,"unemployment_rate"
"BG",2012,13,"unemployment_rate"
"BG",2013,13.7,"unemployment_rate"
"BG",2014,12.3,"unemployment_rate"
"BG",2015,10.1,"unemployment_rate"
"BG",2016,8.6,"unemployment_rate"
"BG",2017,7.1,"unemployment_rate"
"BG",2018,6.2,"unemployment_rate"
"BG",2019,5.3,"unemployment_rate"
"BG",2020,6.1,"unemployment_rate"
"BG",2021,5.1,"unemployment_rate"
"BG",2022,4.1,"unemployment_rate"
"BG",2023,4.3,"unemployment_rate"
"BG",2024,4.1,"unemployment_rate"
"CZ",2010,7.1,"unemployment_rate"
"CZ",2011,6.5,"unemployment_rate"
"CZ",2012,6.8,"unemployment_rate"
"CZ",2013,6.8,"unemployment_rate"
"CZ",2014,6,"unemployment_rate"
"CZ",2015,5,"unemployment_rate"
"CZ",2016,3.9,"unemployment_rate"
"CZ",2017,2.8,"unemployment_rate"
"CZ",2018,2.2,"unemployment_rate"
"CZ",2019,2,"unemployment_rate"
"CZ",2020,2.5,"unemployment_rate"
"CZ",2021,2.8,"unemployment_rate"
"CZ",2022,2.2,"unemployment_rate"
"CZ",2023,2.5,"unemployment_rate"
"CZ",2024,2.5,"unemployment_rate"
"DE",2010,6.5,"unemployment_rate"
"DE",2011,5.4,"unemployment_rate"
"DE",2012,5,"unemployment_rate"
"DE",2013,4.9,"unemployment_rate"
"DE",2014,4.7,"unemployment_rate"
"DE",2015,4.3,"unemployment_rate"
"DE",2016,3.8,"unemployment_rate"
"DE",2017,3.5,"unemployment_rate"
"DE",2018,3.1,"unemployment_rate"
"DE",2019,2.9,"unemployment_rate"
"DE",2020,3.5,"unemployment_rate"
"DE",2021,3.5,"unemployment_rate"
"DE",2022,3.1,"unemployment_rate"
"DE",2023,3,"unemployment_rate"
"DE",2024,3.4,"unemployment_rate"
"DK",2010,7.1,"unemployment_rate"
"DK",2011,7,"unemployment_rate"
"DK",2012,7.2,"unemployment_rate"
"DK",2013,6.9,"unemployment_rate"
"DK",2014,6.5,"unemployment_rate"
"DK",2015,6,"unemployment_rate"
"DK",2016,5.6,"unemployment_rate"
"DK",2017,5.3,"unemployment_rate"
"DK",2018,4.8,"unemployment_rate"
"DK",2019,4.7,"unemployment_rate"
"DK",2020,5.2,"unemployment_rate"
"DK",2021,4.7,"unemployment_rate"
"DK",2022,4.1,"unemployment_rate"
"DK",2023,4.7,"unemployment_rate"
"DK",2024,5.5,"unemployment_rate"
"EE",2010,16.5,"unemployment_rate"
"EE",2011,12.1,"unemployment_rate"
"EE",2012,9.8,"unemployment_rate"
"EE",2013,8.6,"unemployment_rate"
"EE",2014,7.3,"unemployment_rate"
"EE",2015,6.3,"unemployment_rate"
"EE",2016,6.8,"unemployment_rate"
"EE",2017,5.7,"unemployment_rate"
"EE",2018,5.2,"unemployment_rate"
"EE",2019,4.4,"unemployment_rate"
"EE",2020,6.8,"unemployment_rate"
"EE",2021,6.1,"unemployment_rate"
"EE",2022,5.5,"unemployment_rate"
"EE",2023,6.2,"unemployment_rate"
"EE",2024,7.4,"unemployment_rate"
"EL",2010,12.9,"unemployment_rate"
"EL",2011,18,"unemployment_rate"
"EL",2012,24.6,"unemployment_rate"
"EL",2013,27.6,"unemployment_rate"
"EL",2014,26.5,"unemployment_rate"
"EL",2015,24.9,"unemployment_rate"
"EL",2016,23.8,"unemployment_rate"
"EL",2017,21.8,"unemployment_rate"
"EL",2018,19.7,"unemployment_rate"
"EL",2019,17.9,"unemployment_rate"
"EL",2020,17.7,"unemployment_rate"
"EL",2021,14.7,"unemployment_rate"
"EL",2022,12.3,"unemployment_rate"
"EL",2023,11,"unemployment_rate"
"EL",2024,10,"unemployment_rate"
"ES",2010,19.3,"unemployment_rate"
"ES",2011,20.9,"unemployment_rate"
"ES",2012,24.3,"unemployment_rate"
"ES",2013,25.6,"unemployment_rate"
"ES",2014,24.1,"unemployment_rate"
"ES",2015,21.7,"unemployment_rate"
"ES",2016,19.3,"unemployment_rate"
"ES",2017,16.9,"unemployment_rate"
"ES",2018,14.9,"unemployment_rate"
"ES",2019,13.8,"unemployment_rate"
"ES",2020,15.2,"unemployment_rate"
"ES",2021,14.6,"unemployment_rate"
"ES",2022,12.7,"unemployment_rate"
"ES",2023,11.9,"unemployment_rate"
"ES",2024,11,"unemployment_rate"
"FI",2010,7.8,"unemployment_rate"
"FI",2011,7.3,"unemployment_rate"
"FI",2012,7.1,"unemployment_rate"
"FI",2013,7.6,"unemployment_rate"
"FI",2014,8.1,"unemployment_rate"
"FI",2015,8.9,"unemployment_rate"
"FI",2016,8.3,"unemployment_rate"
"FI",2017,8.1,"unemployment_rate"
"FI",2018,6.9,"unemployment_rate"
"FI",2019,6.1,"unemployment_rate"
"FI",2020,7.1,"unemployment_rate"
"FI",2021,7.1,"unemployment_rate"
"FI",2022,6.3,"unemployment_rate"
"FI",2023,6.6,"unemployment_rate"
"FI",2024,7.8,"unemployment_rate"
"FR",2010,8.7,"unemployment_rate"
"FR",2011,8.7,"unemployment_rate"
"FR",2012,9.3,"unemployment_rate"
"FR",2013,9.8,"unemployment_rate"
"FR",2014,9.8,"unemployment_rate"
"FR",2015,9.9,"unemployment_rate"
"FR",2016,9.6,"unemployment_rate"
"FR",2017,9,"unemployment_rate"
"FR",2018,8.7,"unemployment_rate"
"FR",2019,8.1,"unemployment_rate"
"FR",2020,7.6,"unemployment_rate"
"FR",2021,7.5,"unemployment_rate"
"FR",2022,6.9,"unemployment_rate"
"FR",2023,7,"unemployment_rate"
"FR",2024,7,"unemployment_rate"
"HU",2010,10.7,"unemployment_rate"
"HU",2011,10.6,"unemployment_rate"
"HU",2012,10.5,"unemployment_rate"
"HU",2013,9.7,"unemployment_rate"
"HU",2014,7.4,"unemployment_rate"
"HU",2015,6.5,"unemployment_rate"
"HU",2016,4.8,"unemployment_rate"
"HU",2017,3.9,"unemployment_rate"
"HU",2018,3.5,"unemployment_rate"
"HU",2019,3.2,"unemployment_rate"
"HU",2020,4,"unemployment_rate"
"HU",2021,3.9,"unemployment_rate"
"HU",2022,3.5,"unemployment_rate"
"HU",2023,4,"unemployment_rate"
"HU",2024,4.3,"unemployment_rate"
"IT",2010,8.2,"unemployment_rate"
"IT",2011,8.3,"unemployment_rate"
"IT",2012,10.6,"unemployment_rate"
"IT",2013,12.1,"unemployment_rate"
"IT",2014,12.6,"unemployment_rate"
"IT",2015,11.8,"unemployment_rate"
"IT",2016,11.6,"unemployment_rate"
"IT",2017,11.1,"unemployment_rate"
"IT",2018,10.4,"unemployment_rate"
"IT",2019,9.8,"unemployment_rate"
"IT",2020,9.3,"unemployment_rate"
"IT",2021,9.4,"unemployment_rate"
"IT",2022,8,"unemployment_rate"
"IT",2023,7.6,"unemployment_rate"
"IT",2024,6.4,"unemployment_rate"
"LT",2010,17.8,"unemployment_rate"
"LT",2011,15.4,"unemployment_rate"
"LT",2012,13.5,"unemployment_rate"
"LT",2013,11.9,"unemployment_rate"
"LT",2014,10.8,"unemployment_rate"
"LT",2015,9.2,"unemployment_rate"
"LT",2016,8,"unemployment_rate"
"LT",2017,7.2,"unemployment_rate"
"LT",2018,6.3,"unemployment_rate"
"LT",2019,6.4,"unemployment_rate"
"LT",2020,8.7,"unemployment_rate"
"LT",2021,7.3,"unemployment_rate"
"LT",2022,6.1,"unemployment_rate"
"LT",2023,7,"unemployment_rate"
"LT",2024,7.2,"unemployment_rate"
"LU",2010,4.2,"unemployment_rate"
"LU",2011,4.8,"unemployment_rate"
"LU",2012,5,"unemployment_rate"
"LU",2013,5.7,"unemployment_rate"
"LU",2014,5.6,"unemployment_rate"
"LU",2015,6.3,"unemployment_rate"
"LU",2016,5.9,"unemployment_rate"
"LU",2017,5.3,"unemployment_rate"
"LU",2018,5.3,"unemployment_rate"
"LU",2019,5.3,"unemployment_rate"
"LU",2020,6.5,"unemployment_rate"
"LU",2021,4.8,"unemployment_rate"
"LU",2022,4.1,"unemployment_rate"
"LU",2023,4.6,"unemployment_rate"
"LU",2024,5.8,"unemployment_rate"
"LV",2010,19.4,"unemployment_rate"
"LV",2011,16.2,"unemployment_rate"
"LV",2012,15,"unemployment_rate"
"LV",2013,11.9,"unemployment_rate"
"LV",2014,11,"unemployment_rate"
"LV",2015,9.9,"unemployment_rate"
"LV",2016,9.9,"unemployment_rate"
"LV",2017,8.8,"unemployment_rate"
"LV",2018,7.6,"unemployment_rate"
"LV",2019,6.4,"unemployment_rate"
"LV",2020,8.3,"unemployment_rate"
"LV",2021,7.7,"unemployment_rate"
"LV",2022,6.9,"unemployment_rate"
"LV",2023,6.7,"unemployment_rate"
"LV",2024,7.1,"unemployment_rate"
"NL",2010,5.3,"unemployment_rate"
"NL",2011,5.3,"unemployment_rate"
"NL",2012,6,"unemployment_rate"
"NL",2013,7.5,"unemployment_rate"
"NL",2014,7.7,"unemployment_rate"
"NL",2015,7.2,"unemployment_rate"
"NL",2016,6.3,"unemployment_rate"
"NL",2017,5.2,"unemployment_rate"
"NL",2018,4.3,"unemployment_rate"
"NL",2019,3.9,"unemployment_rate"
"NL",2020,4.2,"unemployment_rate"
"NL",2021,3.5,"unemployment_rate"
"NL",2022,2.9,"unemployment_rate"
"NL",2023,2.9,"unemployment_rate"
"NL",2024,3,"unemployment_rate"
"NO",2010,3.4,"unemployment_rate"
"NO",2011,3,"unemployment_rate"
"NO",2012,3,"unemployment_rate"
"NO",2013,3.4,"unemployment_rate"
"NO",2014,3.4,"unemployment_rate"
"NO",2015,4.2,"unemployment_rate"
"NO",2016,4.3,"unemployment_rate"
"NO",2017,3.8,"unemployment_rate"
"NO",2018,3.5,"unemployment_rate"
"NO",2019,3.3,"unemployment_rate"
"NO",2020,4.2,"unemployment_rate"
"NO",2021,3.7,"unemployment_rate"
"NO",2022,2.6,"unemployment_rate"
"NO",2023,2.8,"unemployment_rate"
"NO",2024,3.1,"unemployment_rate"
"PL",2010,9.8,"unemployment_rate"
"PL",2011,9.8,"unemployment_rate"
"PL",2012,10.2,"unemployment_rate"
"PL",2013,10.5,"unemployment_rate"
"PL",2014,9.1,"unemployment_rate"
"PL",2015,7.6,"unemployment_rate"
"PL",2016,6.1,"unemployment_rate"
"PL",2017,4.9,"unemployment_rate"
"PL",2018,3.9,"unemployment_rate"
"PL",2019,3.2,"unemployment_rate"
"PL",2020,3.2,"unemployment_rate"
"PL",2021,3.4,"unemployment_rate"
"PL",2022,2.8,"unemployment_rate"
"PL",2023,2.8,"unemployment_rate"
"PL",2024,2.8,"unemployment_rate"
"PT",2010,12.1,"unemployment_rate"
"PT",2011,13.2,"unemployment_rate"
"PT",2012,16.2,"unemployment_rate"
"PT",2013,17,"unemployment_rate"
"PT",2014,14.3,"unemployment_rate"
"PT",2015,12.7,"unemployment_rate"
"PT",2016,11.4,"unemployment_rate"
"PT",2017,9,"unemployment_rate"
"PT",2018,7,"unemployment_rate"
"PT",2019,6.5,"unemployment_rate"
"PT",2020,7,"unemployment_rate"
"PT",2021,6.7,"unemployment_rate"
"PT",2022,6.1,"unemployment_rate"
"PT",2023,6.4,"unemployment_rate"
"PT",2024,6.3,"unemployment_rate"
"RO",2010,8.8,"unemployment_rate"
"RO",2011,8.8,"unemployment_rate"
"RO",2012,8.4,"unemployment_rate"
"RO",2013,8.7,"unemployment_rate"
"RO",2014,8.3,"unemployment_rate"
"RO",2015,8.1,"unemployment_rate"
"RO",2016,6.8,"unemployment_rate"
"RO",2017,5.8,"unemployment_rate"
"RO",2018,4.9,"unemployment_rate"
"RO",2019,4.5,"unemployment_rate"
"RO",2020,5.7,"unemployment_rate"
"RO",2021,5.3,"unemployment_rate"
"RO",2022,5.2,"unemployment_rate"
"RO",2023,5.2,"unemployment_rate"
