"country_code","test_statistic","critical_value","Cointregreation","recommended_model"
"AT",4.6591,9.24,"NO","Diferentiation"
"BE",5.4305,9.24,"NO","Diferentiation"
"BG",6.9188,9.24,"NO","Diferentiation"
"CZ",6.844,9.24,"NO","Diferentiation"
"DE",3.8823,9.24,"NO","Diferentiation"
"DK",8.4322,9.24,"NO","Diferentiation"
"EE",12.3823,9.24,"YES","Other models"
"EL",8.5241,9.24,"NO","Diferentiation"
"ES",6.189,9.24,"NO","Diferentiation"
"FI",6.1093,9.24,"NO","Diferentiation"
"FR",8.0114,9.24,"NO","Diferentiation"
"HU",4.5787,9.24,"NO","Diferentiation"
"IT",4.9017,9.24,"NO","Diferentiation"
"LT",3.78,9.24,"NO","Diferentiation"
"LU",5.0882,9.24,"NO","Diferentiation"
"LV",5.739,9.24,"NO","Diferentiation"
"NL",6.8455,9.24,"NO","Diferentiation"
"NO",8.7077,9.24,"NO","Diferentiation"
"PL",5.888,9.24,"NO","Diferentiation"
"PT",10.0977,9.24,"YES","Other models"
"RO",4.1618,9.24,"NO","Diferentiation"
"SE",3.2027,9.24,"NO","Diferentiation"
"SI",6.4564,9.24,"NO","Diferentiation"
"SK",6.459,9.24,"NO","Diferentiation"
