"country_code","term","estimate","std.error","statistic","p.value","is_valid","r_squared"
"AT","(Intercept)",0.0324,0.0088,3.6664,0.0037,"***",0.0866
"AT","d_r_n_d_expenses",-0.0115,0.0953,-0.1208,0.9061,"ns",0.0866
"AT","d_employment_rate",0.0101,0.012,0.8418,0.4178,"ns",0.0866
"BE","(Intercept)",0.0275,0.0076,3.6179,0.004,"***",0.2383
"BE","d_r_n_d_expenses",-0.0432,0.0458,-0.9413,0.3667,"ns",0.2383
"BE","d_employment_rate",0.0127,0.0094,1.3487,0.2045,"ns",0.2383
"BG","(Intercept)",0.0846,0.0098,8.624,0,"***",0.1395
"BG","d_r_n_d_expenses",-0.1047,0.1014,-1.0317,0.3243,"ns",0.1395
"BG","d_employment_rate",0.0064,0.006,1.0793,0.3036,"ns",0.1395
"CZ","(Intercept)",0.0474,0.0282,1.6821,0.1207,"ns",0.0782
"CZ","d_r_n_d_expenses",-0.1151,0.1353,-0.8512,0.4128,"ns",0.0782
"CZ","d_employment_rate",0.0056,0.0254,0.2193,0.8304,"ns",0.0782
"DE","(Intercept)",0.0266,0.0069,3.8373,0.0028,"***",0.2892
"DE","d_r_n_d_expenses",-0.0876,0.1119,-0.7829,0.4502,"ns",0.2892
"DE","d_employment_rate",0.0184,0.0087,2.1038,0.0592,"*",0.2892
"DK","(Intercept)",0.0203,0.004,5.1248,3e-04,"***",0.0366
"DK","d_r_n_d_expenses",0.0072,0.032,0.226,0.8253,"ns",0.0366
"DK","d_employment_rate",0.0039,0.0061,0.6456,0.5318,"ns",0.0366
"EE","(Intercept)",0.0572,0.007,8.2189,0,"***",0.1541
"EE","d_r_n_d_expenses",-0.0133,0.0209,-0.6337,0.5392,"ns",0.1541
"EE","d_employment_rate",0.0062,0.0044,1.3964,0.1901,"ns",0.1541
"EL","(Intercept)",0.0264,0.0121,2.1753,0.0523,"*",0.7156
"EL","d_r_n_d_expenses",-0.4567,0.1285,-3.5552,0.0045,"***",0.7156
"EL","d_employment_rate",0.0122,0.0036,3.4002,0.0059,"***",0.7156
"ES","(Intercept)",0.0128,0.0062,2.0687,0.0629,"*",0.369
"ES","d_r_n_d_expenses",-0.0869,0.1081,-0.8039,0.4385,"ns",0.369
"ES","d_employment_rate",0.0081,0.0038,2.1309,0.0565,"*",0.369
"FI","(Intercept)",0.0209,0.0027,7.7861,0,"***",0.2567
"FI","d_r_n_d_expenses",0.0373,0.0202,1.8455,0.092,"*",0.2567
"FI","d_employment_rate",0.002,0.0028,0.6944,0.5018,"ns",0.2567
"FR","(Intercept)",0.0133,0.0063,2.1044,0.0592,"*",0.4287
"FR","d_r_n_d_expenses",-0.2566,0.1872,-1.3706,0.1978,"ns",0.4287
"FR","d_employment_rate",0.0123,0.011,1.1145,0.2888,"ns",0.4287
"HU","(Intercept)",0.0725,0.024,3.0224,0.0116,"**",0.0639
"HU","d_r_n_d_expenses",-0.0658,0.126,-0.5223,0.6119,"ns",0.0639
"HU","d_employment_rate",-0.0097,0.0126,-0.7745,0.455,"ns",0.0639
"IT","(Intercept)",0.0222,0.004,5.5945,2e-04,"***",0.3708
"IT","d_r_n_d_expenses",-0.1758,0.0866,-2.0292,0.0673,"*",0.3708
"IT","d_employment_rate",-0.0083,0.004,-2.0936,0.0603,"*",0.3708
"LT","(Intercept)",0.0989,0.0095,10.4341,0,"***",0.414
"LT","d_r_n_d_expenses",-0.1181,0.082,-1.4412,0.1774,"ns",0.414
"LT","d_employment_rate",-0.0165,0.0062,-2.6444,0.0228,"**",0.414
"LU","(Intercept)",0.0217,0.0053,4.0535,0.0019,"***",0.0649
"LU","d_r_n_d_expenses",-0.0517,0.0815,-0.6344,0.5388,"ns",0.0649
"LU","d_employment_rate",0.0019,0.006,0.3139,0.7595,"ns",0.0649
"LV","(Intercept)",0.0883,0.0076,11.5896,0,"***",0.4293
"LV","d_r_n_d_expenses",0.044,0.0648,0.6782,0.5117,"ns",0.4293
"LV","d_employment_rate",-0.0149,0.0053,-2.7923,0.0175,"**",0.4293
"NL","(Intercept)",0.027,0.0097,2.787,0.0177,"**",0.0685
"NL","d_r_n_d_expenses",0.0661,0.0805,0.8217,0.4287,"ns",0.0685
"NL","d_employment_rate",0.0029,0.0104,0.2756,0.788,"ns",0.0685
"NO","(Intercept)",0.0105,0.0089,1.1834,0.2616,"ns",0.6421
"NO","d_r_n_d_expenses",-0.2066,0.0903,-2.2872,0.043,"**",0.6421
"NO","d_employment_rate",0.0106,0.0252,0.4196,0.6828,"ns",0.6421
"PL","(Intercept)",0.0781,0.0327,2.3903,0.0358,"**",0.0297
