"country_code","f_statistic","f_pvalue","r_squared","adj_r2","aic","bic","is_valid"
"AT",0.5212,0.6078,0.0866,-0.0795,-58.3993,-55.8431,"NO"
"BE",1.721,0.2237,0.2383,0.0999,-67.9229,-65.3667,"NO"
"BG",0.8919,0.4376,0.1395,-0.0169,-52.3445,-49.7883,"NO"
"CZ",0.4666,0.639,0.0782,-0.0894,-34.8336,-32.2774,"NO"
"DE",2.2383,0.1529,0.2892,0.16,-65.5064,-62.9502,"NO"
"DK",0.2088,0.8147,0.0366,-0.1386,-79.8446,-77.2884,"NO"
"EE",1.0018,0.3984,0.1541,3e-04,-65.871,-63.3147,"NO"
"EL",13.8365,0.001,0.7156,0.6638,-53.0733,-50.517,"YES"
"ES",3.216,0.0795,0.369,0.2542,-64.2763,-61.7201,"NO"
"FI",1.8999,0.1956,0.2567,0.1216,-86.7672,-84.2109,"NO"
"FR",4.1274,0.046,0.4287,0.3248,-70.9548,-68.3986,"YES"
"HU",0.3758,0.6953,0.0639,-0.1062,-37.9392,-35.383,"NO"
"IT",3.2411,0.0782,0.3708,0.2564,-79.2314,-76.6752,"NO"
"LT",3.885,0.0529,0.414,0.3074,-60.6534,-58.0971,"NO"
"LU",0.3818,0.6913,0.0649,-0.1051,-68.2727,-65.7165,"NO"
"LV",4.137,0.0457,0.4293,0.3255,-63.9477,-61.3914,"YES"
"NL",0.4046,0.6768,0.0685,-0.1008,-65.9583,-63.4021,"NO"
"NO",9.867,0.0035,0.6421,0.577,-51.2787,-48.7225,"YES"
"PL",0.1683,0.8472,0.0297,-0.1467,-34.9852,-32.4289,"NO"
"PT",0.9764,0.4071,0.1508,-0.0036,-47.3363,-44.78,"NO"
"RO",0.2531,0.7808,0.044,-0.1298,-38.922,-36.3658,"NO"
"SE",0.5548,0.5894,0.0916,-0.0735,-46.6806,-44.1243,"NO"
"SI",0.2589,0.7764,0.045,-0.1287,-58.1021,-55.5459,"NO"
"SK",0.6837,0.525,0.1106,-0.0512,-57.5011,-54.9449,"NO"
