"country_code","jb_statistic","jb_pvalue","are_normal"
"AT",2.4021,0.3009,"YES"
"BE",6.9898,0.0304,"NO"
"BG",1.3354,0.5129,"YES"
"CZ",0.6091,0.7375,"YES"
"DE",1.638,0.4409,"YES"
"DK",1.0084,0.604,"YES"
"EE",2.1467,0.3419,"YES"
"EL",1.0574,0.5894,"YES"
"ES",0.866,0.6486,"YES"
"FI",0.1625,0.922,"YES"
"FR",0.4457,0.8002,"YES"
"HU",0.7221,0.6969,"YES"
"IT",1.4172,0.4923,"YES"
"LT",1.5933,0.4508,"YES"
"LU",1.8403,0.3985,"YES"
"LV",1.0338,0.5964,"YES"
"NL",0.7709,0.6801,"YES"
"NO",0.4898,0.7828,"YES"
"PL",0.7638,0.6826,"YES"
"PT",1.1219,0.5707,"YES"
"RO",0.9752,0.6141,"YES"
"SE",0.5793,0.7485,"YES"
"SI",3.4864,0.175,"YES"
"SK",1.0571,0.5895,"YES"
