"country_code","dw_statistic","dw_pvalue","bg_statistic","bg_pvalue","autocorrelation"
"AT",1.0713,0.0473,2.103,0.3494,"NO"
"BE",1.2537,0.0418,6.3424,0.042,"YES"
"BG",0.5693,4e-04,8.8913,0.0117,"YES"
"CZ",1.2882,0.0378,1.7681,0.4131,"NO"
"DE",0.5949,0.001,6.2466,0.044,"YES"
"DK",0.359,0,9.9852,0.0068,"YES"
"EE",2.0257,0.4148,1.6645,0.4351,"NO"
"EL",1.6232,0.1889,1.5472,0.4613,"NO"
"ES",1.0185,0.0075,4.3762,0.1121,"NO"
"FI",1.7315,0.1861,1.4638,0.481,"NO"
"FR",1.2929,0.0836,3.716,0.156,"NO"
"HU",1.5441,0.1646,1.5279,0.4658,"NO"
"IT",1.7661,0.2668,3.9691,0.1374,"NO"
"LT",1.3176,0.0596,3.0345,0.2193,"NO"
"LU",2.1324,0.6503,0.2254,0.8934,"NO"
"LV",1.7778,0.2948,1.3968,0.4974,"NO"
"NL",0.4422,1e-04,7.9802,0.0185,"YES"
"NO",1.622,0.251,0.0935,0.9543,"NO"
"PL",1.3852,0.0761,0.7439,0.6894,"NO"
"PT",0.8446,0.002,5.5857,0.0612,"NO"
"RO",0.9844,0.0229,3.0455,0.2181,"NO"
"SE",1.0117,0.0309,3.5123,0.1727,"NO"
"SI",0.5278,2e-04,7.7369,0.0209,"YES"
"SK",0.3938,1e-04,8.4143,0.0149,"YES"
