"country_code","bp_statistic","bp_pvalue","homoscedastic"
"AT",0.184,0.9121,"YES"
"BE",1.0927,0.579,"YES"
"BG",0.2223,0.8948,"YES"
"CZ",0.2644,0.8762,"YES"
"DE",0.5933,0.7433,"YES"
"DK",1.0632,0.5877,"YES"
"EE",3.0523,0.2174,"YES"
"EL",0.3865,0.8243,"YES"
"ES",2.4375,0.2956,"YES"
"FI",0.6564,0.7202,"YES"
"FR",1.7592,0.415,"YES"
"HU",2.0725,0.3548,"YES"
"IT",0.6391,0.7265,"YES"
"LT",0.4986,0.7794,"YES"
"LU",1.0254,0.5989,"YES"
"LV",0.4996,0.779,"YES"
"NL",0.4204,0.8104,"YES"
"NO",0.3235,0.8507,"YES"
"PL",2.4859,0.2885,"YES"
"PT",0.2478,0.8835,"YES"
"RO",1.053,0.5907,"YES"
"SE",2.9131,0.233,"YES"
"SI",0.4962,0.7803,"YES"
"SK",0.198,0.9057,"YES"
