"cod_tara","an","valoare","indicator"
"AT",2000,1.9,"cheltuieli_cd_rap_la_pib"
"AT",2001,2,"cheltuieli_cd_rap_la_pib"
"AT",2002,2.08,"cheltuieli_cd_rap_la_pib"
"AT",2003,2.19,"cheltuieli_cd_rap_la_pib"
"AT",2004,2.18,"cheltuieli_cd_rap_la_pib"
"AT",2005,2.39,"cheltuieli_cd_rap_la_pib"
"AT",2006,2.38,"cheltuieli_cd_rap_la_pib"
"AT",2007,2.43,"cheltuieli_cd_rap_la_pib"
"AT",2008,2.59,"cheltuieli_cd_rap_la_pib"
"AT",2009,2.61,"cheltuieli_cd_rap_la_pib"
"AT",2010,2.74,"cheltuieli_cd_rap_la_pib"
"AT",2011,2.69,"cheltuieli_cd_rap_la_pib"
"AT",2012,2.93,"cheltuieli_cd_rap_la_pib"
"AT",2013,2.98,"cheltuieli_cd_rap_la_pib"
"AT",2014,3.11,"cheltuieli_cd_rap_la_pib"
"AT",2015,3.07,"cheltuieli_cd_rap_la_pib"
"AT",2016,3.13,"cheltuieli_cd_rap_la_pib"
"AT",2017,3.07,"cheltuieli_cd_rap_la_pib"
"AT",2018,3.11,"cheltuieli_cd_rap_la_pib"
"AT",2019,3.14,"cheltuieli_cd_rap_la_pib"
"AT",2020,3.21,"cheltuieli_cd_rap_la_pib"
"AT",2021,3.26,"cheltuieli_cd_rap_la_pib"
"AT",2022,3.17,"cheltuieli_cd_rap_la_pib"
"AT",2023,3.22,"cheltuieli_cd_rap_la_pib"
"AT",2024,3.26,"cheltuieli_cd_rap_la_pib"
"BE",2000,1.94,"cheltuieli_cd_rap_la_pib"
"BE",2001,2.03,"cheltuieli_cd_rap_la_pib"
"BE",2002,1.9,"cheltuieli_cd_rap_la_pib"
"BE",2003,1.84,"cheltuieli_cd_rap_la_pib"
"BE",2004,1.82,"cheltuieli_cd_rap_la_pib"
"BE",2005,1.79,"cheltuieli_cd_rap_la_pib"
"BE",2006,1.82,"cheltuieli_cd_rap_la_pib"
"BE",2007,1.85,"cheltuieli_cd_rap_la_pib"
"BE",2008,1.94,"cheltuieli_cd_rap_la_pib"
"BE",2009,1.99,"cheltuieli_cd_rap_la_pib"
"BE",2010,2.06,"cheltuieli_cd_rap_la_pib"
"BE",2011,2.16,"cheltuieli_cd_rap_la_pib"
"BE",2012,2.27,"cheltuieli_cd_rap_la_pib"
"BE",2013,2.32,"cheltuieli_cd_rap_la_pib"
"BE",2014,2.36,"cheltuieli_cd_rap_la_pib"
"BE",2015,2.43,"cheltuieli_cd_rap_la_pib"
"BE",2016,2.53,"cheltuieli_cd_rap_la_pib"
"BE",2017,2.68,"cheltuieli_cd_rap_la_pib"
"BE",2018,2.86,"cheltuieli_cd_rap_la_pib"
"BE",2019,3.15,"cheltuieli_cd_rap_la_pib"
"BE",2020,3.37,"cheltuieli_cd_rap_la_pib"
"BE",2021,3.41,"cheltuieli_cd_rap_la_pib"
