"cod_tara","an","valoare","indicator"
"AT",2000,2,"rata_inflatiei"
"AT",2001,2.3,"rata_inflatiei"
"AT",2002,1.7,"rata_inflatiei"
"AT",2003,1.3,"rata_inflatiei"
"AT",2004,2,"rata_inflatiei"
"AT",2005,2.1,"rata_inflatiei"
"AT",2006,1.7,"rata_inflatiei"
"AT",2007,2.2,"rata_inflatiei"
"AT",2008,3.2,"rata_inflatiei"
"AT",2009,0.4,"rata_inflatiei"
"AT",2010,1.7,"rata_inflatiei"
"AT",2011,3.6,"rata_inflatiei"
"AT",2012,2.6,"rata_inflatiei"
"AT",2013,2.1,"rata_inflatiei"
"AT",2014,1.5,"rata_inflatiei"
"AT",2015,0.8,"rata_inflatiei"
"AT",2016,1,"rata_inflatiei"
"AT",2017,2.2,"rata_inflatiei"
"AT",2018,2.1,"rata_inflatiei"
"AT",2019,1.5,"rata_inflatiei"
"AT",2020,1.4,"rata_inflatiei"
"AT",2021,2.8,"rata_inflatiei"
"AT",2022,8.6,"rata_inflatiei"
"AT",2023,7.7,"rata_inflatiei"
"AT",2024,2.9,"rata_inflatiei"
"BE",2000,2.7,"rata_inflatiei"
"BE",2001,2.4,"rata_inflatiei"
"BE",2002,1.5,"rata_inflatiei"
"BE",2003,1.5,"rata_inflatiei"
"BE",2004,1.9,"rata_inflatiei"
"BE",2005,2.5,"rata_inflatiei"
"BE",2006,2.3,"rata_inflatiei"
"BE",2007,1.8,"rata_inflatiei"
"BE",2008,4.5,"rata_inflatiei"
"BE",2009,0,"rata_inflatiei"
"BE",2010,2.3,"rata_inflatiei"
"BE",2011,3.4,"rata_inflatiei"
"BE",2012,2.6,"rata_inflatiei"
"BE",2013,1.2,"rata_inflatiei"
"BE",2014,0.5,"rata_inflatiei"
"BE",2015,0.6,"rata_inflatiei"
"BE",2016,1.8,"rata_inflatiei"
"BE",2017,2.2,"rata_inflatiei"
"BE",2018,2.3,"rata_inflatiei"
"BE",2019,1.2,"rata_inflatiei"
"BE",2020,0.4,"rata_inflatiei"
"BE",2021,3.2,"rata_inflatiei"
"BE",2022,10.3,"rata_inflatiei"
"BE",2023,2.3,"rata_inflatiei"
"BE",2024,4.3,"rata_inflatiei"
"CZ",2000,3.9,"rata_inflatiei"
"CZ",2001,4.5,"rata_inflatiei"
"CZ",2002,1.4,"rata_inflatiei"
"CZ",2003,-0.1,"rata_inflatiei"
"CZ",2004,2.6,"rata_inflatiei"
"CZ",2005,1.6,"rata_inflatiei"
"CZ",2006,2.1,"rata_inflatiei"
