"cod_tara","an","valoare","indicator"
"AT",2000,67.9,"rata_ocupare"
"AT",2001,67.8,"rata_ocupare"
"AT",2002,68.1,"rata_ocupare"
"AT",2003,68.2,"rata_ocupare"
"AT",2004,65.3,"rata_ocupare"
"AT",2005,67.4,"rata_ocupare"
"AT",2006,68.6,"rata_ocupare"
"AT",2007,69.9,"rata_ocupare"
"AT",2008,70.8,"rata_ocupare"
"AT",2009,70.3,"rata_ocupare"
"AT",2010,70.8,"rata_ocupare"
"AT",2011,71.1,"rata_ocupare"
"AT",2012,71.4,"rata_ocupare"
"AT",2013,71.4,"rata_ocupare"
"AT",2014,71.1,"rata_ocupare"
"AT",2015,71.1,"rata_ocupare"
"AT",2016,71.5,"rata_ocupare"
"AT",2017,72.2,"rata_ocupare"
"AT",2018,73,"rata_ocupare"
"AT",2019,73.6,"rata_ocupare"
"AT",2020,72.4,"rata_ocupare"
"AT",2021,72.4,"rata_ocupare"
"AT",2022,74,"rata_ocupare"
"AT",2023,74.1,"rata_ocupare"
"AT",2024,74.1,"rata_ocupare"
"BE",2000,60.9,"rata_ocupare"
"BE",2001,59.7,"rata_ocupare"
"BE",2002,59.7,"rata_ocupare"
"BE",2003,59.3,"rata_ocupare"
"BE",2004,60.5,"rata_ocupare"
"BE",2005,61.1,"rata_ocupare"
"BE",2006,61,"rata_ocupare"
"BE",2007,62,"rata_ocupare"
"BE",2008,62.4,"rata_ocupare"
"BE",2009,61.6,"rata_ocupare"
"BE",2010,62,"rata_ocupare"
"BE",2011,61.9,"rata_ocupare"
"BE",2012,61.8,"rata_ocupare"
"BE",2013,61.8,"rata_ocupare"
"BE",2014,61.9,"rata_ocupare"
"BE",2015,61.8,"rata_ocupare"
"BE",2016,62.3,"rata_ocupare"
"BE",2017,63.1,"rata_ocupare"
"BE",2018,64.5,"rata_ocupare"
"BE",2019,65.3,"rata_ocupare"
"BE",2020,64.7,"rata_ocupare"
"BE",2021,65.3,"rata_ocupare"
"BE",2022,66.5,"rata_ocupare"
"BE",2023,66.6,"rata_ocupare"
"BE",2024,66.7,"rata_ocupare"
"CZ",2000,64.9,"rata_ocupare"
"CZ",2001,65,"rata_ocupare"
"CZ",2002,65.5,"rata_ocupare"
"CZ",2003,64.9,"rata_ocupare"
"CZ",2004,64.1,"rata_ocupare"
"CZ",2005,64.8,"rata_ocupare"
"CZ",2006,65.3,"rata_ocupare"
"CZ",2007,66.1,"rata_ocupare"
"CZ",2008,66.6,"rata_ocupare"
"CZ",2009,65.4,"rata_ocupare"
"CZ",2010,65,"rata_ocupare"
"CZ",2011,65.7,"rata_ocupare"
"CZ",2012,66.5,"rata_ocupare"
"CZ",2013,67.7,"rata_ocupare"
"CZ",2014,69,"rata_ocupare"
"CZ",2015,70.2,"rata_ocupare"
"CZ",2016,72,"rata_ocupare"
"CZ",2017,73.6,"rata_ocupare"
"CZ",2018,74.8,"rata_ocupare"
"CZ",2019,75.1,"rata_ocupare"
"CZ",2020,74.4,"rata_ocupare"
"CZ",2021,74.4,"rata_ocupare"
"CZ",2022,75.5,"rata_ocupare"
"CZ",2023,75.1,"rata_ocupare"
"CZ",2024,75.4,"rata_ocupare"
"DE",2000,65.3,"rata_ocupare"
"DE",2001,65.7,"rata_ocupare"
"DE",2002,65.4,"rata_ocupare"
"DE",2003,64.9,"rata_ocupare"
"DE",2004,64.3,"rata_ocupare"
"DE",2005,65.5,"rata_ocupare"
"DE",2006,67.2,"rata_ocupare"
"DE",2007,69,"rata_ocupare"
"DE",2008,70.1,"rata_ocupare"
"DE",2009,70.3,"rata_ocupare"
"DE",2010,71.3,"rata_ocupare"
"DE",2011,72.7,"rata_ocupare"
"DE",2012,73,"rata_ocupare"
"DE",2013,73.5,"rata_ocupare"
"DE",2014,73.8,"rata_ocupare"
"DE",2015,74,"rata_ocupare"
"DE",2016,74.7,"rata_ocupare"
"DE",2017,75.2,"rata_ocupare"
"DE",2018,75.9,"rata_ocupare"
"DE",2019,76.7,"rata_ocupare"
"DE",2020,75.4,"rata_ocupare"
"DE",2021,75.8,"rata_ocupare"
"DE",2022,77,"rata_ocupare"
"DE",2023,77.3,"rata_ocupare"
"DE",2024,77.5,"rata_ocupare"
"DK",2000,76.4,"rata_ocupare"
"DK",2001,75.9,"rata_ocupare"
"DK",2002,76.4,"rata_ocupare"
"DK",2003,75.1,"rata_ocupare"
"DK",2004,76,"rata_ocupare"
"DK",2005,75.9,"rata_ocupare"
"DK",2006,77.4,"rata_ocupare"
"DK",2007,77,"rata_ocupare"
"DK",2008,76.3,"rata_ocupare"
"DK",2009,73.5,"rata_ocupare"
"DK",2010,71.8,"rata_ocupare"
"DK",2011,71.6,"rata_ocupare"
"DK",2012,71,"rata_ocupare"
"DK",2013,70.7,"rata_ocupare"
"DK",2014,71.1,"rata_ocupare"
"DK",2015,72,"rata_ocupare"
"DK",2016,72.7,"rata_ocupare"
"DK",2017,73.2,"rata_ocupare"
"DK",2018,74.1,"rata_ocupare"
"DK",2019,75,"rata_ocupare"
"DK",2020,74.4,"rata_ocupare"
"DK",2021,75.5,"rata_ocupare"
"DK",2022,76.8,"rata_ocupare"
"DK",2023,76.6,"rata_ocupare"
"DK",2024,77.2,"rata_ocupare"
"EE",2000,60.9,"rata_ocupare"
"EE",2001,60.6,"rata_ocupare"
"EE",2002,61.4,"rata_ocupare"
"EE",2003,62.4,"rata_ocupare"
"EE",2004,63.2,"rata_ocupare"
"EE",2005,64.8,"rata_ocupare"
"EE",2006,68.4,"rata_ocupare"
"EE",2007,69.8,"rata_ocupare"
"EE",2008,70.1,"rata_ocupare"
"EE",2009,63.8,"rata_ocupare"
"EE",2010,61.2,"rata_ocupare"
"EE",2011,65.3,"rata_ocupare"
"EE",2012,67.1,"rata_ocupare"
"EE",2013,68.5,"rata_ocupare"
"EE",2014,69.6,"rata_ocupare"
"EE",2015,71.4,"rata_ocupare"
"EE",2016,71.8,"rata_ocupare"
"EE",2017,73.7,"rata_ocupare"
"EE",2018,74.4,"rata_ocupare"
"EE",2019,74.8,"rata_ocupare"
"EE",2020,73.2,"rata_ocupare"
"EE",2021,74,"rata_ocupare"
"EE",2022,76.4,"rata_ocupare"
"EE",2023,76.2,"rata_ocupare"
"EE",2024,75.7,"rata_ocupare"
"ES",2000,56.1,"rata_ocupare"
"ES",2001,57.7,"rata_ocupare"
"ES",2002,59,"rata_ocupare"
"ES",2003,60.1,"rata_ocupare"
"ES",2004,61.1,"rata_ocupare"
"ES",2005,63.6,"rata_ocupare"
