cod_tara,test_statistic,valoare_critica_5pct,cointegrat,model_recomandat
AT,3.223,9.24,NU,Diferentiere
BE,3.9139,9.24,NU,Diferentiere
CZ,5.938,9.24,NU,Diferentiere
DE,6.8483,9.24,NU,Diferentiere
DK,4.2927,9.24,NU,Diferentiere
EE,6.1764,9.24,NU,Diferentiere
ES,6.9748,9.24,NU,Diferentiere
FI,5.9996,9.24,NU,Diferentiere
FR,4.8805,9.24,NU,Diferentiere
HU,2.2841,9.24,NU,Diferentiere
IE,2.8601,9.24,NU,Diferentiere
IT,6.9383,9.24,NU,Diferentiere
LT,3.9273,9.24,NU,Diferentiere
LV,4.4049,9.24,NU,Diferentiere
NL,8.2754,9.24,NU,Diferentiere
PL,3.1888,9.24,NU,Diferentiere
PT,2.5702,9.24,NU,Diferentiere
SI,3.5821,9.24,NU,Diferentiere
SK,4.9014,9.24,NU,Diferentiere
