"cod_tara","term","estimate","std.error","statistic","p.value","semnificativ","r_squared"
"AT","(Intercept)",0.0231,0.0066,3.5063,0.0021,"***",0.0911
"AT","d_cheltuieli_cd",-0.0335,0.0671,-0.4991,0.6229,"ns",0.0911
"AT","d_rata_ocupare",0.0079,0.0056,1.4131,0.1723,"ns",0.0911
"BE","(Intercept)",0.0289,0.006,4.8597,1e-04,"***",0.0818
"BE","d_cheltuieli_cd",-0.0623,0.0476,-1.3097,0.2044,"ns",0.0818
"BE","d_rata_ocupare",0.0022,0.0076,0.2907,0.7741,"ns",0.0818
"CZ","(Intercept)",0.0725,0.0146,4.9559,1e-04,"***",0.1023
"CZ","d_cheltuieli_cd",-0.1955,0.1285,-1.5218,0.143,"ns",0.1023
"CZ","d_rata_ocupare",0.0042,0.0157,0.2687,0.7908,"ns",0.1023
"DE","(Intercept)",0.0106,0.0157,0.6719,0.509,"ns",0.033
"DE","d_cheltuieli_cd",0.0148,0.226,0.0653,0.9486,"ns",0.033
"DE","d_rata_ocupare",0.0139,0.0167,0.8301,0.4158,"ns",0.033
"DK","(Intercept)",0.0234,0.0045,5.2303,0,"***",0.1321
"DK","d_cheltuieli_cd",0.0452,0.0387,1.1675,0.2561,"ns",0.1321
"DK","d_rata_ocupare",-0.0037,0.0046,-0.8048,0.4299,"ns",0.1321
"EE","(Intercept)",0.0681,0.009,7.6095,0,"***",0.4221
"EE","d_cheltuieli_cd",-0.0096,0.0399,-0.2409,0.812,"ns",0.4221
"EE","d_rata_ocupare",0.0161,0.0041,3.9144,8e-04,"***",0.4221
"ES","(Intercept)",0.0214,0.0056,3.8455,9e-04,"***",0.0652
"ES","d_cheltuieli_cd",0.0352,0.0992,0.3549,0.7262,"ns",0.0652
"ES","d_rata_ocupare",0.0034,0.0029,1.1924,0.2464,"ns",0.0652
"FI","(Intercept)",0.0246,0.0064,3.8665,9e-04,"***",0.1079
"FI","d_cheltuieli_cd",0.0404,0.0565,0.7157,0.4821,"ns",0.1079
"FI","d_rata_ocupare",0.0104,0.0067,1.5567,0.1345,"ns",0.1079
"FR","(Intercept)",0.0172,0.0053,3.2431,0.0039,"***",0.0781
"FR","d_cheltuieli_cd",-0.0563,0.1138,-0.4948,0.6259,"ns",0.0781
"FR","d_rata_ocupare",0.0076,0.0088,0.868,0.3952,"ns",0.0781
"HU","(Intercept)",0.0664,0.0176,3.7745,0.0011,"***",0.0069
"HU","d_cheltuieli_cd",-0.0319,0.1465,-0.2179,0.8296,"ns",0.0069
"HU","d_rata_ocupare",-0.0042,0.0118,-0.3525,0.728,"ns",0.0069
"IE","(Intercept)",0.0255,0.0081,3.1281,0.0051,"***",0.1753
"IE","d_cheltuieli_cd",0.0277,0.0578,0.4797,0.6364,"ns",0.1753
"IE","d_rata_ocupare",0.0084,0.004,2.1014,0.0479,"**",0.1753
"IT","(Intercept)",0.0229,0.0039,5.8404,0,"***",0.1309
"IT","d_cheltuieli_cd",-0.1268,0.0938,-1.352,0.1908,"ns",0.1309
"IT","d_rata_ocupare",-0.006,0.0041,-1.4782,0.1542,"ns",0.1309
"LT","(Intercept)",0.0791,0.0142,5.5824,0,"***",0.1125
"LT","d_cheltuieli_cd",-0.0489,0.1969,-0.2483,0.8063,"ns",0.1125
"LT","d_rata_ocupare",0.0116,0.0076,1.532,0.1404,"ns",0.1125
"LV","(Intercept)",0.0861,0.0145,5.936,0,"***",0.1704
"LV","d_cheltuieli_cd",-0.0678,0.1583,-0.4286,0.6726,"ns",0.1704
"LV","d_rata_ocupare",0.0138,0.0066,2.0722,0.0508,"*",0.1704
"NL","(Intercept)",0.0101,0.0161,0.6276,0.5371,"ns",0.0633
"NL","d_cheltuieli_cd",0.1931,0.202,0.956,0.35,"ns",0.0633
"NL","d_rata_ocupare",0.015,0.0143,1.0505,0.3054,"ns",0.0633
"PL","(Intercept)",0.0357,0.0206,1.73,0.0983,"*",0.0957
"PL","d_cheltuieli_cd",0.0773,0.2655,0.2913,0.7737,"ns",0.0957
"PL","d_rata_ocupare",0.0213,0.0165,1.2936,0.2099,"ns",0.0957
"PT","(Intercept)",0.0283,0.0103,2.7423,0.0122,"**",0.0497
"PT","d_cheltuieli_cd",0.0711,0.0959,0.7419,0.4664,"ns",0.0497
"PT","d_rata_ocupare",0.0054,0.0072,0.7441,0.4651,"ns",0.0497
"SI","(Intercept)",0.0531,0.0109,4.8608,1e-04,"***",0.0063
"SI","d_cheltuieli_cd",0.0132,0.071,0.1854,0.8547,"ns",0.0063
"SI","d_rata_ocupare",0.0028,0.0079,0.36,0.7224,"ns",0.0063
"SK","(Intercept)",0.0518,0.0074,6.951,0,"***",0.0585
"SK","d_cheltuieli_cd",-0.0537,0.0578,-0.9293,0.3633,"ns",0.0585
"SK","d_rata_ocupare",0.003,0.0057,0.5257,0.6046,"ns",0.0585
