cod_tara,variabila,vif,problema
AT,d_cheltuieli_cd,1.0153,NU
AT,d_rata_ocupare,1.0153,NU
BE,d_cheltuieli_cd,1.0061,NU
BE,d_rata_ocupare,1.0061,NU
CZ,d_cheltuieli_cd,1,NU
CZ,d_rata_ocupare,1,NU
DE,d_cheltuieli_cd,1.0142,NU
DE,d_rata_ocupare,1.0142,NU
DK,d_cheltuieli_cd,1.1714,NU
DK,d_rata_ocupare,1.1714,NU
EE,d_cheltuieli_cd,1.0007,NU
EE,d_rata_ocupare,1.0007,NU
ES,d_cheltuieli_cd,1.0165,NU
ES,d_rata_ocupare,1.0165,NU
FI,d_cheltuieli_cd,1.0645,NU
FI,d_rata_ocupare,1.0645,NU
FR,d_cheltuieli_cd,1.2737,NU
FR,d_rata_ocupare,1.2737,NU
HU,d_cheltuieli_cd,1.0482,NU
HU,d_rata_ocupare,1.0482,NU
IE,d_cheltuieli_cd,1.0154,NU
IE,d_rata_ocupare,1.0154,NU
IT,d_cheltuieli_cd,1.0793,NU
IT,d_rata_ocupare,1.0793,NU
LT,d_cheltuieli_cd,1.0403,NU
LT,d_rata_ocupare,1.0403,NU
LV,d_cheltuieli_cd,1.0787,NU
LV,d_rata_ocupare,1.0787,NU
NL,d_cheltuieli_cd,1.2219,NU
NL,d_rata_ocupare,1.2219,NU
PL,d_cheltuieli_cd,1.112,NU
PL,d_rata_ocupare,1.112,NU
PT,d_cheltuieli_cd,1,NU
PT,d_rata_ocupare,1,NU
SI,d_cheltuieli_cd,1.1293,NU
SI,d_rata_ocupare,1.1293,NU
SK,d_cheltuieli_cd,1.0203,NU
SK,d_rata_ocupare,1.0203,NU
