cod_tara,an,valoare,indicator
AT,2000,20525.86,venit_anual
AT,2001,20773.99,venit_anual
AT,2002,21179.51,venit_anual
AT,2003,21956.82,venit_anual
AT,2004,22004.46,venit_anual
AT,2005,22783.76,venit_anual
AT,2006,23391.46,venit_anual
AT,2007,23970.23,venit_anual
AT,2008,24492.09,venit_anual
AT,2009,25427.88,venit_anual
AT,2010,25770.16,venit_anual
AT,2011,26375.67,venit_anual
AT,2012,26893.06,venit_anual
AT,2013,27520.54,venit_anual
AT,2014,27965.34,venit_anual
AT,2015,28524.14,venit_anual
AT,2016,30601.53,venit_anual
AT,2017,31083.14,venit_anual
AT,2018,31640.93,venit_anual
AT,2019,32325.12,venit_anual
AT,2020,33032.37,venit_anual
AT,2021,33712.2,venit_anual
AT,2022,36075.61,venit_anual
AT,2023,38375.91,venit_anual
AT,2024,35823.61,venit_anual
BE,2000,18034.69,venit_anual
BE,2001,18884.08,venit_anual
BE,2002,19686.29,venit_anual
BE,2003,20097.88,venit_anual
BE,2004,20739.41,venit_anual
BE,2005,21273.34,venit_anual
BE,2006,21880.46,venit_anual
BE,2007,22396.96,venit_anual
BE,2008,23405.3,venit_anual
BE,2009,24323.59,venit_anual
BE,2010,24873.45,venit_anual
BE,2011,25519.86,venit_anual
BE,2012,26287.51,venit_anual
BE,2013,26609.37,venit_anual
BE,2014,26775.94,venit_anual
BE,2015,26953.59,venit_anual
BE,2016,27574.37,venit_anual
BE,2017,28238.77,venit_anual
BE,2018,29240.96,venit_anual
BE,2019,30188.71,venit_anual
BE,2020,30539.81,venit_anual
BE,2021,31063.95,venit_anual
BE,2022,32889.21,venit_anual
BE,2023,35438.98,venit_anual
BE,2024,33481.07,venit_anual
CZ,2000,3503.73,venit_anual
CZ,2001,3960.76,venit_anual
CZ,2002,4676.61,venit_anual
CZ,2003,4721.51,venit_anual
CZ,2004,4999.03,venit_anual
CZ,2005,5587.37,venit_anual
CZ,2006,6394.53,venit_anual
CZ,2007,6962.34,venit_anual
CZ,2008,8345.91,venit_anual
CZ,2009,8240.09,venit_anual
CZ,2010,8832.96,venit_anual
CZ,2011,9257.22,venit_anual
CZ,2012,9311.44,venit_anual
CZ,2013,8973.79,venit_anual
CZ,2014,8694.95,venit_anual
CZ,2015,9017.25,venit_anual
CZ,2016,9446.75,venit_anual
CZ,2017,10263.3,venit_anual
CZ,2018,11256.33,venit_anual
CZ,2019,11992.68,venit_anual
CZ,2020,11974.4,venit_anual
CZ,2021,13969.74,venit_anual
CZ,2022,15703.05,venit_anual
CZ,2023,17265.6,venit_anual
CZ,2024,18139.73,venit_anual
DE,2000,19538.92,venit_anual
DE,2001,20406.53,venit_anual
DE,2002,20871.73,venit_anual
DE,2003,21067.21,venit_anual
DE,2004,21992.56,venit_anual
DE,2005,22363.1,venit_anual
DE,2006,22504.85,venit_anual
DE,2007,23194.68,venit_anual
DE,2008,23841.5,venit_anual
DE,2009,23870.65,venit_anual
DE,2010,25374.06,venit_anual
DE,2011,26088.04,venit_anual
DE,2012,26729.62,venit_anual
DE,2013,27171.02,venit_anual
DE,2014,27791.42,venit_anual
DE,2015,28410.71,venit_anual
DE,2016,28986.32,venit_anual
DE,2017,29468.63,venit_anual
DE,2018,30419.87,venit_anual
DE,2019,31486.26,venit_anual
DE,2020,31292.95,venit_anual
DE,2021,32850.2,venit_anual
DE,2022,35596.73,venit_anual
DE,2023,37908.41,venit_anual
DE,2024,30145.27,venit_anual
DK,2000,22125.95,venit_anual
DK,2001,23268.35,venit_anual
DK,2002,24439.83,venit_anual
DK,2003,25154,venit_anual
DK,2004,26117.61,venit_anual
DK,2005,26440.34,venit_anual
DK,2006,27243.49,venit_anual
DK,2007,28469.57,venit_anual
DK,2008,29595.89,venit_anual
DK,2009,30962.07,venit_anual
DK,2010,32349.16,venit_anual
DK,2011,33153.43,venit_anual
DK,2012,33617.32,venit_anual
DK,2013,33873.44,venit_anual
DK,2014,34330.38,venit_anual
DK,2015,34689.46,venit_anual
DK,2016,35021.65,venit_anual
DK,2017,35558.92,venit_anual
DK,2018,36307.24,venit_anual
DK,2019,37133.59,venit_anual
DK,2020,37878.85,venit_anual
DK,2021,39315.61,venit_anual
DK,2022,40710.04,venit_anual
DK,2023,42357.77,venit_anual
DK,2024,40184.44,venit_anual
EE,2000,3068.14,venit_anual
EE,2001,3465.43,venit_anual
EE,2002,3804.81,venit_anual
EE,2003,4105.69,venit_anual
EE,2004,4470.88,venit_anual
EE,2005,5056.23,venit_anual
EE,2006,6059.12,venit_anual
EE,2007,7268.34,venit_anual
EE,2008,8249.98,venit_anual
EE,2009,7729.45,venit_anual
EE,2010,7820.19,venit_anual
EE,2011,8324.26,venit_anual
EE,2012,8812.65,venit_anual
EE,2013,9445.7,venit_anual
EE,2014,9914.95,venit_anual
EE,2015,10638.42,venit_anual
EE,2016,11454.71,venit_anual
EE,2017,12233.44,venit_anual
EE,2018,13437.69,venit_anual
EE,2019,14169.6,venit_anual
EE,2020,14444.62,venit_anual
EE,2021,15300.44,venit_anual
EE,2022,16472.09,venit_anual
EE,2023,18141.98,venit_anual
EE,2024,19702.96,venit_anual
ES,2000,13881.61,venit_anual
ES,2001,14308.82,venit_anual
ES,2002,14793.85,venit_anual
ES,2003,15548.87,venit_anual
ES,2004,16019.09,venit_anual
ES,2005,16432.64,venit_anual
ES,2006,16832.53,venit_anual
ES,2007,17461.33,venit_anual
ES,2008,18765.37,venit_anual
ES,2009,19380.5,venit_anual
ES,2010,19399.72,venit_anual
ES,2011,19891.57,venit_anual
ES,2012,19975.06,venit_anual
ES,2013,20061.89,venit_anual
ES,2014,20169.47,venit_anual
ES,2015,20844.88,venit_anual
ES,2016,20827.52,venit_anual
ES,2017,20948.65,venit_anual
ES,2018,21198.42,venit_anual
ES,2019,21481.84,venit_anual
ES,2020,20632.83,venit_anual
ES,2021,21668.52,venit_anual
ES,2022,22577.6,venit_anual
ES,2023,23597.08,venit_anual
ES,2024,24541.18,venit_anual
FI,2000,17430.51,venit_anual
FI,2001,18511.05,venit_anual
FI,2002,19585.21,venit_anual
FI,2003,20290.01,venit_anual
FI,2004,21262.64,venit_anual
FI,2005,22124.75,venit_anual
FI,2006,23282.87,venit_anual
FI,2007,24744.36,venit_anual
FI,2008,26026.18,venit_anual
FI,2009,27191.47,venit_anual
FI,2010,27803.54,venit_anual
FI,2011,28421.92,venit_anual
FI,2012,29246.92,venit_anual
FI,2013,29654.15,venit_anual
FI,2014,29641.38,venit_anual
FI,2015,29918.29,venit_anual
FI,2016,30306.38,venit_anual
FI,2017,30805.85,venit_anual
FI,2018,31400.22,venit_anual
FI,2019,32135.14,venit_anual
FI,2020,33191.98,venit_anual
FI,2021,33906.14,venit_anual
FI,2022,35001.16,venit_anual
FI,2023,36266.13,venit_anual
FI,2024,32957.13,venit_anual
FR,2000,18923.39,venit_anual
FR,2001,19510.12,venit_anual
FR,2002,20169.96,venit_anual
FR,2003,20612.84,venit_anual
FR,2004,21131.59,venit_anual
FR,2005,21709.55,venit_anual
FR,2006,22675.17,venit_anual
FR,2007,23415.09,venit_anual
FR,2008,24249.73,venit_anual
FR,2009,24627.9,venit_anual
FR,2010,25031.8,venit_anual
FR,2011,25576.25,venit_anual
FR,2012,25978.92,venit_anual
FR,2013,26269.14,venit_anual
FR,2014,26578.46,venit_anual
FR,2015,26958.75,venit_anual
FR,2016,26880.7,venit_anual
FR,2017,27022.48,venit_anual
FR,2018,27662.94,venit_anual
FR,2019,28153.78,venit_anual
FR,2020,27472.33,venit_anual
FR,2021,28649.83,venit_anual
FR,2022,30241.44,venit_anual
FR,2023,31573.51,venit_anual
FR,2024,30124.11,venit_anual
HU,2000,2684.84,venit_anual
HU,2001,3024.35,venit_anual
HU,2002,3723.71,venit_anual
HU,2003,4112.51,venit_anual
HU,2004,4418.69,venit_anual
HU,2005,4857.23,venit_anual
HU,2006,4865.34,venit_anual
HU,2007,5249.28,venit_anual
HU,2008,5734.59,venit_anual
HU,2009,5409.39,venit_anual
HU,2010,6256.57,venit_anual
HU,2011,6146.32,venit_anual
HU,2012,6369.22,venit_anual
HU,2013,6475.08,venit_anual
HU,2014,6478.42,venit_anual
HU,2015,6703.57,venit_anual
HU,2016,7138.72,venit_anual
HU,2017,8023.72,venit_anual
HU,2018,8586.94,venit_anual
HU,2019,9390.54,venit_anual
HU,2020,9549.21,venit_anual
HU,2021,10074.96,venit_anual
HU,2022,10667.45,venit_anual
HU,2023,12719.75,venit_anual
HU,2024,12001.77,venit_anual
IE,2000,20955.6,venit_anual
IE,2001,24226.45,venit_anual
IE,2002,25751.62,venit_anual
IE,2003,26885.98,venit_anual
IE,2004,28094.38,venit_anual
IE,2005,29375.79,venit_anual
IE,2006,30879.33,venit_anual
IE,2007,32646.18,venit_anual
IE,2008,34033.21,venit_anual
IE,2009,32441.06,venit_anual
IE,2010,32138.69,venit_anual
IE,2011,31159.23,venit_anual
IE,2012,31541.73,venit_anual
IE,2013,31531.28,venit_anual
IE,2014,31687.39,venit_anual
IE,2015,32344.52,venit_anual
IE,2016,33346.95,venit_anual
IE,2017,33976.58,venit_anual
IE,2018,35126.52,venit_anual
IE,2019,38252.2,venit_anual
IE,2020,38842.71,venit_anual
IE,2021,39930.32,venit_anual
IE,2022,41062.91,venit_anual
IE,2023,43896.82,venit_anual
IE,2024,42366.19,venit_anual
IT,2000,15290.8,venit_anual
IT,2001,15866.15,venit_anual
IT,2002,16104.1,venit_anual
IT,2003,16617.85,venit_anual
IT,2004,16958.72,venit_anual
IT,2005,17601.62,venit_anual
IT,2006,17984.55,venit_anual
IT,2007,18272.59,venit_anual
IT,2008,18917.81,venit_anual
IT,2009,19269.56,venit_anual
IT,2010,19705.17,venit_anual
IT,2011,19983.62,venit_anual
IT,2012,20327.68,venit_anual
IT,2013,20656.6,venit_anual
IT,2014,20930.61,venit_anual
