cod_tara,variabila,adf_statistic,adf_pvalue,kpss_statistic,kpss_pvalue,concluzie
AT,venit_anual,-0.8316,0.9453,0.9108,0.01,Nestationara I(1) 
AT,cheltuieli_cd_rap_la_pib,-0.5047,0.9746,0.8951,0.01,Nestationara I(1) 
AT,rata_ocupare,-2.9198,0.222,0.8517,0.01,Nestationara I(1) 
BE,venit_anual,-1.5022,0.762,0.9204,0.01,Nestationara I(1) 
BE,cheltuieli_cd_rap_la_pib,-2.0086,0.5691,0.8357,0.01,Nestationara I(1) 
BE,rata_ocupare,-1.4095,0.7974,0.8116,0.01,Nestationara I(1) 
CZ,venit_anual,-1.2033,0.8759,0.8684,0.01,Nestationara I(1) 
CZ,cheltuieli_cd_rap_la_pib,-1.7614,0.6633,0.8218,0.01,Nestationara I(1) 
CZ,rata_ocupare,-2.5003,0.3818,0.8364,0.01,Nestationara I(1) 
DE,venit_anual,-2.3753,0.4294,0.8885,0.01,Nestationara I(1) 
DE,cheltuieli_cd_rap_la_pib,-2.2363,0.4824,0.9026,0.01,Nestationara I(1) 
DE,rata_ocupare,-1.4494,0.7821,0.8859,0.01,Nestationara I(1) 
DK,venit_anual,-1.9292,0.5993,0.9147,0.01,Nestationara I(1) 
DK,cheltuieli_cd_rap_la_pib,-1.3103,0.8351,0.7215,0.0116,Nestationara I(1) 
DK,rata_ocupare,-1.5872,0.7296,0.2137,0.1,Neclar
EE,venit_anual,0.0238,0.99,0.9178,0.01,Nestationara I(1) 
EE,cheltuieli_cd_rap_la_pib,-2.2227,0.4876,0.6013,0.0225,Nestationara I(1) 
EE,rata_ocupare,-2.6097,0.3401,0.8179,0.01,Nestationara I(1) 
ES,venit_anual,-2.0982,0.535,0.8998,0.01,Nestationara I(1) 
ES,cheltuieli_cd_rap_la_pib,-2.1878,0.5008,0.6439,0.0186,Nestationara I(1) 
ES,rata_ocupare,-1.9944,0.5745,0.186,0.1,Neclar
FI,venit_anual,-0.7398,0.955,0.8936,0.01,Nestationara I(1) 
FI,cheltuieli_cd_rap_la_pib,-1.9182,0.6035,0.3968,0.0785,Neclar
FI,rata_ocupare,-1.4093,0.7974,0.6368,0.0193,Nestationara I(1) 
FR,venit_anual,-1.7065,0.6842,0.9055,0.01,Nestationara I(1) 
FR,cheltuieli_cd_rap_la_pib,-2.5109,0.3778,0.5134,0.0386,Nestationara I(1) 
FR,rata_ocupare,-0.5148,0.9738,0.7268,0.0111,Nestationara I(1) 
HU,venit_anual,-0.2041,0.9877,0.8924,0.01,Nestationara I(1) 
HU,cheltuieli_cd_rap_la_pib,-2.0037,0.571,0.8325,0.01,Nestationara I(1) 
HU,rata_ocupare,-2.1264,0.5242,0.8009,0.01,Nestationara I(1) 
IE,venit_anual,-1.9738,0.5824,0.827,0.01,Nestationara I(1) 
IE,cheltuieli_cd_rap_la_pib,-1.7851,0.6542,0.1712,0.1,Neclar
IE,rata_ocupare,-1.5409,0.7473,0.3268,0.1,Neclar
IT,venit_anual,-3.4594,0.0695,0.9085,0.01,Nestationara I(1) 
IT,cheltuieli_cd_rap_la_pib,-2.1596,0.5116,0.872,0.01,Nestationara I(1) 
IT,rata_ocupare,-1.5782,0.7331,0.5298,0.035,Nestationara I(1) 
LT,venit_anual,2.0307,0.99,0.8593,0.01,Nestationara I(1) 
LT,cheltuieli_cd_rap_la_pib,-3.2495,0.0987,0.8595,0.01,Nestationara I(1) 
LT,rata_ocupare,-1.78,0.6562,0.7748,0.01,Nestationara I(1) 
LV,venit_anual,1.2045,0.99,0.8878,0.01,Nestationara I(1) 
LV,cheltuieli_cd_rap_la_pib,-2.1674,0.5086,0.6823,0.0152,Nestationara I(1) 
LV,rata_ocupare,-2.5603,0.3589,0.7484,0.01,Nestationara I(1) 
NL,venit_anual,-3.0031,0.1902,0.8812,0.01,Nestationara I(1) 
NL,cheltuieli_cd_rap_la_pib,-2.2786,0.4663,0.7795,0.01,Nestationara I(1) 
NL,rata_ocupare,-1.4637,0.7767,0.7026,0.0133,Nestationara I(1) 
PL,venit_anual,0.3961,0.99,0.8818,0.01,Nestationara I(1) 
PL,cheltuieli_cd_rap_la_pib,-2.5346,0.3687,0.854,0.01,Nestationara I(1) 
PL,rata_ocupare,-3.3444,0.0855,0.8826,0.01,Nestationara I(1) 
PT,venit_anual,0.6946,0.99,0.7947,0.01,Nestationara I(1) 
PT,cheltuieli_cd_rap_la_pib,-2.9446,0.2125,0.7024,0.0133,Nestationara I(1) 
PT,rata_ocupare,-1.332,0.8268,0.2474,0.1,Neclar
SI,venit_anual,0.7921,0.99,0.8958,0.01,Nestationara I(1) 
SI,cheltuieli_cd_rap_la_pib,-2.3114,0.4537,0.5528,0.0298,Nestationara I(1) 
SI,rata_ocupare,-2.0528,0.5523,0.6253,0.0203,Nestationara I(1) 
SK,venit_anual,0.9396,0.99,0.9029,0.01,Nestationara I(1) 
SK,cheltuieli_cd_rap_la_pib,-2.1563,0.5128,0.7222,0.0115,Nestationara I(1) 
SK,rata_ocupare,-1.5567,0.7413,0.8507,0.01,Nestationara I(1) 
