cod_tara,f_statistic,f_pvalue,r_squared,adj_r2,aic,bic,model_valid
AT,1.0522,0.3669,0.0911,0.0045,-102.4039,-97.6917,NU
BE,0.9354,0.4082,0.0818,-0.0057,-106.8253,-102.113,NU
CZ,1.1965,0.322,0.1023,0.0168,-61.8092,-57.097,NU
DE,0.3581,0.7032,0.033,-0.0591,-63.7776,-59.0654,NU
DK,1.5987,0.2258,0.1321,0.0495,-112.8082,-108.096,NU
EE,7.6705,0.0032,0.4221,0.3671,-80.8936,-76.1814,DA
ES,0.7319,0.4929,0.0652,-0.0239,-107.9281,-103.2158,NU
FI,1.2704,0.3014,0.1079,0.023,-94.4755,-89.7633,NU
FR,0.8894,0.4258,0.0781,-0.0097,-110.5274,-105.8152,NU
HU,0.0727,0.9301,0.0069,-0.0877,-55.5524,-50.8402,NU
IE,2.2326,0.1321,0.1753,0.0968,-83.0862,-78.374,NU
IT,1.5809,0.2293,0.1309,0.0481,-127.6629,-122.9507,NU
LT,1.3309,0.2856,0.1125,0.028,-60.5118,-55.7996,NU
LV,2.1563,0.1407,0.1704,0.0914,-56.1459,-51.4337,NU
NL,0.7096,0.5032,0.0633,-0.0259,-56.3914,-51.6792,NU
PL,1.1106,0.3479,0.0957,0.0095,-47.6189,-42.9067,NU
PT,0.5496,0.5853,0.0497,-0.0408,-74.9342,-70.2219,NU
SI,0.0671,0.9353,0.0063,-0.0883,-72.6828,-67.9706,NU
SK,0.6518,0.5313,0.0585,-0.0312,-94.2744,-89.5622,NU
