cod_tara,dw_statistic,dw_pvalue,bg_statistic,bg_pvalue,autocorelare
AT,1.8947,0.4392,7.9657,0.0186,DAè
BE,1.7941,0.2477,3.5859,0.1665,NU
CZ,1.5421,0.0908,1.3354,0.5129,NU
DE,1.3489,0.0437,6.0537,0.0485,DAè
DK,1.3191,0.0345,0.1581,0.924,NU
EE,0.7962,5.00E-04,8.6586,0.0132,DAè
ES,1.4865,0.0635,1.8499,0.3966,NU
FI,1.0338,0.0032,3.2837,0.1936,NU
FR,1.4534,0.0749,2.721,0.2565,NU
HU,2.1513,0.6029,1.9329,0.3804,NU
IE,1.1171,0.0083,2.0232,0.3636,NU
IT,1.4389,0.0594,3.1739,0.2046,NU
LT,0.7163,2.00E-04,12.0672,0.0024,DAè
LV,0.6782,1.00E-04,12.3504,0.0021,DAè
NL,1.0801,0.0056,0.0284,0.9859,NU
PL,2.3027,0.7064,3.7767,0.1513,NU
PT,0.7193,1.00E-04,10.481,0.0053,DAè
SI,0.5264,0,11.3269,0.0035,DAè
SK,0.5943,0,11.0215,0.004,DAè
