cod_tara,an,fit,lower_95,upper_95,venit_progozat,venit_lower,venit_upper,d_cheltuieli_cd,d_rata_ocupare
AT,2024,NA,NA,NA,35823.61,35823.61,35823.61,NA,NA
AT,2025,0.0232,-0.0318,0.0782,36664.4336,34702.3419,38737.4632,0.0567,0.2583
AT,2026,0.0232,-0.0318,0.0782,37524.9923,33616.1691,41888.326,0.0567,0.2583
AT,2027,0.0232,-0.0318,0.0782,38405.7494,32563.9931,45295.4766,0.0567,0.2583
AT,2028,0.0232,-0.0318,0.0782,39307.179,31544.75,48979.7611,0.0567,0.2583
AT,2029,0.0232,-0.0318,0.0782,40229.7662,30557.4089,52963.7212,0.0567,0.2583
BE,2024,NA,NA,NA,33481.07,33481.07,33481.07,NA,NA
BE,2025,0.0258,-0.0244,0.076,34356.1212,32674.018,36124.8215,0.0592,0.2417
BE,2026,0.0258,-0.0244,0.076,35254.0425,31886.4197,38977.3304,0.0592,0.2417
BE,2027,0.0258,-0.0244,0.076,36175.4316,31117.8063,42055.0807,0.0592,0.2417
BE,2028,0.0258,-0.0244,0.076,37120.9019,30367.7201,45375.8581,0.0592,0.2417
BE,2029,0.0258,-0.0244,0.076,38091.0827,29635.7145,48958.8527,0.0592,0.2417
CZ,2024,NA,NA,NA,18139.73,18139.73,18139.73,NA,NA
CZ,2025,0.0685,-0.0597,0.1967,19425.8482,17088.4801,22082.9222,0.0300,0.4375
CZ,2026,0.0685,-0.0597,0.1967,20803.153,16098.1532,26883.2808,0.0300,0.4375
CZ,2027,0.0685,-0.0597,0.1967,22278.1095,15165.2187,32727.1353,0.0300,0.4375
CZ,2028,0.0685,-0.0597,0.1967,23857.6414,14286.3503,39841.3198,0.0300,0.4375
CZ,2029,0.0685,-0.0597,0.1967,25549.1631,13458.415,48501.977,0.0300,0.4375
DE,2024,NA,NA,NA,30145.27,30145.27,30145.27,NA,NA
DE,2025,0.0181,-0.105,0.1411,30695.8673,27140.5258,34713.4781,0.0308,0.5083
DE,2026,0.0181,-0.105,0.1411,31256.5211,24435.281,39973.9515,0.0308,0.5083
DE,2027,0.0181,-0.105,0.1411,31827.4151,21999.6827,46031.5959,0.0308,0.5083
DE,2028,0.0181,-0.105,0.1411,32408.7364,19806.8538,53007.2146,0.0308,0.5083
DE,2029,0.0181,-0.105,0.1411,33000.6754,17832.5962,61039.9171,0.0308,0.5083
DK,2024,NA,NA,NA,40184.44,40184.44,40184.44,NA,NA
DK,2025,0.0249,-0.0195,0.0692,41197.594,39408.4341,43063.6759,0.0342,0.0333
DK,2026,0.0249,-0.0195,0.0692,42236.2922,38647.4137,46149.2106,0.0342,0.0333
DK,2027,0.0249,-0.0195,0.0692,43301.1787,37901.0894,49455.8255,0.0342,0.0333
DK,2028,0.0249,-0.0195,0.0692,44392.9137,37169.1775,52999.361,0.0342,0.0333
DK,2029,0.0249,-0.0195,0.0692,45512.1742,36451.3996,56796.7926,0.0342,0.0333
EE,2024,NA,NA,NA,19702.96,19702.96,19702.96,NA,NA
