Cod eurostat,Denumire R,Traducere în română,Denumire Eurostat
edat_lfse_03_max_liceu,abandon_scolar_timpuriu,"Ponderea tinerilor de 18-24 ani cu cel mult studii gimnaziale, % din total",Population in private households by educational attainment level
htec_emp_reg2,angajati_tech,"Ponderea persoanelor ocupate în domenii de tehnologie și cunoaștere, % din totalul ocupării",Employed persons in technology and knowledge-intensive sectors
rd_e_gerdtot,cheltuieli_cd,Cheltuieli totale cu cercetare și dezvoltare (% din PIB),GERD by sector of performance
edat_lfse_03_facultate,educatie_tertiara,"Ponderea tinerilor de 25-34 ani cu cel puțin studii superioare, % din total",Population in private households by educational attainment level
trng_lfs_09,formare_continua,Rata de participare la educație formală și non-formală a populației de 25-64 ani (%),Participation rate in education and training (last 4 weeks) by type of training
demo_gind,migratie_neta,Rata brută a migrației nete (‰ la 1000 de locuitori),Crude rate of net migration plus statistical adjustment
lfsa_egised,ocupare_educatie_superioara,"Numărul persoanelor ocupate cu studii superioare,  20-64 ani (mii persoane)",Employed persons by occupation and educational attainment level
nama_10_lp_ulc,productivitatea_muncii,Creșterea anuală a productivității muncii (%),Labour productivity and unit labour costs
lfsi_pt_a,rata_contracte_temporare,"Ponderea angajaților cu contract temporar din totalul angajaților (15-64 ani), %",Part-time employment and temporary contracts - annual data
lfsa_ergan,rata_ocupare,"Rata de ocupare a populației de 20-64 ani, % din totalul populației în aceeași grupă de vârstă",Employment rates by citizenship
une_rt_a,rata_somaj,Rata șomajului în rândul populației de 20–64 ani (% din populația activă),Unemployment by sex and age - annual data
yth_empl_090,somaj_tineri,,Youth unemployment by educational attainment level
earn_nt_net,venit_anual,"Venitul net anual al unui singur adult fără copii, la 100% din salariul mediu (EUR)",Annual net earnings
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,, ,
