"region_id","indicator","year","value"
"BE10","pop_tot_Sheet_6",2015,"79167.0"
"BE10","pop_tot_Sheet_6",2016,"80711.0"
"BE10","pop_tot_Sheet_6",2017,"81075.0"
"BE10","pop_tot_Sheet_6",2018,"82172.0"
"BE10","pop_tot_Sheet_6",2019,"82881.0"
"BE10","pop_tot_Sheet_6",2020,"83736.0"
"BE10","pop_tot_Sheet_6",2021,"83638.0"
"BE10","pop_tot_Sheet_6",2022,"84010.0"
"BE10","pop_tot_Sheet_6",2023,"85664.0"
"BE10","pop_tot_Sheet_6",2024,"86640.0"
"BE21","pop_tot_Sheet_6",2015,"129766.0"
"BE21","pop_tot_Sheet_6",2016,"128276.0"
"BE21","pop_tot_Sheet_6",2017,"126735.0"
"BE21","pop_tot_Sheet_6",2018,"125400.0"
"BE21","pop_tot_Sheet_6",2019,"123098.0"
"BE21","pop_tot_Sheet_6",2020,"120454.0"
"BE21","pop_tot_Sheet_6",2021,"117319.0"
"BE21","pop_tot_Sheet_6",2022,"115034.0"
"BE21","pop_tot_Sheet_6",2023,"115604.0"
"BE21","pop_tot_Sheet_6",2024,"117123.0"
"BE22","pop_tot_Sheet_6",2015,"64117.0"
"BE22","pop_tot_Sheet_6",2016,"63039.0"
"BE22","pop_tot_Sheet_6",2017,"61439.0"
"BE22","pop_tot_Sheet_6",2018,"60254.0"
"BE22","pop_tot_Sheet_6",2019,"58980.0"
"BE22","pop_tot_Sheet_6",2020,"57719.0"
"BE22","pop_tot_Sheet_6",2021,"56032.0"
"BE22","pop_tot_Sheet_6",2022,"55746.0"
"BE22","pop_tot_Sheet_6",2023,"56389.0"
"BE22","pop_tot_Sheet_6",2024,"57324.0"
"BE23","pop_tot_Sheet_6",2015,"107199.0"
"BE23","pop_tot_Sheet_6",2016,"106596.0"
"BE23","pop_tot_Sheet_6",2017,"106261.0"
"BE23","pop_tot_Sheet_6",2018,"105437.0"
"BE23","pop_tot_Sheet_6",2019,"103936.0"
"BE23","pop_tot_Sheet_6",2020,"102359.0"
"BE23","pop_tot_Sheet_6",2021,"100312.0"
"BE23","pop_tot_Sheet_6",2022,"99123.0"
"BE23","pop_tot_Sheet_6",2023,"99008.0"
"BE23","pop_tot_Sheet_6",2024,"100441.0"
"BE24","pop_tot_Sheet_6",2015,"81914.0"
"BE24","pop_tot_Sheet_6",2016,"80889.0"
"BE24","pop_tot_Sheet_6",2017,"79997.0"
"BE24","pop_tot_Sheet_6",2018,"79593.0"
"BE24","pop_tot_Sheet_6",2019,"78880.0"
"BE24","pop_tot_Sheet_6",2020,"78009.0"
"BE24","pop_tot_Sheet_6",2021,"76598.0"
"BE24","pop_tot_Sheet_6",2022,"75988.0"
"BE24","pop_tot_Sheet_6",2023,"76527.0"
"BE24","pop_tot_Sheet_6",2024,"77340.0"
"BE25","pop_tot_Sheet_6",2015,"83675.0"
"BE25","pop_tot_Sheet_6",2016,"82126.0"
"BE25","pop_tot_Sheet_6",2017,"80882.0"
"BE25","pop_tot_Sheet_6",2018,"79653.0"
"BE25","pop_tot_Sheet_6",2019,"78276.0"
"BE25","pop_tot_Sheet_6",2020,"76599.0"
"BE25","pop_tot_Sheet_6",2021,"74260.0"
"BE25","pop_tot_Sheet_6",2022,"72431.0"
"BE25","pop_tot_Sheet_6",2023,"71834.0"
"BE25","pop_tot_Sheet_6",2024,"71903.0"
"BE31","pop_tot_Sheet_6",2015,"28216.0"
"BE31","pop_tot_Sheet_6",2016,"28065.0"
"BE31","pop_tot_Sheet_6",2017,"28279.0"
"BE31","pop_tot_Sheet_6",2018,"28360.0"
"BE31","pop_tot_Sheet_6",2019,"28562.0"
"BE31","pop_tot_Sheet_6",2020,"28443.0"
"BE31","pop_tot_Sheet_6",2021,"28183.0"
"BE31","pop_tot_Sheet_6",2022,"27691.0"
"BE31","pop_tot_Sheet_6",2023,"27218.0"
"BE31","pop_tot_Sheet_6",2024,"26893.0"
"BE32","pop_tot_Sheet_6",2015,"92983.0"
"BE32","pop_tot_Sheet_6",2016,"93059.0"
"BE32","pop_tot_Sheet_6",2017,"93638.0"
"BE32","pop_tot_Sheet_6",2018,"94602.0"
"BE32","pop_tot_Sheet_6",2019,"95012.0"
"BE32","pop_tot_Sheet_6",2020,"94391.0"
"BE32","pop_tot_Sheet_6",2021,"92678.0"
"BE32","pop_tot_Sheet_6",2022,"90422.0"
"BE32","pop_tot_Sheet_6",2023,"88708.0"
"BE32","pop_tot_Sheet_6",2024,"87277.0"
"BE33","pop_tot_Sheet_6",2015,"76344.0"
"BE33","pop_tot_Sheet_6",2016,"75576.0"
"BE33","pop_tot_Sheet_6",2017,"75042.0"
"BE33","pop_tot_Sheet_6",2018,"74930.0"
"BE33","pop_tot_Sheet_6",2019,"74434.0"
"BE33","pop_tot_Sheet_6",2020,"73813.0"
"BE33","pop_tot_Sheet_6",2021,"72500.0"
"BE33","pop_tot_Sheet_6",2022,"71354.0"
"BE33","pop_tot_Sheet_6",2023,"70233.0"
"BE33","pop_tot_Sheet_6",2024,"69500.0"
"BE34","pop_tot_Sheet_6",2015,"19684.0"
"BE34","pop_tot_Sheet_6",2016,"19402.0"
"BE34","pop_tot_Sheet_6",2017,"19575.0"
"BE34","pop_tot_Sheet_6",2018,"19721.0"
"BE34","pop_tot_Sheet_6",2019,"19911.0"
"BE34","pop_tot_Sheet_6",2020,"19777.0"
"BE34","pop_tot_Sheet_6",2021,"19776.0"
"BE34","pop_tot_Sheet_6",2022,"19376.0"
"BE34","pop_tot_Sheet_6",2023,"19282.0"
"BE34","pop_tot_Sheet_6",2024,"19015.0"
"BE35","pop_tot_Sheet_6",2015,"33737.0"
"BE35","pop_tot_Sheet_6",2016,"33535.0"
"BE35","pop_tot_Sheet_6",2017,"33586.0"
"BE35","pop_tot_Sheet_6",2018,"33560.0"
"BE35","pop_tot_Sheet_6",2019,"33558.0"
"BE35","pop_tot_Sheet_6",2020,"33505.0"
"BE35","pop_tot_Sheet_6",2021,"33004.0"
"BE35","pop_tot_Sheet_6",2022,"32464.0"
"BE35","pop_tot_Sheet_6",2023,"32010.0"
"BE35","pop_tot_Sheet_6",2024,"31658.0"
"BG31","pop_tot_Sheet_6",2015,"52684.0"
"BG31","pop_tot_Sheet_6",2016,"53738.0"
"BG31","pop_tot_Sheet_6",2017,"54711.0"
"BG31","pop_tot_Sheet_6",2018,"54798.0"
"BG31","pop_tot_Sheet_6",2019,"54180.0"
"BG31","pop_tot_Sheet_6",2020,"52682.0"
"BG31","pop_tot_Sheet_6",2021,"51502.0"
"BG31","pop_tot_Sheet_6",2022,"49898.0"
"BG31","pop_tot_Sheet_6",2023,"48911.0"
"BG31","pop_tot_Sheet_6",2024,"47396.0"
"BG32","pop_tot_Sheet_6",2015,"54555.0"
"BG32","pop_tot_Sheet_6",2016,"54701.0"
"BG32","pop_tot_Sheet_6",2017,"55265.0"
"BG32","pop_tot_Sheet_6",2018,"55139.0"
"BG32","pop_tot_Sheet_6",2019,"54237.0"
"BG32","pop_tot_Sheet_6",2020,"53447.0"
"BG32","pop_tot_Sheet_6",2021,"53392.0"
"BG32","pop_tot_Sheet_6",2022,"53183.0"
"BG32","pop_tot_Sheet_6",2023,"53208.0"
"BG32","pop_tot_Sheet_6",2024,"52089.0"
"BG33","pop_tot_Sheet_6",2015,"61004.0"
"BG33","pop_tot_Sheet_6",2016,"62679.0"
"BG33","pop_tot_Sheet_6",2017,"64283.0"
