"region_id","indicator","year","value"
"BE10","h_acc_internet_home_annual",2018,"87.78"
"BE10","h_acc_internet_home_annual",2020,"89.52"
"BE10","h_acc_internet_home_annual",2022,"95.76"
"BE10","h_acc_internet_home_annual",2024,"96.11"
"BE21","h_acc_internet_home_annual",2018,"89.42"
"BE21","h_acc_internet_home_annual",2020,"90.75"
"BE21","h_acc_internet_home_annual",2022,"96.79"
"BE21","h_acc_internet_home_annual",2024,"95.79"
"BE22","h_acc_internet_home_annual",2018,"89.46"
"BE22","h_acc_internet_home_annual",2020,"91.83"
"BE22","h_acc_internet_home_annual",2022,"96.34"
"BE22","h_acc_internet_home_annual",2024,"96.95"
"BE23","h_acc_internet_home_annual",2018,"88.24"
"BE23","h_acc_internet_home_annual",2020,"93.22"
"BE23","h_acc_internet_home_annual",2022,"94.27"
"BE23","h_acc_internet_home_annual",2024,"97.18"
"BE24","h_acc_internet_home_annual",2018,"89.99"
"BE24","h_acc_internet_home_annual",2020,"94.21"
"BE24","h_acc_internet_home_annual",2022,"94.48"
"BE24","h_acc_internet_home_annual",2024,"95.04"
"BE25","h_acc_internet_home_annual",2018,"88"
"BE25","h_acc_internet_home_annual",2020,"90.63"
"BE25","h_acc_internet_home_annual",2022,"94.54"
"BE25","h_acc_internet_home_annual",2024,"94.13"
"BE31","h_acc_internet_home_annual",2018,"88.92"
"BE31","h_acc_internet_home_annual",2020,"95.91"
"BE31","h_acc_internet_home_annual",2022,"97.68"
"BE31","h_acc_internet_home_annual",2024,"95.1"
"BE32","h_acc_internet_home_annual",2018,"82.15"
"BE32","h_acc_internet_home_annual",2020,"87.1"
"BE32","h_acc_internet_home_annual",2022,"91.74"
"BE32","h_acc_internet_home_annual",2024,"91.45"
"BE33","h_acc_internet_home_annual",2018,"85.59"
"BE33","h_acc_internet_home_annual",2020,"92.01"
"BE33","h_acc_internet_home_annual",2022,"92.91"
"BE33","h_acc_internet_home_annual",2024,"92.13"
"BE34","h_acc_internet_home_annual",2018,"86.15"
"BE34","h_acc_internet_home_annual",2020,"86.66"
"BE34","h_acc_internet_home_annual",2022,"90.48"
"BE34","h_acc_internet_home_annual",2024,"89.76"
"BE35","h_acc_internet_home_annual",2018,"80.94"
"BE35","h_acc_internet_home_annual",2020,"85.61"
"BE35","h_acc_internet_home_annual",2022,"90.58"
"BE35","h_acc_internet_home_annual",2024,"91.74"
"BG31","h_acc_internet_home_annual",2018,"65.22"
"BG31","h_acc_internet_home_annual",2020,"66.150000000000006"
"BG31","h_acc_internet_home_annual",2022,"83.07"
"BG31","h_acc_internet_home_annual",2024,"89.17"
"BG32","h_acc_internet_home_annual",2018,"68.53"
"BG32","h_acc_internet_home_annual",2020,"74.760000000000005"
"BG32","h_acc_internet_home_annual",2022,"85.63"
"BG32","h_acc_internet_home_annual",2024,"92.85"
"BG33","h_acc_internet_home_annual",2018,"73.89"
"BG33","h_acc_internet_home_annual",2020,"77.7"
"BG33","h_acc_internet_home_annual",2022,"85.39"
"BG33","h_acc_internet_home_annual",2024,"89.88"
"BG34","h_acc_internet_home_annual",2018,"69.97"
"BG34","h_acc_internet_home_annual",2020,"77.239999999999995"
"BG34","h_acc_internet_home_annual",2022,"84.92"
"BG34","h_acc_internet_home_annual",2024,"88.62"
"BG41","h_acc_internet_home_annual",2018,"75.27"
"BG41","h_acc_internet_home_annual",2020,"85.86"
"BG41","h_acc_internet_home_annual",2022,"90.48"
"BG41","h_acc_internet_home_annual",2024,"95.53"
"BG42","h_acc_internet_home_annual",2018,"73.7"
"BG42","h_acc_internet_home_annual",2020,"79.19"
"BG42","h_acc_internet_home_annual",2022,"88.61"
"BG42","h_acc_internet_home_annual",2024,"91.67"
"CZ01","h_acc_internet_home_annual",2018,"93.17"
"CZ01","h_acc_internet_home_annual",2020,"94.74"
"CZ01","h_acc_internet_home_annual",2022,"96.3"
"CZ01","h_acc_internet_home_annual",2024,"96.77"
"CZ02","h_acc_internet_home_annual",2018,"86.66"
"CZ02","h_acc_internet_home_annual",2020,"87.79"
"CZ02","h_acc_internet_home_annual",2022,"92.38"
"CZ02","h_acc_internet_home_annual",2024,"94.77"
"CZ03","h_acc_internet_home_annual",2018,"86.17"
"CZ03","h_acc_internet_home_annual",2020,"87.68"
"CZ03","h_acc_internet_home_annual",2022,"92.32"
"CZ03","h_acc_internet_home_annual",2024,"95.61"
"CZ04","h_acc_internet_home_annual",2018,"81.66"
"CZ04","h_acc_internet_home_annual",2020,"82.28"
"CZ04","h_acc_internet_home_annual",2022,"87.57"
"CZ04","h_acc_internet_home_annual",2024,"95.82"
"CZ05","h_acc_internet_home_annual",2018,"83.68"
"CZ05","h_acc_internet_home_annual",2020,"86.88"
"CZ05","h_acc_internet_home_annual",2022,"90.27"
"CZ05","h_acc_internet_home_annual",2024,"94.95"
"CZ06","h_acc_internet_home_annual",2018,"86.83"
"CZ06","h_acc_internet_home_annual",2020,"90.08"
"CZ06","h_acc_internet_home_annual",2022,"89.84"
"CZ06","h_acc_internet_home_annual",2024,"91.97"
"CZ07","h_acc_internet_home_annual",2018,"83.38"
"CZ07","h_acc_internet_home_annual",2020,"88.11"
"CZ07","h_acc_internet_home_annual",2022,"87.91"
"CZ07","h_acc_internet_home_annual",2024,"92.61"
"CZ08","h_acc_internet_home_annual",2018,"88.43"
"CZ08","h_acc_internet_home_annual",2020,"85.67"
"CZ08","h_acc_internet_home_annual",2022,"94.82"
"CZ08","h_acc_internet_home_annual",2024,"94.69"
"DK01","h_acc_internet_home_annual",2018,"92.69"
"DK01","h_acc_internet_home_annual",2020,"95.67"
"DK01","h_acc_internet_home_annual",2022,"95.95"
"DK01","h_acc_internet_home_annual",2024,"96.92"
"DK02","h_acc_internet_home_annual",2018,"91.13"
"DK02","h_acc_internet_home_annual",2020,"94.48"
"DK02","h_acc_internet_home_annual",2022,"95.49"
"DK02","h_acc_internet_home_annual",2024,"97.15"
"DK03","h_acc_internet_home_annual",2018,"91.79"
"DK03","h_acc_internet_home_annual",2020,"95.63"
"DK03","h_acc_internet_home_annual",2022,"94.54"
"DK03","h_acc_internet_home_annual",2024,"95.56"
