"region_id","indicator","year","value"
"BE10","pop_tot_Sheet_3",2015,"104146.0"
"BE10","pop_tot_Sheet_3",2016,"103755.0"
"BE10","pop_tot_Sheet_3",2017,"102550.0"
"BE10","pop_tot_Sheet_3",2018,"102192.0"
"BE10","pop_tot_Sheet_3",2019,"103532.0"
"BE10","pop_tot_Sheet_3",2020,"104712.0"
"BE10","pop_tot_Sheet_3",2021,"105813.0"
"BE10","pop_tot_Sheet_3",2022,"105840.0"
"BE10","pop_tot_Sheet_3",2023,"109172.0"
"BE10","pop_tot_Sheet_3",2024,"110121.0"
"BE21","pop_tot_Sheet_3",2015,"120313.0"
"BE21","pop_tot_Sheet_3",2016,"119600.0"
"BE21","pop_tot_Sheet_3",2017,"119167.0"
"BE21","pop_tot_Sheet_3",2018,"119749.0"
"BE21","pop_tot_Sheet_3",2019,"120522.0"
"BE21","pop_tot_Sheet_3",2020,"121964.0"
"BE21","pop_tot_Sheet_3",2021,"123941.0"
"BE21","pop_tot_Sheet_3",2022,"125825.0"
"BE21","pop_tot_Sheet_3",2023,"128977.0"
"BE21","pop_tot_Sheet_3",2024,"129907.0"
"BE22","pop_tot_Sheet_3",2015,"55050.0"
"BE22","pop_tot_Sheet_3",2016,"54403.0"
"BE22","pop_tot_Sheet_3",2017,"53176.0"
"BE22","pop_tot_Sheet_3",2018,"52320.0"
"BE22","pop_tot_Sheet_3",2019,"52226.0"
"BE22","pop_tot_Sheet_3",2020,"52680.0"
"BE22","pop_tot_Sheet_3",2021,"53392.0"
"BE22","pop_tot_Sheet_3",2022,"54320.0"
"BE22","pop_tot_Sheet_3",2023,"55829.0"
"BE22","pop_tot_Sheet_3",2024,"56166.0"
"BE23","pop_tot_Sheet_3",2015,"96509.0"
"BE23","pop_tot_Sheet_3",2016,"95467.0"
"BE23","pop_tot_Sheet_3",2017,"94659.0"
"BE23","pop_tot_Sheet_3",2018,"94352.0"
"BE23","pop_tot_Sheet_3",2019,"95268.0"
"BE23","pop_tot_Sheet_3",2020,"96678.0"
"BE23","pop_tot_Sheet_3",2021,"98912.0"
"BE23","pop_tot_Sheet_3",2022,"101023.0"
"BE23","pop_tot_Sheet_3",2023,"103489.0"
"BE23","pop_tot_Sheet_3",2024,"104741.0"
"BE24","pop_tot_Sheet_3",2015,"67329.0"
"BE24","pop_tot_Sheet_3",2016,"66512.0"
"BE24","pop_tot_Sheet_3",2017,"66628.0"
"BE24","pop_tot_Sheet_3",2018,"66878.0"
"BE24","pop_tot_Sheet_3",2019,"67345.0"
"BE24","pop_tot_Sheet_3",2020,"68466.0"
"BE24","pop_tot_Sheet_3",2021,"69813.0"
"BE24","pop_tot_Sheet_3",2022,"71177.0"
"BE24","pop_tot_Sheet_3",2023,"72634.0"
"BE24","pop_tot_Sheet_3",2024,"73335.0"
"BE25","pop_tot_Sheet_3",2015,"68395.0"
"BE25","pop_tot_Sheet_3",2016,"67822.0"
"BE25","pop_tot_Sheet_3",2017,"67589.0"
"BE25","pop_tot_Sheet_3",2018,"67499.0"
"BE25","pop_tot_Sheet_3",2019,"67897.0"
"BE25","pop_tot_Sheet_3",2020,"68925.0"
"BE25","pop_tot_Sheet_3",2021,"70297.0"
"BE25","pop_tot_Sheet_3",2022,"71706.0"
"BE25","pop_tot_Sheet_3",2023,"74011.0"
"BE25","pop_tot_Sheet_3",2024,"75122.0"
"BE31","pop_tot_Sheet_3",2015,"22084.0"
"BE31","pop_tot_Sheet_3",2016,"22370.0"
"BE31","pop_tot_Sheet_3",2017,"22570.0"
"BE31","pop_tot_Sheet_3",2018,"22889.0"
"BE31","pop_tot_Sheet_3",2019,"23336.0"
"BE31","pop_tot_Sheet_3",2020,"23884.0"
"BE31","pop_tot_Sheet_3",2021,"24230.0"
"BE31","pop_tot_Sheet_3",2022,"24310.0"
"BE31","pop_tot_Sheet_3",2023,"24356.0"
"BE31","pop_tot_Sheet_3",2024,"24146.0"
"BE32","pop_tot_Sheet_3",2015,"81920.0"
"BE32","pop_tot_Sheet_3",2016,"81563.0"
"BE32","pop_tot_Sheet_3",2017,"81713.0"
"BE32","pop_tot_Sheet_3",2018,"82335.0"
"BE32","pop_tot_Sheet_3",2019,"83909.0"
"BE32","pop_tot_Sheet_3",2020,"85469.0"
"BE32","pop_tot_Sheet_3",2021,"86826.0"
"BE32","pop_tot_Sheet_3",2022,"87757.0"
"BE32","pop_tot_Sheet_3",2023,"88565.0"
"BE32","pop_tot_Sheet_3",2024,"87913.0"
"BE33","pop_tot_Sheet_3",2015,"69641.0"
"BE33","pop_tot_Sheet_3",2016,"70011.0"
"BE33","pop_tot_Sheet_3",2017,"70255.0"
"BE33","pop_tot_Sheet_3",2018,"70787.0"
"BE33","pop_tot_Sheet_3",2019,"72148.0"
"BE33","pop_tot_Sheet_3",2020,"73119.0"
"BE33","pop_tot_Sheet_3",2021,"74065.0"
"BE33","pop_tot_Sheet_3",2022,"74643.0"
"BE33","pop_tot_Sheet_3",2023,"75032.0"
"BE33","pop_tot_Sheet_3",2024,"74682.0"
"BE34","pop_tot_Sheet_3",2015,"17629.0"
