mean,sd,min,max,cv,n,region_id,indicator
4275.2,1375.884911207652,445,5176,0.3218293673296342,10,BE10,emp_pers_total_20_64_y
7247.8,2300.4402380607257,756,8348,0.31739841580351635,10,BE21,emp_pers_total_20_64_y
3417.6,1075.6164330797067,373,3937,0.31472859113989543,10,BE22,emp_pers_total_20_64_y
4991,2985.930489627796,651,7196,0.5982629712738521,10,BE23,emp_pers_total_20_64_y
4964.6,87.97499644785444,4821,5083,0.01772046014741458,10,BE24,emp_pers_total_20_64_y
20955000000002616,27057401636764972,527,53620000000000010,1.291214585385903,10,BE25,emp_pers_total_20_64_y
1603000000001511.8,5069131089249381,1595,1603e13,3.1622776601650657,10,BE31,emp_pers_total_20_64_y
4310.2,1353.4644271481816,475,5001,0.3140142979787902,10,BE32,emp_pers_total_20_64_y
4068.7,97.45089931743973,3936,4171,0.023951360217622272,10,BE33,emp_pers_total_20_64_y
965.5,446.1074235353334,121,1235,0.46204808237735207,10,BE34,emp_pers_total_20_64_y
1926,59.9666574022598,1829,2038,0.031135336138244964,10,BE35,emp_pers_total_20_64_y
2671000000002279.5,8446443630308940,2423,2671e13,3.1622776601653806,10,BG31,emp_pers_total_20_64_y
6065000000002123,12824955923683162,320,3244e13,2.1145846535331696,10,BG32,emp_pers_total_20_64_y
3763,180.27756377319946,3511,3996,0.04790793616082898,10,BG33,emp_pers_total_20_64_y
4105.4,163.33346938769844,3881,4365,0.039785031760047364,10,BG34,emp_pers_total_20_64_y
9856.5,242.05153262155653,9556,10287,0.024557554164415008,10,BG41,emp_pers_total_20_64_y
17127000000004008,27618275772873916,5406,60770000000000010,1.61255770262553,10,BG42,emp_pers_total_20_64_y
6398000000005356,20232252469755408,648,6398e13,3.162277660165438,10,CZ01,emp_pers_total_20_64_y
6477000000005943,20482072404908508,6339,64770000000000010,3.162277660165156,10,CZ02,emp_pers_total_20_64_y
40798000000001750,28164366296594180,5801,5908e13,0.69033693555059,10,CZ03,emp_pers_total_20_64_y
5187000000004105,16402734223291944,491,51870000000000010,3.162277660165599,10,CZ04,emp_pers_total_20_64_y
5751.2,2664.3363067667633,696,7166,0.4632661543272297,10,CZ05,emp_pers_total_20_64_y
7272.2,2271.891712990642,812,8135,0.3124077600988205,10,CZ06,emp_pers_total_20_64_y
17207000000002400,27708440771719876,543,58170000000000010,1.6103005039644338,10,CZ07,emp_pers_total_20_64_y
21841000000002324,28226751082378468,539,5668e13,1.2923744829621109,10,CZ08,emp_pers_total_20_64_y
8080.6,2537.2549120829167,927,9537,0.313993380699814,10,DK01,emp_pers_total_20_64_y
3533.1,112.37580799363457,3341,3681,0.03180657439462075,10,DK02,emp_pers_total_20_64_y
21403000000002696,27634605941743184,504,54170000000000010,1.291155723110765,10,DK03,emp_pers_total_20_64_y
12205000000004258,25737091802383756,570,62270000000000010,2.108733453697237,10,DK04,emp_pers_total_20_64_y
5230000000001825,11026171895388056,251,2634e13,2.108254664509409,10,DK05,emp_pers_total_20_64_y
2067200000016777.8,6537060379094179,2039,20672e12,3.1622776601398623,10,DE11,emp_pers_total_20_64_y
1298400000011027,4105901313958749,1321,12984e12,3.1622776601385385,10,DE12,emp_pers_total_20_64_y
2181500000006915,4599047419480815,1085,10949e12,2.108204180364995,10,DE13,emp_pers_total_20_64_y
9437.9,359.83713908748587,8824,9895,0.038126822607517125,10,DE14,emp_pers_total_20_64_y
9364300000012090,12091879442638516,2446,23962e12,1.291274248221747,10,DE21,emp_pers_total_20_64_y
25053000000003152,32375228888077076,611,64770000000000010,1.2922695440894505,10,DE22,emp_pers_total_20_64_y
33804000000001688,29214901524923624,555,63370000000000010,0.8642439215750256,10,DE23,emp_pers_total_20_64_y
5593000000004299,17686618953320236,521,5593e13,3.1622776601656786,10,DE24,emp_pers_total_20_64_y
8586,593.76220455293,7578,9564,0.0691546942176718,10,DE25,emp_pers_total_20_64_y
31569000000002748,33307606555323840,665,6453e13,1.0550732223168595,10,DE26,emp_pers_total_20_64_y
8505.2,2662.4463604403795,982,10054,0.31303747830037854,10,DE27,emp_pers_total_20_64_y
15699.8,4921.570453964196,1791,17838,0.31347981846674455,10,DE30,emp_pers_total_20_64_y
4705600000005940,6075509310149698,1192,11909e12,1.291123195796929,10,DE40,emp_pers_total_20_64_y
15356000000001268,16198469200649830,301,3144e13,1.054862542370962,10,DE50,emp_pers_total_20_64_y
8306.9,2599.5132215260783,924,9334,0.3129342139096508,10,DE60,emp_pers_total_20_64_y
13894.1,8272.468615164937,1911,19675,0.5953943483323811,10,DE71,emp_pers_total_20_64_y
4357.8,1354.7766359563975,515,4974,0.3108854550361186,10,DE72,emp_pers_total_20_64_y
27818000000002356,29339086102555888,576,5693e13,1.0546799231631823,10,DE73,emp_pers_total_20_64_y
5800.5,2678.4640810235505,720,7254,0.4617643446295234,10,DE80,emp_pers_total_20_64_y
5370.6,3204.4218823369683,718,7538,0.5966599415962776,10,DE91,emp_pers_total_20_64_y
9180.3,2879.2256694388434,1020,10488,0.313630891086222,10,DE92,emp_pers_total_20_64_y
7176.6,2253.692732679709,787,8105,0.3140334883760707,10,DE93,emp_pers_total_20_64_y
3630400000008245,5845623304845747,11355,12194e12,1.6101871156986753,10,DE94,emp_pers_total_20_64_y
2373700000017006,7506298481935707,2383,23737e12,3.1622776601432063,10,DEA1,emp_pers_total_20_64_y
8398000000010435,10842037457140032,2107,21188e12,1.2910261320703216,10,DEA2,emp_pers_total_20_64_y
7368000000002576,6349145576809006,1173,12996e12,0.861718997937946,10,DEA3,emp_pers_total_20_64_y
9609.6,340.53134951131887,9156,10288,0.035436578995100616,10,DEA4,emp_pers_total_20_64_y
16233.3,275.00305048813146,15717,16732,0.016940674446238996,10,DEA5,emp_pers_total_20_64_y
6266.9,1981.8520771126073,703,7385,0.3162412160897106,10,DEB1,emp_pers_total_20_64_y
2075200000007760,4375334928128079.5,9406,10506e12,2.108391927578893,10,DEB3,emp_pers_total_20_64_y
4525.9,77.74381004298671,4338,4616,0.01717753596919656,10,DEC0,emp_pers_total_20_64_y
6718.7,2106.9532004505672,735,7597,0.3135953682186386,10,DED2,emp_pers_total_20_64_y
12421000000004446,26217256594335164,618,6483e13,2.110720279713854,10,DED4,emp_pers_total_20_64_y
5277000000003451,16687339212707328,500,52770000000000010,3.1622776601660822,10,DED5,emp_pers_total_20_64_y
7940.4,3683.9992821811343,943,10062,0.4639563853434505,10,DEE0,emp_pers_total_20_64_y
1301400000010909.3,4115388146939296,1357,13014e12,3.1622776601389258,10,DEF0,emp_pers_total_20_64_y
8841.1,2770.181239558163,989,10112,0.31332992948367994,10,DEG0,emp_pers_total_20_64_y
12255000000004416,25835972015774436,600,61470000000000010,2.108198450898827,10,EE00,emp_pers_total_20_64_y
3723.7,314.96774085257965,3321,4226,0.08458461767934572,10,IE04,emp_pers_total_20_64_y
5237,3178.957551008052,636,8168,0.6070188182180737,10,IE05,emp_pers_total_20_64_y
4432200000005889,5728590534420584,1090,11576e12,1.2924936903598603,10,IE06,emp_pers_total_20_64_y
11855.6,5589.822362512466,1342,15459,0.4714921524437789,10,EL30,emp_pers_total_20_64_y
41830000000000270,36076032363760376,633,739e14,0.862443996264885,10,EL41,emp_pers_total_20_64_y
1239,60.04442799572108,1129,1296,0.04846200806757149,10,EL42,emp_pers_total_20_64_y
2096.2,667.4714808722375,242,2478,0.31841975043995685,10,EL43,emp_pers_total_20_64_y
1489.7,890.8882022391412,192,2142,0.5980319542452448,10,EL51,emp_pers_total_20_64_y
12486000000004614,26325500607245708,590,6323e13,2.108401458212076,10,EL52,emp_pers_total_20_64_y
7960000000000614,25171730174940076,82,79599999999999980,3.1622776601681073,10,EL53,emp_pers_total_20_64_y
1082.8,70.21047721751442,1003,1205,0.0648415932928652,10,EL54,emp_pers_total_20_64_y
2193.4,693.82661939261,241,2559,0.31632471021820463,10,EL61,emp_pers_total_20_64_y
28250000000000372,36491802732485600,71,734e14,1.2917452294685,10,EL62,emp_pers_total_20_64_y
2187.3,164.87844007025296,2007,2464,0.07537989305090886,10,EL63,emp_pers_total_20_64_y
1548.2,722.5268622457345,184,2087,0.4666883233727777,10,EL64,emp_pers_total_20_64_y
2022.6,90.19386527549051,1864,2165,0.044593031383116044,10,EL65,emp_pers_total_20_64_y
6360700000003280,5479098832021991,1080,11111e12,0.8613987190119272,10,ES11,emp_pers_total_20_64_y
3825.8,87.59350559386365,3715,4027,0.02289547430442356,10,ES12,emp_pers_total_20_64_y
1956.1,905.5444586913812,226,2493,0.46293362235641394,10,ES13,emp_pers_total_20_64_y
7480,3445.122058795595,947,9648,0.46057781534700465,10,ES21,emp_pers_total_20_64_y
11092000000001696,14335099736116336,2613,2901e13,1.2923818730719567,10,ES22,emp_pers_total_20_64_y
6867000000000318,7247433338775538,129,1428e13,1.0554002240825984,10,ES23,emp_pers_total_20_64_y
16558000000002988,26671406995338684,577,5648e13,1.6107867493256354,10,ES24,emp_pers_total_20_64_y
30258.6,1909.6458775851029,27725,33647,0.06311084708430341,10,ES30,emp_pers_total_20_64_y
8749.8,2735.092393320562,987,9968,0.31258913270252603,10,ES41,emp_pers_total_20_64_y
5881.6,3538.8588305020335,786,8798,0.6016830166114719,10,ES42,emp_pers_total_20_64_y
2768.6,1654.6479450995678,374,4105,0.59764788886064,10,ES43,emp_pers_total_20_64_y
33569.5,2121.1490727643095,30345,37104,0.06318679374921608,10,ES51,emp_pers_total_20_64_y
2164200000014215,6843801312131412,2252,21642e12,3.162277660145301,10,ES52,emp_pers_total_20_64_y
27273000000002200,28796643728043500,548,5718e13,1.0558663780310629,10,ES53,emp_pers_total_20_64_y
27852.2,9003.591009517628,2905,33818,0.32326318960504474,10,ES61,emp_pers_total_20_64_y
29278000000002012,31058795784051656,582,6543e13,1.0608236827669075,10,ES62,emp_pers_total_20_64_y
222,103.12775248851948,27,284,0.4645394256239616,10,ES63,emp_pers_total_20_64_y
244,77.46110134914312,29,289,0.317463530119439,10,ES64,emp_pers_total_20_64_y
7130.6,3371.8163980593936,818,9824,0.4728657333267037,10,ES70,emp_pers_total_20_64_y
49017.5,15460.189550728168,5158,55649,0.31540142909630575,10,FR10,emp_pers_total_20_64_y
1047600000007159.9,3312802076789878.5,958,10476e12,3.1622776601443654,10,FRB0,emp_pers_total_20_64_y
24549000000003152,31698042508784628,624,62370000000000010,1.2912152229736673,10,FRC1,emp_pers_total_20_64_y
2625,2278.3869537703886,449,4944,0.8679569347696718,10,FRC2,emp_pers_total_20_64_y
11031000000003482,23255751236102224,564,5543e13,2.1082178620338032,10,FRD1,emp_pers_total_20_64_y
7102.3,173.57486377161104,6914,7404,0.02443924697233446,10,FRD2,emp_pers_total_20_64_y
13604.1,4304.197317089965,1447,15718,0.31638971465146276,10,FRE1,emp_pers_total_20_64_y
6672.1,2098.1209821065027,710,7509,0.3144618608993424,10,FRE2,emp_pers_total_20_64_y
7345.8,2319.381325555014,768,8344,0.31574250940061177,10,FRF1,emp_pers_total_20_64_y
4388.9,1384.3245003330044,487,5037,0.3154149104178734,10,FRF2,emp_pers_total_20_64_y
8081.4,2526.328834055016,902,9156,0.31261029451023536,10,FRF3,emp_pers_total_20_64_y
12602.6,5826.72416447603,1505,16154,0.46234302163649005,10,FRG0,emp_pers_total_20_64_y
10986.9,5110.922474900636,1298,14504,0.465183306929219,10,FRH0,emp_pers_total_20_64_y
11382.9,5271.146311129424,1440,15384,0.4630758691659792,10,FRI1,emp_pers_total_20_64_y
8226000000001705,13251951805927892,286,2846e13,1.6109836865943528,10,FRI2,emp_pers_total_20_64_y
5593.2,2589.677148474947,681,6965,0.46300456777425214,10,FRI3,emp_pers_total_20_64_y
2114800000007190.5,4459386624484680.5,980,10774e12,2.1086564329816144,10,FRJ1,emp_pers_total_20_64_y
2577500000007666,5434636597271296,1225,13084e12,2.108491405336618,10,FRJ2,emp_pers_total_20_64_y
5387000000004796,17035189755325378,5115,53870000000000010,3.162277660165252,10,FRK1,emp_pers_total_20_64_y
25372.2,7977.39903031614,2811,29325,0.3144149514159647,10,FRK2,emp_pers_total_20_64_y
15532,7195.626217826122,1867,19706,0.4632775056545276,10,FRL0,emp_pers_total_20_64_y
2695000000000851.5,5681598464438156,96,1352e13,2.1081998012750875,10,FRM0,emp_pers_total_20_64_y
859.7,514.7124439917885,113,1215,0.5987116947676963,10,FRY1,emp_pers_total_20_64_y
1233.9,31.035642592205356,1182,1278,0.025152477990279077,10,FRY2,emp_pers_total_20_64_y
26560000000000388,34316345311753888,631,69900000000000010,1.2920310734846907,10,FRY3,emp_pers_total_20_64_y
16107000000001036,13875772691196e3,2548,2834e13,0.8614746812687097,10,FRY4,emp_pers_total_20_64_y
10600000000003528,22359968694072828,482,5463e13,2.109431008874093,10,HR03,emp_pers_total_20_64_y
14331,6646.038318677777,1725,17962,0.46375258660789737,10,ITC1,emp_pers_total_20_64_y
483.4,150.7862357408291,55,547,0.31192849760204616,10,ITC2,emp_pers_total_20_64_y
46865000000000630,24720458126821484,606,60320000000000010,0.527482302930143,10,ITC3,emp_pers_total_20_64_y
21498900000021172,22662976446890680,41548,43511e12,1.0541458608053604,10,ITC4,emp_pers_total_20_64_y
4314.5,1350.5552150463486,480,4913,0.3130270518128053,10,ITF1,emp_pers_total_20_64_y
924.3,290.073573042733,102,1047,0.31383054532374016,10,ITF2,emp_pers_total_20_64_y
14433.2,4533.559989431901,1584,16535,0.314106365146461,10,ITF3,emp_pers_total_20_64_y
7251900000004678,6249541715636449,11515,12614e12,0.8617799081113112,10,ITF4,emp_pers_total_20_64_y
1840.5,32.5106820052186,1796,1893,0.017664048902590924,10,ITF5,emp_pers_total_20_64_y
5187000000003674,16402734223292094,517,51870000000000010,3.162277660165891,10,ITF6,emp_pers_total_20_64_y
9702.3,5811.503956234852,1269,14181,0.5989820925177383,10,ITG1,emp_pers_total_20_64_y
16363000000003390,26347270594459204,539,5478e13,1.6101735986343424,10,ITG2,emp_pers_total_20_64_y
2429.1,49.55905568107609,2347,2496,0.020402229501081098,10,ITH1,emp_pers_total_20_64_y
2317.1,49.44458177259331,2253,2412,0.02133899347140534,10,ITH2,emp_pers_total_20_64_y
6261200000012494,10083663507533336,2052,21377e12,1.6105001449423775,10,ITH3,emp_pers_total_20_64_y
4499.2,1409.9359953952205,492,5096,0.3133748211671454,10,ITH4,emp_pers_total_20_64_y
17497.9,5499.6102175012775,1858,19523,0.31430115713892964,10,ITH5,emp_pers_total_20_64_y
15272.4,321.3748935779244,14821,15945,0.02104285466448786,10,ITI1,emp_pers_total_20_64_y
3130.7,978.1629096309969,350,3546,0.3124422364426476,10,ITI2,emp_pers_total_20_64_y
18084000000003696,29123185952087240,615,6158e13,1.610439391289609,10,ITI3,emp_pers_total_20_64_y
13637500000006992,11740563664767324,2247,23263e12,0.8609029268385925,10,ITI4,emp_pers_total_20_64_y
3375.8,1625.9798276731478,368,4663,0.4816576300945399,10,CY00,emp_pers_total_20_64_y
7669.4,2396.1164041469733,868,8632,0.3124255357846733,10,LV00,emp_pers_total_20_64_y
3462.5,1615.3846635124128,421,4506,0.46653708693499285,10,LT01,emp_pers_total_20_64_y
7392.8,3434.7650995212016,874,9271,0.46460949836614024,10,LT02,emp_pers_total_20_64_y
12078000000001404,15628202996149340,267,3149e13,1.2939396420059217,10,LU00,emp_pers_total_20_64_y
7587.5,2375.6571605440977,866,8853,0.3131014379629783,10,HU11,emp_pers_total_20_64_y
18206000000003656,29377810674041940,656,65070000000000010,1.6136334545773943,10,HU12,emp_pers_total_20_64_y
10381000000003964,21885098151733744,4809,5198e13,2.1081878577907127,10,HU21,emp_pers_total_20_64_y
4650.9,122.19697213924738,4439,4815,0.026273833481529896,10,HU22,emp_pers_total_20_64_y
2989.5,1383.746865900295,362,3742,0.46286899678885934,10,HU23,emp_pers_total_20_64_y
4249.2,1331.2601215056025,469,4763,0.3132966491352731,10,HU31,emp_pers_total_20_64_y
11799000000004992,24880128817991868,6056,60120000000000010,2.1086641934046395,10,HU32,emp_pers_total_20_64_y
27117000000002716,28586501495944104,5165,54970000000000010,1.054191153001484,10,HU33,emp_pers_total_20_64_y
5285000000001643,11148380300891876,308,2724e13,2.109438089099037,10,MT00,emp_pers_total_20_64_y
5752000000002106,12127105361314278,2514,2906e13,2.108328470325076,10,NL11,emp_pers_total_20_64_y
11888000000001742,15357527868188166,2813,3091e13,1.2918512675122742,10,NL12,emp_pers_total_20_64_y
2158.1,95.3245333933855,2039,2312,0.044170582175703396,10,NL13,emp_pers_total_20_64_y
10834000000003792,22840515269531172,574,54470000000000010,2.1082255186932968,10,NL21,emp_pers_total_20_64_y
8795.2,2804.929977339502,954,10432,0.3189159970597032,10,NL22,emp_pers_total_20_64_y
1853.3,600.1827592029318,189,2224,0.3238454428332876,10,NL23,emp_pers_total_20_64_y
10222.7,6139.376064027643,1345,14844,0.6005630669028381,10,NL32,emp_pers_total_20_64_y
1576.2,498.7038310571828,168,1821,0.31639628921277935,10,NL34,emp_pers_total_20_64_y
4836000000006265,6254202977903864,1211,12961e12,1.293259507422614,10,NL41,emp_pers_total_20_64_y
5163000000002665,16326839559448406,484,5163e13,3.162277660166566,10,NL42,emp_pers_total_20_64_y
2600000000000696.5,5481938019025792,131,1318e13,2.10843769962474,10,AT11,emp_pers_total_20_64_y
7112.5,2236.1514185463084,759,7974,0.31439738749332985,10,AT12,emp_pers_total_20_64_y
6842.2,3175.9948152770444,843,8982,0.464177430545299,10,AT13,emp_pers_total_20_64_y
2473.6,37.520957106958534,2415,2516,0.015168562866655294,10,AT21,emp_pers_total_20_64_y
23169000000002396,29921048871245016,586,5913e13,1.2914259947016238,10,AT22,emp_pers_total_20_64_y
6479.7,2025.9661645743247,730,7334,0.31266357463683886,10,AT31,emp_pers_total_20_64_y
10885000000001598,14058131889486012,2551,2791e13,1.291514183691681,10,AT32,emp_pers_total_20_64_y
2992.7,1384.9892939818865,365,3825,0.46278921842546417,10,AT33,emp_pers_total_20_64_y
