mean,sd,min,max,cv,n,region_id,indicator
86476.98,8560.009089675861,76049.18,103285.03,0.0989859855151725,10,BE10,gdp_total_mil_euro
91243.459,12472.861442782663,76055.11,114382.42,0.1366986913854577,10,BE21,gdp_total_mil_euro
29564.847,3737.83850033694,25494.5,36725.81,0.12642847434106252,10,BE22,gdp_total_mil_euro
58305.997,8762.206879148716,47924.08,74451.62,0.15027968528089342,10,BE23,gdp_total_mil_euro
52369.336,8670.86494157071,42756.87,69557.57,0.16557141265970432,10,BE24,gdp_total_mil_euro
48391.596,6446.31920540224,41049.89,60930.99,0.13321154370279997,10,BE25,gdp_total_mil_euro
20511.211,3560.3584800642693,15879.51,26475.1,0.17358109572683297,10,BE31,gdp_total_mil_euro
34834.782,3710.471771845492,30735.48,42079.15,0.10651629086829055,10,BE32,gdp_total_mil_euro
33027.88,4285.843120675841,28358.8,41195.63,0.1297644027008649,10,BE33,gdp_total_mil_euro
7412.582,1046.4011203570285,6303.52,9424.04,0.1411655372388499,10,BE34,gdp_total_mil_euro
13969.201,1770.4251345083444,12126.9,17622.97,0.12673775218126968,10,BE35,gdp_total_mil_euro
4246.551,1211.5132394878913,3060.44,6526.93,0.2852934627390301,10,BG31,gdp_total_mil_euro
4690.633,1111.9812456457068,3555.6,6893.14,0.23706421833592756,10,BG32,gdp_total_mil_euro
6408.775,1545.2406538303346,4779.18,9474.43,0.24111326327267452,10,BG33,gdp_total_mil_euro
7602.159,2351.43089380086,5453.75,11903.81,0.3093109330916204,10,BG34,gdp_total_mil_euro
30618.051,8929.954825659595,20315.97,47536.7,0.29165654030883925,10,BG41,gdp_total_mil_euro
8593.687,2185.690604149585,5859.74,12374.32,0.254336771184427,10,BG42,gdp_total_mil_euro
59379.547999999995,14530.55624143962,41276.12,85494.29,0.24470641375443986,10,CZ01,gdp_total_mil_euro
26274.859,6197.972565382348,18239.69,37757.12,0.23588985065085782,10,CZ02,gdp_total_mil_euro
21766.288,4904.314296618619,15835.44,31454.59,0.2253169808567551,10,CZ03,gdp_total_mil_euro
15956.815,3338.9252038185055,12092.47,22675.79,0.2092475975825066,10,CZ04,gdp_total_mil_euro
25708.857,5644.50412470012,18396.16,36454.33,0.21955484542545473,10,CZ05,gdp_total_mil_euro
32684.288,7938.399915783198,23184.6,47645.62,0.2428812252475317,10,CZ06,gdp_total_mil_euro
20312.557,4384.3326463925305,14809.14,28611.96,0.21584346305551438,10,CZ07,gdp_total_mil_euro
19816.887,3840.3405062573693,15157.91,27292.07,0.19379131072692546,10,CZ08,gdp_total_mil_euro
130907.72200000001,22228.979391634395,105938.94,173223.11,0.16980647934301685,10,DK01,gdp_total_mil_euro
31136.170000000002,3564.2601915903338,26231.82,37650.98,0.11447330200183047,10,DK02,gdp_total_mil_euro
58322.883,6021.451225825973,51116.79,69456.44,0.10324337405998898,10,DK03,gdp_total_mil_euro
63842.973,7395.711600616267,53661.53,73388.63,0.11584221807177224,10,DK04,gdp_total_mil_euro
25991.914,2216.100582390409,22714.05,29451.62,0.08526115400314146,10,DK05,gdp_total_mil_euro
220445.131,22330.562185989977,187384.86,261691.93,0.10129759765930134,10,DE11,gdp_total_mil_euro
127415.694,13754.640821781808,109251.07,153120.55,0.10795091554249045,10,DE12,gdp_total_mil_euro
89408.72899999999,9735.810144721108,76710.87,107128.73,0.1088910473687766,10,DE13,gdp_total_mil_euro
83114.987,9751.488302598338,69335.85,100127.67,0.11732527014169344,10,DE14,gdp_total_mil_euro
