mean,sd,min,max,cv,n,region_id,indicator
1243.1,121.76064863310953,1066,1423,0.09794919848210887,10,BE10,labour_mk_slack_total_20_64_y
798.6,78.97847808105699,686,934,0.0988961658916316,10,BE21,labour_mk_slack_total_20_64_y
363.6,64.03679497844276,271,476,0.17611879807052463,10,BE22,labour_mk_slack_total_20_64_y
477.5,53.41296138995145,386,553,0.11185960500513392,10,BE23,labour_mk_slack_total_20_64_y
413.9,44.69016794677674,352,484,0.1079733460903038,10,BE24,labour_mk_slack_total_20_64_y
365.5,65.77782469968297,263,454,0.17996668864482343,10,BE25,labour_mk_slack_total_20_64_y
234.4,22.30196802476808,204,275,0.09514491478143379,10,BE31,labour_mk_slack_total_20_64_y
914.4,109.41480704182592,777,1069,0.11965748801599511,10,BE32,labour_mk_slack_total_20_64_y
758.3,101.17537030105477,590,922,0.13342393551503992,10,BE33,labour_mk_slack_total_20_64_y
161.5,12.95505049520585,148,182,0.08021703093006718,10,BE34,labour_mk_slack_total_20_64_y
304.4,26.93696345173301,269,354,0.0884919955707392,10,BE35,labour_mk_slack_total_20_64_y
581.5,216.01453140420386,325,954,0.37147812795219926,10,BG31,labour_mk_slack_total_20_64_y
412.6,168.31663283493074,229,746,0.4079414271326484,10,BG32,labour_mk_slack_total_20_64_y
441.7,189.6921775462083,221,758,0.4294593107226813,10,BG33,labour_mk_slack_total_20_64_y
538.8,184.52509615526856,362,910,0.3424741947944851,10,BG34,labour_mk_slack_total_20_64_y
534.6,220.71258333961035,331,1014,0.41285556180248845,10,BG41,labour_mk_slack_total_20_64_y
609.9,253.86148891778672,319,1053,0.41623461045710236,10,BG42,labour_mk_slack_total_20_64_y
243.9,98.9516717056025,126,420,0.40570591105208076,10,CZ01,labour_mk_slack_total_20_64_y
230.1,75.87189495751667,124,348,0.32973444136252356,10,CZ02,labour_mk_slack_total_20_64_y
240.9,88.35716659608822,132,369,0.36677943792481615,10,CZ03,labour_mk_slack_total_20_64_y
327.7,78.26457975639073,249,490,0.23882996568932174,10,CZ04,labour_mk_slack_total_20_64_y
352.3,120.96652429494699,217,507,0.3433622602751831,10,CZ05,labour_mk_slack_total_20_64_y
379.4,115.54623894066536,236,575,0.30454991813564936,10,CZ06,labour_mk_slack_total_20_64_y
293.5,92.05101242728887,177,432,0.3136320695989399,10,CZ07,labour_mk_slack_total_20_64_y
396,102.18719206545516,282,589,0.2580484648117555,10,CZ08,labour_mk_slack_total_20_64_y
999.8,129.93057975532764,824,1211,0.12995657106954156,10,DK01,labour_mk_slack_total_20_64_y
339.6,52.302963587162054,247,439,0.15401343812474103,10,DK02,labour_mk_slack_total_20_64_y
537.4,89.73194649745554,423,719,0.16697422124573044,10,DK03,labour_mk_slack_total_20_64_y
621.1,78.54149646312239,508,767,0.12645547651444594,10,DK04,labour_mk_slack_total_20_64_y
