mean,sd,min,max,cv,n,region_id,indicator
793831,32352.379081332212,768140,865530,0.04075474387033539,10,BE10,pop_tot_total
1070509,15022.010850748311,1054710,1096240,0.014032587162507097,10,BE21,pop_tot_total
483788,15935.030453549674,470700,514620,0.03293804404728864,10,BE22,pop_tot_total
867613,5135.352524954403,859500,875270,0.005918943728314817,10,BE23,pop_tot_total
674110,9668.21941552149,666080,695450,0.014342198477283364,10,BE24,pop_tot_total
672185,25188.014014606233,646650,714570,0.037471847801730525,10,BE25,pop_tot_total
256108,3227.395923100301,252130,261530,0.01260169898285216,10,BE31,pop_tot_total
813160,14307.902245495901,792850,832980,0.017595432935087685,10,BE32,pop_tot_total
683212,14151.471694177644,668860,713730,0.020713148618843998,10,BE33,pop_tot_total
185092,3888.326689521399,179520,190390,0.021007535115085466,10,BE34,pop_tot_total
311486,3874.509861474954,305670,316580,0.012438792952090797,10,BE35,pop_tot_total
284764,34619.24615650151,257200,357210,0.12157170905206245,10,BG31,pop_tot_total
300064,54286.59670878459,252590,404440,0.18091672679423254,10,BG32,pop_tot_total
383725,55429.986319079435,330390,498160,0.14445237167002264,10,BG33,pop_tot_total
404938,50729.50375384241,361540,513960,0.12527721219999705,10,BG34,pop_tot_total
1015039,133406.57525441208,899430,1286070,0.13142999949205111,10,BG41,pop_tot_total
580994,73944.64298829678,515280,734580,0.1272726447920233,10,BG42,pop_tot_total
592438,51770.63534905134,527490,676680,0.08738574390746601,10,CZ01,pop_tot_total
642186,47406.229126561,587090,730740,0.07382009126103807,10,CZ02,pop_tot_total
604359,55682.37192625089,543670,713210,0.09213459537501864,10,CZ03,pop_tot_total
569767,57669.11113316113,514650,682550,0.10121525313533626,10,CZ04,pop_tot_total
769722,72338.1872104139,703110,912440,0.09397962798310806,10,CZ05,pop_tot_total
840842,92574.38988306768,751680,1019500,0.11009724761972842,10,CZ06,pop_tot_total
606996,73898.94198611146,541560,751900,0.12174535250003535,10,CZ07,pop_tot_total
617959,79330.79960239626,548410,772150,0.128375506469517,10,CZ08,pop_tot_total
1313370,17461.0951673841,1285020,1336740,0.013294878950626329,10,DK01,pop_tot_total
420225,16623.434763409557,398570,443240,0.03955841457174027,10,DK02,pop_tot_total
734768,23606.170003247502,698990,762840,0.03212737898662912,10,DK03,pop_tot_total
948933,12969.151475713436,920740,966860,0.01366708869405262,10,DK04,pop_tot_total
402675,14595.030546959011,375340,419980,0.03624518668146523,10,DK05,pop_tot_total
2356387,65728.31421845536,2245730,2426880,0.027893683940055414,10,DE11,pop_tot_total
1754558,40460.676327625675,1698470,1807190,0.02306032421135447,10,DE12,pop_tot_total
1364419,36670.841110857786,1307090,1406920,0.02687652481448718,10,DE13,pop_tot_total
