"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","37.1","37.1","36.4","36.3","36.0","35.6","35.1","35.1","34.6","34.8"
"BE21","36.8","36.7","36.4","36.2","36.2","35.4","35.0","34.6","34.6","34.5"
"BE22","36.2","36.4","35.8","35.7","35.7","35.1","33.6","33.3","33.2","33.1"
"BE23","37.2","37.1","36.6","36.7","36.5","35.9","35.6","35.1","35.3","34.6"
"BE24","38.0","37.9","37.4","37.1","37.3","36.4","35.8","35.9","35.7","34.8"
"BE25","37.9","37.8","37.7","37.7","37.6","36.6","35.9","36.1","35.4","35.3"
"BE31","38.0","37.3","36.3","36.8","36.5","35.8","34.8","34.9","35.1","34.4"
"BE32","36.6","37.5","36.0","36.3","35.8","35.3","33.4","34.6","34.4","34.2"
"BE33","36.3","36.1","35.5","35.4","35.9","34.6","34.2","34.3","35.0","34.5"
"BE34","36.1","35.7","35.7","35.8","35.9","35.6","35.5","34.8","35.6","35.5"
"BE35","37.1","36.5","36.8","37.1","36.9","35.8","35.4","35.0","35.4","34.3"
"BG31","39.7","39.8","39.8","40.1","39.7","39.5","39.5","39.3","39.1","38.9"
"BG32","39.6","39.6","39.3","39.2","39.0","38.8","38.6","38.6","38.6","38.4"
"BG33","41.1","40.9","40.6","40.3","40.0","39.8","39.7","39.5","39.2","39.2"
"BG34","40.2","40.2","40.2","40.4","40.5","40.4","40.4","40.1","39.9","39.7"
"BG41","39.6","39.9","39.4","39.3","39.2","38.8","39.0","38.6","38.4","38.6"
"BG42","41.2","41.1","41.0","40.6","40.1","39.8","40.3","39.8","39.5","39.5"
"CZ01","38.8","38.7","38.8","38.9","38.5","36.6","37.5","36.2","37.1","36.9"
"CZ02","40.2","40.6","40.0","39.5","39.6","38.4","38.3","38.0","38.2","38.2"
"CZ03","39.0","39.3","38.9","38.9","38.8","37.9","38.2","37.9","37.9","37.9"
"CZ04","39.9","40.5","40.1","40.1","40.0","39.0","39.4","38.8","38.7","38.8"
"CZ05","39.4","39.8","39.5","39.4","39.4","38.6","38.7","38.3","37.9","38.1"
"CZ06","39.0","39.3","38.9","38.9","38.9","38.1","38.5","38.1","37.8","37.8"
"CZ07","39.2","39.1","38.8","38.6","38.9","37.9","38.3","38.1","37.7","38.1"
"CZ08","38.4","38.6","38.4","37.9","37.6","37.1","37.3","36.6","36.8","36.9"
"DK01","35.5","35.0","34.8","34.5","34.2","34.4","35.0","34.1","34.0","33.8"
"DK02","36.3","36.3","36.3","35.9","35.0","35.5","35.6","35.5","35.3","34.7"
"DK03","36.2","35.6","35.9","35.5","35.0","35.3","35.4","35.1","34.5","33.9"
"DK04","35.5","34.9","35.2","34.9","34.7","34.5","34.8","34.2","33.6","33.5"
"DK05","36.3","35.9","35.4","35.4","35.2","35.3","35.4","35.3","35.0","33.9"
"DE11","35.4","35.5","35.3","35.1","35.3","34.1","34.3","34.3","33.9","33.7"
"DE12","35.2","35.4","35.0","35.1","35.1","33.6","34.5","34.4","33.9","33.8"
"DE13","35.1","35.2","34.7","34.8","35.1","34.1","34.1","34.1","33.6","33.4"
"DE14","34.8","35.1","34.7","34.6","34.8","33.7","34.1","33.7","33.5","33.5"
"DE21","36.4","36.3","36.1","36.1","36.0","35.0","34.9","35.1","34.4","34.4"
"DE22","34.9","34.9","34.4","34.3","34.5","33.7","34.1","33.9","33.6","33.7"
"DE23","35.3","35.2","34.5","34.8","34.6","33.3","33.9","33.8","33.4","33.1"
"DE24","34.7","35.3","34.5","34.6","34.4","33.7","34.5","34.2","34.1","33.8"
"DE25","35.4","35.6","35.2","35.5","35.2","34.7","34.8","34.4","33.5","33.9"
"DE26","34.8","34.4","34.5","34.6","34.3","33.2","33.7","33.5","33.4","33.4"
"DE27","35.6","35.4","35.3","35.3","35.0","33.9","34.7","34.5","33.7","33.7"
"DE30","35.9","36.1","35.9","36.0","35.8","34.9","34.9","34.9","33.9","34.1"
"DE40","37.2","37.5","37.1","37.4","37.1","36.5","36.6","36.0","35.6","35.4"
"DE50","34.3","34.6","34.1","34.0","34.2","33.3","33.4","33.4","32.5","33.2"
"DE60","36.3","36.7","36.5","36.4","36.0","34.4","35.2","35.5","35.0","34.6"
"DE71","35.8","35.9","35.5","35.5","35.6","34.3","34.6","34.4","34.4","34.2"
"DE72","34.6","34.5","34.0","34.2","34.5","33.7","33.6","34.2","33.5","33.4"
"DE73","34.6","34.7","34.4","34.7","34.4","34.1","34.1","34.5","33.2","33.3"
"DE80","37.5","37.5","37.0","36.8","36.7","36.6","36.7","36.1","35.4","35.2"
"DE91","34.6","34.6","34.6","34.5","34.3","34.0","33.9","33.4","32.9","33.4"
"DE92","35.1","35.3","35.2","34.7","34.6","33.8","34.0","34.2","33.5","33.4"
"DE93","35.9","35.4","35.5","35.2","35.0","34.3","34.3","34.4","34.6","33.9"
"DE94","34.8","35.2","34.8","35.0","34.8","33.6","33.8","33.7","33.5","33.6"
"DEA1","35.4","35.7","35.6","35.3","35.3","34.5","34.5","34.6","34.2","34.1"
"DEA2","35.6","35.4","35.3","35.2","35.0","33.7","34.3","34.5","34.1","33.8"
"DEA3","34.7","34.6","34.3","34.2","34.2","33.6","33.6","33.6","33.1","33.3"
"DEA4","34.8","34.9","34.7","34.3","34.1","33.8","33.7","34.1","34.1","33.4"
"DEA5","34.7","34.8","34.4","34.5","34.3","33.7","33.9","33.8","33.6","33.7"
"DEB1","35.3","35.1","34.8","35.0","34.9","34.2","34.4","34.5","33.5","33.7"
"DEB2","34.5","34.9","34.8","35.4","34.8","34.2","33.5","34.1","33.7","33.3"
"DEB3","35.1","35.0","34.2","34.6","34.5","34.3","34.2","34.1","33.5","33.3"
"DEC0","34.9","34.7","34.5","34.6","34.7","34.1","34.8","34.0","33.0","33.6"
"DED2","36.7","37.0","37.0","36.8","36.3","36.2","36.6","36.4","35.1","34.6"
"DED4","37.5","37.6","37.4","37.1","37.1","36.8","36.8","36.4","35.4","34.9"
"DED5","37.1","37.2","37.0","36.5","36.5","35.5","36.0","35.9","35.2","34.6"
"DEE0","37.1","37.4","37.1","37.2","36.9","36.5","37.0","36.7","35.7","35.6"
"DEF0","35.4","35.6","35.4","35.3","35.3","34.5","34.5","34.6","33.9","33.7"
"DEG0","37.4","37.6","36.9","36.9","36.9","36.0","36.6","36.1","35.7","35.5"
"EE00","38.1","38.5","38.6","37.9","37.9","37.1","36.9","36.8","36.4","36.5"
"IE04","35.6","36.0","36.4","36.4","36.4","36.7","36.6","35.9","35.2","34.6"
"IE05","35.6","36.1","36.3","37.0","36.7","36.6","36.2","36.2","35.5","35.2"
"IE06","35.6","35.8","36.3","36.7","36.8","36.5","36.3","36.0","35.6","35.3"
"EL30","39.7","40.2","39.9","39.9","39.7","39.3","39.2","38.8","39.5","38.9"
"EL41","43.8","43.6","42.6","41.8","41.3","39.2","39.7","40.0","39.6","39.7"
"EL42","44.6","45.0","44.6","45.3","45.6","43.6","42.2","44.3","43.5","43.2"
"EL43","42.3","41.5","41.7","41.4","41.2","40.9","40.6","40.4","40.9","41.8"
"EL51","43.9","43.4","43.2","42.0","40.6","39.5","38.9","38.2","38.8","38.7"
"EL52","39.4","40.1","40.2","39.3","39.1","39.8","40.1","39.5","39.5","39.5"
"EL53","40.4","41.6","42.4","42.2","41.2","39.4","39.7","39.2","37.9","37.2"
"EL54","41.5","41.7","41.1","41.9","41.5","40.9","39.4","39.6","40.0","40.4"
"EL61","38.5","39.2","38.7","39.3","38.5","38.2","39.3","38.1","37.8","39.5"
"EL62","47.3","45.0","43.0","44.4","45.6","44.0","45.2","44.8","44.0","42.2"
"EL63","41.5","40.2","40.0","40.6","41.4","41.0","39.2","40.9","38.7","39.0"
"EL64","41.9","42.5","41.5","41.3","41.1","42.1","43.4","41.9","40.8","41.9"
"EL65","40.1","40.2","41.4","41.4","41.6","42.0","43.6","41.7","42.3","43.4"
"ES11","37.9","38.1","37.9","37.8","37.4","37.1","36.9","37.1","36.8","37.1"
"ES12","37.3","37.7","37.4","37.4","37.3","36.6","37.0","37.0","36.7","37.0"
"ES13","36.9","37.1","36.7","36.5","36.1","35.7","36.3","37.4","36.5","36.4"
"ES21","35.4","35.3","35.3","35.6","35.3","35.0","35.1","35.1","34.9","35.1"
