"region_id","2020","2021","2022","2023","2024"
"BE21","3.1","6.2","4.4","9.5","12.3"
"BE22","4.7","4.7","4.8","3.4","2.2"
"BE23","7.4","7.6","7.8","10.9","7.3"
"BE25","9.4","6.3","6.7","8.9","8.9"
"BE32","5.8","4.4","6.5","8.9","6.0"
"BE33","4.0","4.9","3.5","3.6","4.4"
"BE34","3.4","2.6","3.9","4.1","3.2"
"BE35","3.5","5.6","5.7","4.1","4.4"
"BG31","23.3","22.3","25.0","21.2","17.0"
"BG32","25.8","24.6","24.5","23.9","18.5"
"BG33","33.7","30.7","31.0","29.3","27.2"
"BG34","49.1","43.9","41.2","36.8","30.9"
"BG41","36.0","29.4","30.8","28.6","25.7"
"BG42","57.1","54.8","57.1","49.2","44.5"
"CZ01","1.6","1.6","2.1","2.7","3.5"
"CZ02","17.9","20.3","17.1","19.5","21.8"
"CZ03","26.0","27.6","28.3","27.6","29.3"
"CZ04","25.6","20.6","20.3","20.3","20.8"
"CZ05","24.2","26.7","20.4","25.8","23.6"
"CZ06","32.5","28.3","31.3","29.5","34.1"
"CZ07","20.5","18.2","18.9","19.2","20.3"
"CZ08","18.8","18.6","15.5","15.4","14.8"
"DK01","5.1","5.2","4.9","5.0","4.2"
"DK02","9.3","9.0","8.5","9.3","6.7"
"DK03","20.3","19.5","20.0","19.5","20.5"
"DK04","19.6","15.9","18.0","16.0","14.6"
"DK05","10.7","9.2","11.2","11.8","9.2"
"DE21","26.1","29.7","36.8","39.1","35.0"
"DE40","26.6","23.8","27.5","27.7","25.9"
"DE93","29.9","30.8","35.8","35.6","26.4"
"DE94","37.3","34.6","35.4","38.5","36.7"
"DEA3","29.1","22.9","23.4","16.0","19.0"
"DEF0","36.5","32.9","35.6","32.0","41.1"
"EE00","23.8","20.7","20.6","20.4","23.8"
"IE04","31.7","34.0","30.6","29.9","31.6"
"IE05","47.2","47.3","48.2","51.9","50.2"
"IE06","23.5","26.3","24.5","23.6","23.8"
"EL30","12.5","11.4","16.2","18.6","23.5"
"EL41","9.8","14.0","13.3","15.1","15.3"
"EL42","6.6","3.9","11.3","6.9","5.6"
"EL43","40.9","50.0","42.9","44.0","46.8"
"EL51","44.1","47.6","45.0","52.0","51.6"
"EL52","74.1","77.3","89.2","102.2","84.2"
"EL53","19.7","20.0","22.3","20.9","20.2"
"EL54","15.4","17.9","20.3","17.8","17.2"
"EL61","47.5","46.8","43.6","56.0","51.4"
"EL62","7.4","8.2","7.2","5.3","9.0"
"EL63","52.4","56.0","57.8","56.0","57.2"
"EL64","38.5","42.6","49.2","40.4","36.8"
"EL65","52.9","59.4","52.9","55.7","57.7"
"ES11","73.4","72.4","72.8","77.9","76.9"
"ES12","15.7","19.3","16.8","14.6","16.4"
"ES13","7.4","6.2","9.1","6.0","5.4"
"ES21","9.4","8.9","10.9","11.0","8.3"
"ES22","10.0","9.2","8.4","11.0","10.3"
"ES23","8.9","9.2","8.0","7.8","10.3"
"ES24","33.2","36.8","36.6","35.6","35.5"
"ES30","4.6","7.3","12.4","15.6","11.9"
"ES41","61.6","71.1","70.3","69.4","62.9"
"ES42","50.8","62.9","63.6","54.5","51.6"
"ES43","41.5","43.1","40.2","38.9","39.9"
"ES51","49.1","58.4","60.7","54.0","50.1"
"ES52","53.5","54.1","60.7","52.2","46.2"
"ES53","5.5","7.8","4.4","3.4","5.7"
"ES61","270.5","283.0","253.7","246.5","246.7"
"ES62","74.2","72.4","74.8","76.0","81.1"
"ES70","27.4","26.0","22.9","21.2","22.0"
"FR10","19.4","10.4","12.2","16.4","23.0"
"FRB0","27.6","30.3","39.2","37.8","33.6"
"FRC1","16.4","20.9","22.3","24.7","28.4"
"FRC2","16.1","26.8","21.6","23.1","23.7"
"FRD1","37.7","40.1","45.0","25.4","22.1"
"FRD2","15.3","24.3","29.4","16.6","17.9"
"FRE1","15.5","24.0","27.1","16.4","14.9"
"FRE2","18.9","20.9","21.8","30.6","23.1"
"FRF1","17.1","15.9","19.6","21.4","19.2"
"FRF2","23.7","32.0","36.3","31.9","27.4"
"FRF3","7.0","13.4","20.0","22.3","15.3"
"FRG0","58.8","71.1","71.3","89.3","84.6"
"FRH0","52.1","59.3","56.9","54.2","51.2"
"FRI1","60.3","63.1","64.1","51.3","39.6"
"FRI2","18.6","17.8","17.2","16.4","16.4"
"FRI3","34.5","34.1","36.9","44.5","31.4"
"FRJ1","32.1","23.4","29.3","32.5","47.4"
"FRJ2","27.8","46.5","58.0","54.0","58.6"
"FRK1","35.0","24.6","17.0","21.2","26.1"
"FRK2","57.4","55.2","63.8","56.9","53.1"
"FRL0","26.5","26.0","27.1","32.0","26.7"
"FRY1","2.5","2.9","4.4","3.8","3.1"
"FRY2","6.4","4.8","4.7","5.8","5.1"
"FRY4","13.7","8.6","7.1","7.0","8.2"
"HR02","46.1","57.7","51.6","44.1","41.4"
"HR03","18.6","23.9","25.0","20.5","19.3"
"HR05","2.9","3.7","3.5","2.8","3.0"
"HR06","31.6","23.7","15.4","13.1","18.2"
"ITC1","61.0","61.9","62.9","62.0","60.5"
"ITC2","1.7","1.5","1.9","1.8","2.0"
"ITC3","13.0","14.4","10.2","6.9","7.8"
"ITC4","77.1","75.3","58.4","56.4","60.8"
"ITF1","20.1","23.2","25.6","20.3","18.7"
"ITF2","7.5","7.5","4.7","4.2","5.5"
"ITF3","67.4","66.6","65.4","67.5","70.1"
"ITF4","107.9","108.8","109.6","105.6","109.4"
"ITF5","16.6","17.2","18.6","19.1","18.5"
"ITF6","67.5","69.2","65.3","54.7","56.8"
"ITG1","113.5","119.2","115.3","125.2","112.9"
"ITG2","34.7","35.1","31.6","32.9","36.4"
"ITH1","16.0","15.6","15.4","12.0","12.2"
"ITH2","10.2","12.0","12.3","11.0","9.6"
"ITH3","74.8","61.0","67.5","65.5","53.3"
"ITH4","15.3","15.4","14.8","15.1","14.6"
"ITH5","82.8","74.2","65.4","62.0","65.8"
"ITI1","50.8","49.7","44.7","48.3","45.5"
"ITI2","13.8","10.2","13.0","10.7","10.2"
"ITI3","20.6","21.0","24.3","21.2","13.9"
"ITI4","55.9","65.8","65.8","61.7","55.3"
"CY00","13.1","13.3","11.7","12.1","11.0"
"LV00","67.1","61.2","62.7","62.8","64.3"
"LT01","6.8","5.4","7.5","8.4","10.3"
"LT02","71.7","70.7","74.5","67.8","61.4"
"LU00","2.0","3.3","3.4","2.7","2.7"
"HU12","13.3","16.3","17.5","9.2","10.0"
"HU21","22.4","22.0","18.2","24.4","21.6"
"HU22","23.3","21.9","23.6","23.8","22.5"
"HU23","28.2","25.4","26.9","28.1","25.4"
"HU31","22.0","19.7","21.5","22.0","22.0"
"HU32","50.1","46.8","47.8","53.4","49.5"
"HU33","55.5","53.7","52.1","52.4","54.6"
"MT00","3.1","2.4","2.6","3.4","2.9"
"NL11","7.8","8.0","7.1","7.6","7.4"
"NL12","10.4","16.5","9.8","10.7","11.0"
"NL13","7.9","6.3","8.9","8.2","8.1"
"NL21","14.8","18.2","15.5","15.7","16.5"
"NL22","23.0","25.2","25.6","24.6","22.4"
"NL23","5.1","6.3","8.3","7.4","5.3"
"NL32","18.4","22.8","20.5","21.7","22.3"
"NL34","4.8","8.3","7.8","8.2","8.3"
"NL41","27.7","37.6","29.7","28.6","28.8"
"NL42","12.9","15.8","15.5","14.6","13.3"
"AT11","6.3","6.0","6.2","6.1","4.7"
"AT12","47.8","42.6","38.8","39.1","35.0"
"AT13","3.8","5.3","3.5","4.0","3.7"
"AT21","13.1","11.8","13.4","12.4","11.4"
"AT22","35.0","34.6","34.1","28.5","26.5"
"AT31","35.0","36.1","36.2","31.1","24.5"
"AT32","12.5","14.0","13.4","9.2","11.4"
"AT33","11.7","11.6","11.4","11.3","12.3"
"AT34","4.4","4.7","4.5","4.0","3.3"
"PL21","160.2","92.1","66.5","61.2","60.0"
"PL22","161.7","138.0","131.3","124.7","134.3"
"PL41","180.9","174.4","194.1","185.8","154.9"
"PL42","44.4","39.4","38.1","38.3","36.2"
"PL43","31.4","19.2","18.9","17.0","18.0"
