"region_id","2020","2021","2022","2023","2024"
"BE10","40.3","42.0","44.9","46.6","40.9"
"BE21","66.5","67.3","76.1","91.3","92.9"
"BE22","38.8","34.7","36.6","39.4","34.6"
"BE23","67.6","82.4","75.0","64.3","72.3"
"BE24","52.8","54.4","51.8","51.4","49.6"
"BE25","46.4","46.7","44.1","41.5","39.5"
"BE31","19.1","19.6","21.1","18.5","20.3"
"BE32","60.9","51.4","49.0","55.7","57.9"
"BE33","44.7","46.0","48.2","43.5","43.6"
"BE34","12.2","12.5","11.0","10.0","10.9"
"BE35","23.1","25.2","23.5","24.2","27.5"
"BG31","15.9","15.3","15.8","16.3","17.1"
"BG32","18.0","17.9","16.5","14.9","20.2"
"BG33","17.7","21.6","21.0","20.3","22.9"
"BG34","24.7","22.4","21.6","21.3","26.7"
"BG41","57.9","56.4","54.8","55.6","53.8"
"BG42","33.7","32.8","32.3","34.9","40.5"
"CZ01","47.7","58.1","49.9","45.7","59.6"
"CZ02","43.4","46.5","49.4","48.5","46.3"
"CZ03","40.9","40.2","41.4","42.8","46.0"
"CZ04","30.2","35.6","35.5","37.1","33.8"
"CZ05","47.0","55.1","52.4","51.1","48.3"
"CZ06","63.1","66.3","65.4","69.9","78.8"
"CZ07","40.4","45.1","37.9","41.6","45.1"
"CZ08","39.4","38.3","41.1","43.2","45.9"
"DK01","92.7","93.0","88.5","86.4","90.5"
"DK02","35.4","34.6","31.3","33.2","34.3"
"DK03","49.8","47.8","51.3","48.5","50.8"
"DK04","59.8","62.2","61.0","60.7","60.7"
"DK05","22.4","24.5","25.7","26.0","24.7"
"DE11","114.9","121.2","140.8","146.6","143.9"
"DE12","100.9","102.0","99.8","100.5","104.3"
"DE13","89.6","90.4","84.1","91.7","99.3"
"DE14","61.8","71.3","78.6","78.3","83.6"
"DE21","143.8","149.8","151.9","152.6","163.8"
"DE22","34.5","37.4","34.6","34.7","42.5"
"DE23","38.6","36.1","41.2","39.1","31.4"
"DE24","52.9","37.4","39.0","36.2","34.5"
"DE25","48.6","48.4","57.6","61.8","59.4"
"DE26","42.3","50.1","40.5","37.6","40.4"
"DE27","65.5","64.9","57.9","55.0","66.5"
"DE30","160.4","155.1","161.3","159.4","154.6"
"DE40","66.4","70.2","79.5","83.6","85.8"
"DE50","27.9","27.0","28.4","29.0","26.9"
"DE60","75.7","72.2","69.1","70.8","76.2"
"DE71","125.1","127.8","137.7","141.7","141.3"
"DE72","38.8","42.1","43.3","38.7","42.5"
"DE73","33.2","37.4","34.3","37.0","38.3"
"DE80","45.9","47.6","44.7","45.4","49.9"
"DE91","61.4","55.2","58.2","64.8","57.7"
"DE92","66.4","72.9","72.8","77.7","81.4"
"DE93","53.3","57.2","53.1","50.6","57.2"
"DE94","86.4","83.2","78.5","81.8","95.1"
"DEA1","142.5","149.3","155.3","166.7","162.1"
"DEA2","164.8","154.0","175.0","174.1","161.6"
"DEA3","91.7","73.7","86.7","91.6","89.4"
"DEA4","64.9","65.2","69.1","75.9","83.5"
"DEA5","112.8","110.2","110.6","109.6","104.9"
"DEB1","42.5","39.6","51.4","48.3","43.6"
"DEB3","78.5","75.9","68.2","71.0","81.1"
"DEC0","31.3","31.0","30.4","31.5","29.0"
"DED2","57.3","54.5","51.4","58.6","62.4"
"DED4","39.0","33.8","35.2","34.6","39.2"
"DED5","36.9","39.0","42.0","43.5","51.0"
"DEE0","54.1","61.4","59.9","63.0","60.3"
"DEF0","102.4","91.1","98.8","97.0","110.9"
"DEG0","67.6","66.6","63.6","62.3","65.0"
"EE00","61.5","63.5","64.9","65.4","67.2"
"IE04","32.1","36.4","36.2","41.1","40.8"
"IE05","61.3","70.0","74.7","71.9","79.7"
"IE06","98.9","107.1","103.2","110.0","112.1"
"EL30","121.7","114.6","142.8","140.1","137.6"
"EL41","5.7","5.0","5.2","6.1","5.0"
"EL42","7.3","9.1","12.1","8.3","9.1"
"EL43","18.7","18.4","19.7","20.0","18.0"
"EL51","14.9","15.5","19.0","17.3","15.9"
"EL52","59.7","53.5","54.5","51.5","59.9"
"EL53","6.6","8.3","7.2","7.5","8.6"
"EL54","13.2","10.8","10.4","11.3","13.0"
"EL61","23.7","25.7","24.0","23.4","17.4"
"EL62","5.5","3.1","3.3","3.0","3.5"
"EL63","17.4","16.9","18.7","17.4","19.0"
"EL64","12.9","14.7","12.7","11.4","11.1"
"EL65","16.6","16.4","14.4","12.3","13.2"
"ES11","72.6","70.9","72.5","80.9","80.2"
"ES12","29.6","33.3","34.0","27.6","29.2"
"ES13","16.2","15.0","18.0","20.4","20.7"
"ES21","74.7","78.0","82.7","84.2","93.6"
"ES22","24.4","24.6","24.5","23.4","24.9"
"ES23","11.0","10.9","10.7","10.0","12.6"
"ES24","38.0","43.9","46.6","44.4","41.9"
"ES30","212.2","220.2","222.6","211.0","225.8"
"ES41","65.2","70.5","77.0","70.8","72.3"
"ES42","55.6","53.5","54.5","61.3","61.4"
"ES43","25.3","26.1","30.3","30.6","29.9"
"ES51","217.9","242.4","261.1","255.2","261.2"
"ES52","139.0","160.2","168.9","183.5","182.6"
"ES53","32.8","34.5","37.8","34.9","30.2"
"ES61","202.0","236.2","242.9","252.4","257.6"
"ES62","44.5","48.5","49.1","45.4","49.8"
"ES63","2.3","1.6","2.3","2.2","3.3"
"ES64","4.2","3.3","3.1","2.0","2.6"
"ES70","55.3","58.8","54.5","49.3","53.9"
"FR10","405.0","414.8","433.8","471.1","467.1"
"FRB0","71.2","68.0","68.1","79.1","80.4"
"FRC1","43.3","58.3","48.8","49.8","56.5"
"FRC2","34.7","38.2","45.2","41.6","35.6"
"FRD1","35.1","36.1","30.8","39.8","36.6"
"FRD2","65.7","56.7","60.4","68.3","65.1"
"FRE1","154.0","150.7","139.9","157.1","144.2"
"FRE2","60.5","61.5","61.6","56.9","50.7"
"FRF1","53.0","56.4","60.1","57.1","59.5"
"FRF2","34.2","39.2","36.3","36.7","45.5"
"FRF3","60.7","66.2","59.0","60.5","63.2"
"FRG0","110.0","120.3","131.9","120.1","125.4"
"FRH0","100.7","108.5","103.9","102.6","86.4"
"FRI1","112.3","105.7","87.4","97.2","115.5"
"FRI2","17.6","22.1","22.4","17.5","21.8"
"FRI3","58.4","48.3","48.4","50.3","58.2"
"FRJ1","104.3","90.1","83.7","87.6","97.4"
"FRJ2","90.6","106.0","106.5","108.8","108.3"
"FRK1","39.1","43.3","44.8","50.1","38.6"
"FRK2","209.9","216.7","229.2","235.2","237.7"
"FRL0","160.9","176.3","157.0","178.3","158.8"
"FRM0","13.6","7.3","9.3","12.7","11.6"
"FRY1","13.7","12.8","14.1","14.7","12.8"
"FRY2","12.6","13.5","13.8","11.9","9.5"
"FRY3","11.1","9.2","10.8","11.6","12.1"
"FRY4","36.1","37.2","38.5","39.8","32.4"
"HR02","31.1","25.0","25.4","26.8","29.4"
"HR03","36.2","37.2","45.3","51.4","48.4"
"HR05","28.1","32.5","30.5","35.7","33.1"
"HR06","20.5","21.0","26.0","27.6","24.5"
"ITC1","104.2","107.4","110.8","110.7","105.8"
"ITC2","4.5","4.7","4.6","4.2","4.0"
"ITC3","41.8","39.6","38.1","40.5","39.5"
"ITC4","248.3","238.8","241.3","263.2","261.9"
"ITF1","36.9","37.1","40.3","43.0","43.6"
"ITF2","8.5","8.1","8.1","9.0","9.1"
"ITF3","166.6","177.1","173.5","172.7","176.3"
"ITF4","99.6","99.3","99.5","101.5","91.9"
"ITF5","17.9","18.4","16.6","17.9","17.5"
"ITF6","52.9","53.6","52.4","55.5","63.3"
"ITG1","138.8","137.7","134.9","149.7","159.6"
"ITG2","48.4","47.0","46.9","44.7","40.1"
"ITH1","21.4","23.0","21.6","22.6","23.1"
"ITH2","22.3","21.6","21.1","21.5","22.6"
"ITH3","119.0","130.2","116.8","122.8","128.3"
"ITH4","32.6","32.4","33.9","35.2","37.6"
"ITH5","117.3","113.2","117.5","123.1","112.2"
"ITI1","104.1","106.2","102.8","98.1","96.4"
"ITI2","25.5","22.6","24.5","28.8","28.5"
"ITI3","40.9","44.1","43.3","41.4","45.2"
"ITI4","161.6","152.1","154.9","164.2","166.6"
"CY00","33.4","34.3","33.0","34.7","35.9"
"LV00","81.6","82.3","82.5","82.4","76.8"
"LT01","41.0","35.9","41.4","40.0","41.8"
"LT02","93.5","84.6","85.0","89.8","93.3"
"LU00","24.3","25.9","24.3","23.5","26.2"
"HU11","67.8","74.5","75.3","78.0","82.0"
"HU12","43.3","50.9","54.3","51.0","49.1"
"HU21","36.8","36.0","33.6","33.1","35.1"
"HU22","26.9","38.4","30.7","33.0","31.2"
"HU23","32.5","31.1","32.0","34.3","29.8"
"HU31","33.0","37.6","34.6","39.4","41.0"
"HU32","47.3","51.0","49.9","56.0","53.5"
"HU33","42.3","45.6","47.8","42.0","44.0"
"MT00","22.1","23.3","24.9","24.7","25.8"
"NL11","25.2","27.1","26.4","29.5","28.1"
"NL12","23.0","21.8","25.2","25.4","25.2"
"NL13","15.0","15.3","18.3","20.6","17.7"
"NL21","41.8","48.9","48.5","48.8","54.7"
"NL22","72.3","87.1","96.5","91.9","94.6"
"NL23","12.9","20.2","18.4","14.6","17.4"
"NL32","95.9","120.4","124.1","113.8","117.1"
"NL34","11.2","10.9","12.3","11.5","13.3"
"NL41","80.3","86.0","106.3","107.4","112.2"
"NL42","28.0","38.4","36.3","35.0","37.0"
"AT11","9.2","9.2","9.6","8.5","9.3"
"AT12","50.0","53.9","49.1","56.9","63.1"
"AT13","70.4","74.1","73.1","80.9","84.9"
"AT21","14.7","14.2","13.0","14.0","15.8"
"AT22","41.2","43.4","47.6","49.6","47.4"
"AT31","46.0","43.2","41.1","39.5","42.5"
"AT32","17.6","18.9","15.6","16.1","19.4"
"AT33","27.8","27.7","31.9","30.5","27.9"
"AT34","11.7","10.4","12.6","12.6","12.7"
"PL21","122.7","124.5","125.1","139.1","129.5"
"PL22","154.8","148.4","144.3","157.9","154.3"
"PL41","125.2","111.5","120.0","111.1","112.5"
"PL42","54.3","50.2","54.6","60.4","63.3"
"PL43","30.5","33.6","34.2","38.4","33.5"
"PL51","104.5","105.2","101.4","106.2","113.1"
"PL52","35.7","34.2","31.3","27.6","31.1"
"PL61","68.0","66.3","61.8","67.0","65.0"
"PL62","46.1","48.2","46.7","48.7","46.8"
"PL63","89.0","87.0","95.1","90.8","94.7"
"PL71","68.5","81.3","88.8","83.1","80.6"
"PL72","37.7","35.4","36.9","39.4","37.7"
"PL81","90.5","79.8","69.8","72.8","82.8"
"PL82","68.3","64.8","63.4","70.7","70.5"
"PL84","39.9","41.2","41.9","41.3","40.8"
"PL91","138.3","152.2","147.2","142.3","142.8"
"PL92","67.5","68.9","68.3","80.5","76.0"
"PT11","129.9","142.0","137.0","132.7","150.2"
"PT15","19.8","20.5","20.2","19.7","20.3"
"PT19","80.7","82.2","85.0","74.7","76.9"
"PT1A","76.9","83.5","76.1","76.9","75.9"
"PT1B","29.6","32.0","32.1","30.9","33.0"
"PT1C","18.0","18.1","18.2","16.3","18.4"
"PT1D","32.4","28.2","30.6","33.3","30.4"
"PT20","10.1","7.9","8.3","8.9","9.2"
"PT30","12.0","12.9","11.9","11.9","12.6"
"RO11","57.2","65.1","60.0","49.5","58.2"
"RO12","47.1","48.3","51.0","44.7","42.4"
"RO21","50.8","47.7","57.7","63.8","57.9"
"RO22","39.3","41.5","40.0","38.5","37.3"
"RO31","44.0","48.0","45.4","39.0","43.4"
"RO32","55.6","52.2","49.9","48.2","48.1"
"RO41","33.7","36.5","36.8","34.9","31.6"
"RO42","27.7","26.5","29.5","34.5","32.7"
"SI03","45.7","49.0","48.6","46.0","44.5"
"SI04","44.7","47.7","47.6","39.5","42.1"
"SK01","26.5","27.4","33.4","29.0","29.4"
"SK02","55.1","65.7","72.4","60.7","62.0"
"SK03","47.0","47.7","52.7","58.6","58.2"
"SK04","65.0","72.1","64.7","62.6","62.7"
"FI19","48.2","49.3","45.5","43.0","45.4"
"FI1B","60.6","57.8","62.0","66.3","64.7"
"FI1C","35.5","33.4","36.1","37.7","36.9"
